n°UAI de l'établissement;Libellé de l'établissement;Région;Taux de poursuite d'études;Taux;Taux attendu;Valeur ajoutée;Part en poursuite d'études ;Part en emploi 6 mois après la sortie ;Part des autres situations 
0100975F;Greta Sud Champagne;GRAND EST;35;55;67;-12;35;35;30
0101035W;Centre de Formation d'Apprentis de la pharmacie de Troyes;GRAND EST;15;81;73;8;15;68;17
0101060Y;Université de Technologie de Troyes;GRAND EST;;;;;;;
0101140K;CENTRE FORM PRO LA SALLE;GRAND EST;25;;;;25;58;17
0101141L;Groupe Alternance Troyes - Offre de formations;GRAND EST;;;;;;;
0101143N;OF Sylvia Terrade apprentissage G-E Troyes;GRAND EST;26;;;;26;48;26
0101144P;Offre de formation et d'apprentissage SAS BL Formation;GRAND EST;;;;;;;
0110681F;Centre de formation d'apprentis Interprofessionnel Henri Martin;OCCITANIE;40;55;62;-6;40;33;27
0110884B;Centre de formation d'apprentis BTP de l'Aude;OCCITANIE;44;54;62;-9;44;30;26
0110905Z;Greta de l'Aude;OCCITANIE;32;61;60;0;32;41;27
0110943R;CFA de l'Aude;OCCITANIE;31;49;53;-4;31;34;35
0111003F;Centre de formation d'apprentis Spécialisé Languedoc-Roussillon;OCCITANIE;50;32;42;-9;50;16;34
0111036S;Centre de Formation Professionnelle du Midi;OCCITANIE;;;;;;;
0111060T;Centre de formation d'apprentis de l'Education nationale Interdépartemental de l'Aude et des Pyrénées-Orientales;OCCITANIE;26;61;63;-3;26;45;29
0111079N;Organisme de formation-Centre de formation d'apprentis de Formation Inov Saint-Pierre, Carcassonne;OCCITANIE;;;;;;;
0120887Z;Centre de formation d'apprentis Chambre des metiers de l'Aveyron;OCCITANIE;39;62;65;-3;39;38;23
0121358L;Centre de formation des apprentis agricole de l'Aveyron   EPLA de Villefranche de Rouergue;OCCITANIE;26;56;63;-7;26;41;33
0121371A;Greta Midi-Pyrénées Nord;OCCITANIE;86;;;;86;9;5
0121479T;CFA de Saint Affrique;OCCITANIE;33;85;73;12;33;57;10
0121507Y;CFA Nord Ouest Aveyron;OCCITANIE;32;59;69;-10;32;41;27
0131767A;OF-CFA MUNICIPAL DE SALON DE PROVENCE;PROVENCE-ALPES-COTE D'AZUR;36;53;56;-3;36;34;30
0131772F;Centre de formation d'apprentis du BTP Marseille;PROVENCE-ALPES-COTE D'AZUR;41;56;62;-6;41;33;26
0131775J;Centre de Formation de la Bourse du Travail;PROVENCE-ALPES-COTE D'AZUR;31;51;50;1;31;35;34
0131779N;CFA de la pharmacie Marseille Provence;PROVENCE-ALPES-COTE D'AZUR;22;82;78;4;22;64;14
0131781R;CFA de la Coiffure Roger Para;PROVENCE-ALPES-COTE D'AZUR;49;44;56;-12;49;23;28
0131782S;CFA INDUSTRIE DE PROVENCE;PROVENCE-ALPES-COTE D'AZUR;29;66;69;-3;29;47;24
0131784U;Sainte Victoire Pays d'Aix;PROVENCE-ALPES-COTE D'AZUR;61;63;55;7;61;24;15
