n°UAI de l'établissement;Libellé de l'établissement;Région;Taux de poursuite d'études;Taux;Taux attendu;Valeur ajoutée;Part en poursuite d'études ;Part en emploi 6 mois après la sortie ;Part des autres situations 
0212243Z;CFA DE L'EDUCATION NATIONALE EN BOURGOGNE;BOURGOGNE-FRANCHE-COMTE;29;69;69;1;29;49;22
0212254L;ECOLE PRIVEE FUTURA CFA;BOURGOGNE-FRANCHE-COMTE;;;;;;;
0212261U;FORMENFANCE;BOURGOGNE-FRANCHE-COMTE;9;66;72;-6;9;59;32
0212262V;SELFORME;BOURGOGNE-FRANCHE-COMTE;15;57;62;-5;15;48;37
0221071V;CFA CMA Bretagne - Campus de Dinan-Aucaleuc;BRETAGNE;43;72;68;4;43;41;16
0221072W;CFA CMA Bretagne - Campus de Ploufragan;BRETAGNE;42;68;67;1;42;40;18
0221588G;CFA Bâtiment 22;BRETAGNE;44;71;70;2;44;40;16
0221712S;Maison Familiale Rurale de Loudéac;BRETAGNE;19;49;61;-12;19;40;41
0221804S;CFA DE CAULNES;BRETAGNE;12;;;;12;;88
0221835A;CFA Pôle de Formation UIMM Bretagne;BRETAGNE;34;77;74;3;34;51;15
0221880Z;CFA DE MERDRIGNAC;BRETAGNE;39;72;65;8;39;44;17
0221883C;CENTRE DE FORMATION PROFESSIONNELLE ET DE PROMOTION AGRICOLE;BRETAGNE;;;;;;;
0221905B;AVIPOLE Formation;BRETAGNE;0;87;75;12;0;87;13
0221943T;CFA de l'Association régionale pour la formation par apprentissage aux métiers du secteur sanitaire, social et médico-social;BRETAGNE;21;53;51;2;21;42;37
0222000E;Greta-CFA des Côtes d'Armor;BRETAGNE;52;;;;52;36;12
0222016X;Formation CCI Saint-Brieuc;BRETAGNE;38;62;64;-2;38;38;24
0222027J;CFA ITC Saint-Brieuc - EURL A3D;BRETAGNE;13;85;73;12;13;74;13
0222035T;CFA Inside Campus Saint-Quay-Portrieux;BRETAGNE;;;;;;;
0222036U;CFA SAS Aformance Plérin;BRETAGNE;;;;;;;
0230412Y;CFA CHAMBRE COMMERCE INDUS CREUSE;NOUVELLE-AQUITAINE;63;;;;63;19;18
0230553B;CFA de la Creuse;NOUVELLE-AQUITAINE;35;51;58;-7;35;33;32
0240038L;Centre de formation d'apprentis du Grand Bergeracois;NOUVELLE-AQUITAINE;38;52;55;-4;38;32;30
0240051A;Centre de formation d'apprentis du bâtiment et des travaux publics de la Dordogne;NOUVELLE-AQUITAINE;48;66;69;-3;48;34;18
0240061L;Site de formation d'apprentis de la chambre des métiers et de l'artisanat de région Nouvelle Aquitaine - CFA des Métiers de Boulazac;NOUVELLE-AQUITAINE;46;63;63;0;46;34;20
0240090T;EPSECO MIX - Talis Business School - Campus de Bergerac;NOUVELLE-AQUITAINE;10;0;12;-12;10;0;90
0241047H;Maison Familiale Rurale de thiviers;NOUVELLE-AQUITAINE;;;;;;;
0241048J;Maison Familiale Rurale de La Force;NOUVELLE-AQUITAINE;;;;;;;
0241056T;Centre de formation d'apprentis Ecoles CCI de la Dordogne-;NOUVELLE-AQUITAINE;40;58;61;-2;40;35;25
0241068F;Maison Familiale Rurale de Vanxains;NOUVELLE-AQUITAINE;;;;;;;
0241072K;Maison Familiale Rurale de Salignac;NOUVELLE-AQUITAINE;;;;;;;
0241092G;Maison Familiale Rurale de Périgueux;NOUVELLE-AQUITAINE;;;;;;;
0241099P;CFA de la Dordogne;NOUVELLE-AQUITAINE;34;57;59;-2;34;38;28
0241197W;Centre interprofessionnel de formation des apprentis de PME de Bergerac (CIFA);NOUVELLE-AQUITAINE;48;70;68;2;48;37;15
0241235M;Centre de formation d'apprentis transport, logistique et voyageurs (TLV) de Bergerac;NOUVELLE-AQUITAINE;12;60;63;-3;12;53;35
0241245Y;Organisme de formation-Centre de formation d'apprentis Centre de formation et de promotion Champcevinel;NOUVELLE-AQUITAINE;;;;;;;
0241262S;Organisme de formation-Centre de formation pour apprentis des employeurs du sanitaire, social et médico-social en Nouvelle-Aquitaine;NOUVELLE-AQUITAINE;15;71;61;10;15;60;25
0241264U;Centre de formations d'apprentis - Lycées publics des Périgords;NOUVELLE-AQUITAINE;19;80;73;7;19;65;16
0241316A;organisme de formation-centre de formation d'apprentis WAB bergerac;NOUVELLE-AQUITAINE;;;;;;;
0241320E;organisme de formation-centre de formation d'apprentis école privée en secrétariat et commerce de périgueux;NOUVELLE-AQUITAINE;;;;;;;
0241323H;Organisme de formation-Centre de formation d apprentis SPORT ACADEMIE PERIGUEUX;NOUVELLE-AQUITAINE;;;;;;;
0251124L;IFPP;BOURGOGNE-FRANCHE-COMTE;21;81;83;-2;21;64;15
0251400L;BATIMENT CFA BOURGOGNE FRANCHE-COMTE;BOURGOGNE-FRANCHE-COMTE;34;64;70;-6;34;42;24
0251519R;CFA Hilaire de Chardonnet;BOURGOGNE-FRANCHE-COMTE;40;65;64;1;40;39;21
0251605J;Greta de Besançon;BOURGOGNE-FRANCHE-COMTE;;;;;;;
0251643A;CFA du Doubs;BOURGOGNE-FRANCHE-COMTE;24;;;;24;;76
0251729U;Maison Familiale Rurale de Morre;BOURGOGNE-FRANCHE-COMTE;;;;;;;
0251749R;CFA du pays de Montbéliard;BOURGOGNE-FRANCHE-COMTE;40;55;55;0;40;32;28
0251750S;CFA de l'Industrie sud Franche-Comté;BOURGOGNE-FRANCHE-COMTE;34;60;67;-8;34;39;27
0251773S;Maison Familiale Rurale de Vercel;BOURGOGNE-FRANCHE-COMTE;66;;;;66;21;13
0251780Z;CFA Académique de Franche-Comté;BOURGOGNE-FRANCHE-COMTE;31;67;69;-3;31;46;23
0251811H;Maison Familiale Rurale de Mandeure;BOURGOGNE-FRANCHE-COMTE;;;;;;;
0251816N;Maison Familiale Rurale les 2 vals des Fins;BOURGOGNE-FRANCHE-COMTE;;;;;;;
0251824X;CFA des MFR de France-Comté;BOURGOGNE-FRANCHE-COMTE;30;;;;30;;70
0251829C;AFTRAL CFA transport et Logistique de Franche-Comté;BOURGOGNE-FRANCHE-COMTE;17;77;75;3;17;64;19
0251853D;CFPPA de Mamirolle;BOURGOGNE-FRANCHE-COMTE;57;69;72;-3;57;30;13
0251891V;FCF ARGOS;BOURGOGNE-FRANCHE-COMTE;58;;;;58;31;11
0251893X;Centre de formation Bourgogne-Franche-Comté;BOURGOGNE-FRANCHE-COMTE;24;;;;24;24;52
0251897B;Ecole des travaux publics Bourgogne Franche-Comté;BOURGOGNE-FRANCHE-COMTE;50;75;66;9;50;37;13
0251933R;Institut Supérieur d'Apprentissage de Franche-Comté;BOURGOGNE-FRANCHE-COMTE;56;84;72;12;56;37;7
0251934S;Centre de formation d'apprentis A.S.P.E.C.T;BOURGOGNE-FRANCHE-COMTE;32;70;68;2;32;47;21
0251945D;CFA Industriel nord Franche-Comté;BOURGOGNE-FRANCHE-COMTE;35;57;67;-10;35;37;28
0251962X;CFA Sup FC;BOURGOGNE-FRANCHE-COMTE;63;;;;63;;37
0251988A;Profession Sport 25;BOURGOGNE-FRANCHE-COMTE;27;49;54;-6;27;36;37
0252008X;Formababy;BOURGOGNE-FRANCHE-COMTE;;;;;;;
0261035J;Organisme de formation-Centre de formation d'apprentis de Batipole-Livron Sur Drôme;AUVERGNE-RHONE-ALPES;42;66;66;1;42;39;19
0261036K;Organisme de formation-Centre de formation d'apprentis de CFMDA-Livron Sur Drôme;AUVERGNE-RHONE-ALPES;45;65;60;6;45;36;19
0261097B;Maison Familiale Rurale d'Anneyron;AUVERGNE-RHONE-ALPES;;;;;;;
0261155P;Greta Ardèche Drôme;AUVERGNE-RHONE-ALPES;47;73;66;7;47;39;14
0261253W;Organisme de formation-Centre de formation d'apprentis de CCI-Valence;AUVERGNE-RHONE-ALPES;37;58;60;-2;37;37;26
0261509Z;IFC VALENCE;AUVERGNE-RHONE-ALPES;57;;;;57;29;14
0261543L;Organisme de formation-Centre de formation dapprentis de KYNEOS UP FORMATION CHATEAUNEUF-SUR-ISERE;AUVERGNE-RHONE-ALPES;53;35;47;-12;53;17;30
0261545N;Organisme de formation-Centre de formation d apprentis de pole de formation equestre écurie STELLA - Pierrelatte;AUVERGNE-RHONE-ALPES;17;;;;17;30;53
0261547R;Organisme de formation-Centre de formation d'apprentis - BOULANGERIE ECOLE L'AURA - Chabeuil;AUVERGNE-RHONE-ALPES;;;;;;;
0261548S;Organisme de formation-Centre de formation d'apprentis de l'AURA - Valence;AUVERGNE-RHONE-ALPES;0;75;63;12;0;75;25
0271124A;Centre de formation d'apprentis interconsulaire de l'Eure - AIDAMCIE - CFAIE;NORMANDIE;47;59;59;0;47;32;21
0271177H;Bâtiment CFA Evreux;NORMANDIE;48;66;70;-4;48;34;18
0271415S;Centre de formation d'apprentis industriel de l'Eure;NORMANDIE;46;65;70;-6;46;35;19
0271473E;Centre de formation d'apprentis agricole de l'Eure;NORMANDIE;36;;;;36;;64
0271635F;Centre de formation d'apprentis agricole horticole de l'Eure;NORMANDIE;31;53;55;-2;31;37;32
0271691S;Centre de formation d'apprentis Ecole supérieure de la CCI Portes de Normandie;NORMANDIE;46;61;69;-8;46;32;22
0271724C;Centre de promotion sociale en élevage;NORMANDIE;19;;;;19;;81
0271888F;Organisme de formation-Centre de formation d'apprentis du CEREF - GRAND BOURGTHEROULDE;NORMANDIE;;;;;;;
0280738A;Organisme de formation-Centre de formation d'apprentis de Interpro - Chartres;CENTRE-VAL DE LOIRE;49;63;65;-2;49;32;19
0281041E;CFA de l'Eure et Loir;CENTRE-VAL DE LOIRE;32;58;57;1;32;39;29
0281057X;Organisme de formation-Centre de formation d'apprentis de la CCI de l'Eure et Loir-Chartres;CENTRE-VAL DE LOIRE;;;;;;;
0290346U;Université de Brest;BRETAGNE;82;;;;82;18;0
0291100N;CFA Bâtiment 29;BRETAGNE;43;68;69;-1;43;39;18
0291603K;Maison Familiale Rurale de Pleyben;BRETAGNE;;;;;;;
0291604L;Maison Familiale Rurale de Plabennec;BRETAGNE;28;61;58;3;28;44;28
0291790N;Maison Familiale Rurale de Lesneven;BRETAGNE;14;78;71;7;14;68;18
0291792R;IFAC-CCI MBO Campus des métiers;BRETAGNE;43;66;66;-1;43;38;19
0291842V;Maison Familiale Rurale du Le Faou;BRETAGNE;;;;;;;
0291843W;Maison Familiale Rurale de Landivisiau;BRETAGNE;;;;;;;
0291844X;Maison Familiale Rurale d'Elliant;BRETAGNE;;;;;;;
0291915Z;CFA CMA Bretagne - Campus de Quimper;BRETAGNE;40;66;66;0;40;40;20
0291961Z;Maison Familiale Rurale de Morlaix;BRETAGNE;;;;;;;
0292009B;CFA DE HANVEC;BRETAGNE;38;50;57;-7;38;31;31
0292038H;CFA AFTRAL Ergué-Gabéric;BRETAGNE;19;85;78;7;19;69;12
0292039J;Ecole technique privée ESCAM;BRETAGNE;29;55;66;-11;29;39;32
0292099Z;CFA DIFCAM Quimper;BRETAGNE;60;61;66;-5;60;24;16
0292159P;CFA Institut nautique Concarneau;BRETAGNE;18;54;59;-5;18;44;38
0292167Y;INSTITUT SUPERIEUR DE FORMATION FRUITS ET LEGUMES;BRETAGNE;55;67;67;-1;55;30;15
0292194C;Institut de formation régionale des Industries agro-alimentaires Ouest;BRETAGNE;16;74;70;4;16;62;22
0292327X;Greta-CFA de Bretagne occidentale;BRETAGNE;28;71;67;5;28;51;21
0292381F;CFA EXAOUEST Quimper;BRETAGNE;;;;;;;
0292382G;CFA Initiatives Formation Pont-de-Buis;BRETAGNE;;;;;;;
0292384J;CFA ITC-MTV QUIMPER;BRETAGNE;8;86;74;12;8;79;13
0292387M;CFA IFPS Quimper Cornouaille;BRETAGNE;;;;;;;
0292388N;CFA IRSS SPORT BREST;BRETAGNE;;;;;;;
0292391S;CFA Formations Equitation Finistère - Saint-Thois;BRETAGNE;;;;;;;
0301330H;Maison Familiale Rurale Petite Camargue Gallargues;OCCITANIE;;;;;;;
0301365W;Greta du Gard;OCCITANIE;39;76;73;4;39;46;15
0301430S;Maison Familiale Rurale de Castillon-du-Gard;OCCITANIE;;;;;;;
0301431T;Maison Familiale Rurale de Marguerittes;OCCITANIE;;;;;;;
0301432U;Maison Familiale Rurale de Vézénobres;OCCITANIE;;;;;;;
0301433V;Maison Familiale Rurale de Uzès;OCCITANIE;;;;;;;
0301435X;CFA du Gard;OCCITANIE;43;59;61;-2;43;33;24
0301567R;Organisme de formation-Centre de formation d'apprentis des Compagnons du Devoirs et du Tour de France Languedoc-Roussillon, Nîmes;OCCITANIE;47;66;63;3;47;35;18
0301629H;Centre de formation d'apprentis de la Chambre de Métiers et de l'Artisanat de la Région Occitanie - CMAR Occitanie;OCCITANIE;36;63;56;7;36;41;23
0301633M;CFA régional des MFR;OCCITANIE;28;56;55;1;28;40;32
0301649E;Centre de formation d'apprentis Emmanuel d'Alzon;OCCITANIE;43;59;63;-4;43;34;23
0301673F;Sud Formation Conseil;OCCITANIE;;;;;;;
0301685U;Centre de formation d'apprentis de l'Education nationale du Gard;OCCITANIE;32;71;69;2;32;48;20
0301690Z;Section d'apprentissage privée du lycée polyvalent privé de La Salle;OCCITANIE;3;71;66;5;3;69;28
0301760A;Section d'apprentissage privée du lycée professionnel Sainte Marie;OCCITANIE;33;67;62;5;33;45;22
0301786D;Centre de formation d'apprentis BTP du Gard;OCCITANIE;41;58;61;-3;41;34;25
0301856E;Organisme de formation-Centre de formation d'apprentis de SARL Alternance Languedoc, Nîmes;OCCITANIE;29;;;;29;38;33
0311192C;Ecole Vidal;OCCITANIE;47;67;66;1;47;35;18
0311341P;CFA BTP Occitanie - Sites de Toulouse et Muret;OCCITANIE;38;62;64;-2;38;38;24
0311348X;Centre de formation d'apprentis du comminges;OCCITANIE;36;;;;36;;64
0311357G;Centre de formation d'apprentis de la phamarcie;OCCITANIE;17;87;83;4;17;72;11
0311375B;Centre de formation d'apprentis coiffure esthétique Jasmin;OCCITANIE;35;64;64;-1;35;41;24
0311716X;Centre de formation d'apprentis de l'Industrie Midi-Pyrénées;OCCITANIE;35;67;68;-1;35;44;21
0311717Y;Centre de formation d'apprentis commerce et services;OCCITANIE;31;52;56;-4;31;35;34
0311729L;Centre de formation d'apprentis  Ecole supérieure des métiers Chambre des métiers de la Haute-Garonne;OCCITANIE;42;66;66;0;42;38;20
0311994Z;Greta Midi-Pyrénées Centre;OCCITANIE;79;29;41;-12;79;6;15
0312239R;Centre de formation d'apprentis Compagnons du devoir et du Tour de France;OCCITANIE;36;68;66;3;36;44;20
0312240S;Centre de formation apprentis AFTRAL transport et logistique;OCCITANIE;11;74;73;1;11;66;23
0312330P;Centre de formation des apprentis agricole Piémont-Pyrénées   EPLA de Saint-Gaudens;OCCITANIE;32;50;57;-7;32;34;34
0312331R;CFA Toulouse Auzeville;OCCITANIE;45;60;57;3;45;33;22
0312332S;Centre de formation d'apprentis Campus IGS;OCCITANIE;39;66;62;4;39;41;20
0312424S;Centre de formation d'apprentis Banque Finance;OCCITANIE;;;;;;;
0312499Y;Mission formation continue et apprentissage Université Toulouse 3;OCCITANIE;71;73;63;10;71;21;8
0312504D;Fédération compagnonique régionale Occitanie;OCCITANIE;47;63;69;-6;47;33;20
0312505E;INSTITUT DE FORMATION REGIONAL  DES INDUSTRIES ALIMENTAIRES DE  MIDI-PYRENEES (IFRIA MIDI-PYRENEES);OCCITANIE;39;57;64;-8;39;34;27
0312550D;Institut pour la PRomotion des Etudes Sanitaires et Sociales (centre IPRESS);OCCITANIE;10;;;;10;33;57
0312606P;CENTRE DE FORMATION D'APPRENTIS AUX METIERS DU TRAVAIL SOCIAL (IRFCES);OCCITANIE;5;25;37;-12;5;24;71
0312608S;Section d'apprentissage privée du lycée professionnel privé AIRBUS Toulouse;OCCITANIE;61;84;72;12;61;33;6
0312677S;Centre de formation d'apprentis PROMOTRANS;OCCITANIE;;;;;;;
0312694K;Centre de formation d'apprentis régional de la propreté (INHNI);OCCITANIE;36;53;51;2;36;34;30
0312702U;Section d'apprentissage privée rattachée à l'Institut régional de formation sanitaire et sociale de la Croix Rouge;OCCITANIE;42;84;72;12;42;49;9
0312713F;Section d'apprentissage université de Toulouse 2 Jean Jaurès;OCCITANIE;78;;;;78;13;9
0312723S;ESICAD - Centre de Toulouse;OCCITANIE;56;;;;56;29;15
0312738H;Association pour la promotion de l'apprentissage de l'enseignement catholique et technique Occitanie;OCCITANIE;40;57;64;-7;40;35;25
0312755B;CFA MIDISUP;OCCITANIE;60;60;63;-3;60;24;16
0312838S;Ecole Technique Privée hors contrat - ADEFI Formation;OCCITANIE;;;;;;;
0312859P;CENTRE DE FORMATIONS APPRENTIS FORMAPOSTE;OCCITANIE;35;65;66;-1;35;42;23
0312895D;Section d'apprentissage de l'Institut de Formation, Recherche, Animation, Sanitaire et Social;OCCITANIE;3;46;47;0;3;45;52
0312899H;Greta Midi-Pyrénées Sud;OCCITANIE;;;;;;;
0312912X;Centre de formation d'apprentis de l'académie de Toulouse;OCCITANIE;35;65;67;-2;35;42;23
0312945H;Centre de formation d'apprentis union nationale des industries des carrieres et matériaux de constructions Occitanie;OCCITANIE;42;63;75;-11;42;36;22
0312984A;ORGANISME DE FORMATION - CENTRE DE FORMATION DAPPRENTIS  ADRAR - RAMONVILLE ST AGNE;OCCITANIE;12;46;52;-6;12;41;47
0312985B;ORGANISME DE FORMATION - CENTRE DE FORMATION DAPPRENTIS CEPFOR - LABEGE;OCCITANIE;;;;;;;
0312986C;ORGANISME DE FORMATION - CENTRE DE FORMATION DAPPRENTIS TEMANA - COLOMIERS;OCCITANIE;;;;;;;
0312988E;ORGANISME DE FORMATION - CENTRE DE FORMATION DAPPRENTIS Euroformation Sud - Toulouse;OCCITANIE;24;69;58;11;24;53;23
0312991H;ORGANISME DE FORMATION - CENTRE DE FORMATION DAPPRENTIS Loisirs Education et Citoyenneté formation;OCCITANIE;;;;;;;
0313006Z;Organisme de formation centre de formation d'apprentis ABC FORMATION;OCCITANIE;;;;;;;
0313007A;ORGANISME DE FORMATION - CENTRE DE FORMATION D APPRENTIS  Centre de Formation Apprentissage et Perfectionnement;OCCITANIE;;;;;;;
0313009C;ORGANISME DE FORMATION - CENTRE DE FORMATION D APPRENTIS PROSFORMA;OCCITANIE;;;;;;;
0313013G;ORGANISME DE FORMATION - CENTRE DE FORMATION D APPRENTIS SAS IFCDis Groupe;OCCITANIE;15;52;51;1;15;44;41
0313021R;ORGANISME DE FORMATION - CENTRE DE FORMATION D APPRENTIS MFR TOULOUSE NORD;OCCITANIE;;;;;;;
0313022S;ORGANISME DE FORMATION - CENTRE DE FORMATION D APPRENTIS CVIFS;OCCITANIE;;;;;;;
0313028Y;ORGANISME DE FORMATION - CENTRE DE FORMATION D APPRENTIS Aubry Coiffure - Esthétique;OCCITANIE;26;65;53;12;26;48;26
0313031B;ORGANISME DE FORMATION - CENTRE DE FORMATION D APPRENTIS Axio-Lution;OCCITANIE;19;56;54;2;19;45;36
0313034E;ORGANISME DE FORMATION - CENTRE DE FORMATION D APPRENTIS EUROPHENIX;OCCITANIE;;;;;;;
0320542R;Centre de formation d'apprentis Chambre des métiers du Gers;OCCITANIE;38;69;66;3;38;43;19
0320663X;Maison Familiale Rurale de Cologne;OCCITANIE;;;;;;;
0320677M;Centre de formation d'Apprentis Agricole du Gers;OCCITANIE;29;49;62;-12;29;35;36
0320745L;ORGANISME DE FORMATION - CENTRE DE FORMATION D APPRENTIS CCI FORMATION GERS;OCCITANIE;;;;;;;
0330174K;Maison Familiale Rurale Saint-Trelody - Lesparre;NOUVELLE-AQUITAINE;;;;;;;
0330175L;Maison Familiale Rurale de Saint-Yzans - Médoc;NOUVELLE-AQUITAINE;;;;;;;
0330176M;Maison Familiale Rurale de Blaye;NOUVELLE-AQUITAINE;10;;;;10;45;45
0330207W;Institut Régional du Travail Social Nouvelle-Aquitaine;NOUVELLE-AQUITAINE;;;;;;;
0331574G;Ecole technique privée Pigier Création;NOUVELLE-AQUITAINE;14;84;72;12;14;72;14
0331707B;Site de formation d'apprentis de la chambre des métiers et de l'artisanat de région Nouvelle Aquitaine Institut des Métiers de l'Artisanat de Bordeaux;NOUVELLE-AQUITAINE;39;65;62;3;39;40;21
0331708C;Centre de formation d'apprentis du district sud bassin;NOUVELLE-AQUITAINE;39;59;61;-2;39;36;25
0331712G;Centre de formation d'apprentis Hygie Formations Pharmacie d'Aquitaine;NOUVELLE-AQUITAINE;9;75;73;2;9;69;22
0331715K;Centre de formation d'apprentis du lycée Gustave Eiffel;NOUVELLE-AQUITAINE;38;57;62;-5;38;35;27
0332197J;Centre de formation d'apprentis du bâtiment et des travaux publics de la Gironde;NOUVELLE-AQUITAINE;44;68;66;2;44;38;18
0332279Y;Centre de formation d'apprentis  Le Vigean;NOUVELLE-AQUITAINE;25;63;60;4;25;47;28
0332471G;Maison Familiale Rurale des Eglisottes;NOUVELLE-AQUITAINE;;;;;;;
0332472H;Maison Familiale Rurale de La Sauve;NOUVELLE-AQUITAINE;;;;;;;
0332473J;Maison Familiale Rurale de Vayres;NOUVELLE-AQUITAINE;;;;;;;
0332551U;Organisme de formation-Centre de formation d'apprentis du transport et de la logistique Aquitaine (AFTRAL);NOUVELLE-AQUITAINE;23;74;72;2;23;57;20
0332709R;CFA de la Gironde;NOUVELLE-AQUITAINE;29;52;56;-4;29;37;34
0332813D;centre de formation d'apprentis campus du lac bordeaux;NOUVELLE-AQUITAINE;33;52;58;-6;33;35;32
0332814E;Centre de Formation d'apprentis de l'industrie (CFAI) Aquitaine;NOUVELLE-AQUITAINE;37;64;63;1;37;41;22
0332820L;Greta-CFA d'Aquitaine;NOUVELLE-AQUITAINE;29;68;68;0;29;48;23
0332882D;Centre de formation d'apprentis compagnons du devoir de Bordeaux;NOUVELLE-AQUITAINE;43;67;66;1;43;38;19
0332935L;Ecole secondaire professionnelle privée Formasup Campus;NOUVELLE-AQUITAINE;;;;;;;
0332981L;CFA d'Artigues;NOUVELLE-AQUITAINE;27;53;55;-1;27;39;34
0333000G;Centre de formation d'apprentis Propreté-Hygiène-Environnement (INHNI);NOUVELLE-AQUITAINE;33;55;56;-1;33;37;30
0333016Z;Institut de formation pour l'emploi et l'entreprise noschool;NOUVELLE-AQUITAINE;59;72;60;12;59;30;11
0333034U;Site de formation d'apprentis Ecole supérieure de la banque - Bordeaux;NOUVELLE-AQUITAINE;;;;;;;
0333114F;Centre de formation d'apprentis Formaposte Midi Atlantique;NOUVELLE-AQUITAINE;21;73;72;1;21;58;21
0333123R;Centre de formation d'apprentis IFRIA Nouvelle Aquitaine;NOUVELLE-AQUITAINE;53;60;66;-6;53;28;19
0333130Y;Centre de formations d'apprentis maison de la promotion sociale - Métiers de l'environnement;NOUVELLE-AQUITAINE;22;57;56;1;22;44;34
0333131Z;Centre de formation d'apprentis Multimétiers de la Haute Gironde;NOUVELLE-AQUITAINE;32;54;56;-2;32;36;32
0333135D;Centre de formation d'apprentis sport, animation Nouvelle Aquitaine;NOUVELLE-AQUITAINE;23;54;53;1;23;41;36
0333158D;Maison Familiale Rurale de Gironde;NOUVELLE-AQUITAINE;;;;;;;
0333199Y;Centre de formation d'apprentis ASPECT Aquitaine;NOUVELLE-AQUITAINE;29;59;64;-5;29;42;29
0333200Z;Organisme de formation-Centre de formation d'apprentis groupement professionnel de formation de l'hospitalisation privée Nouvelle Aquitaine (GPFHP);NOUVELLE-AQUITAINE;2;69;58;12;2;68;30
0333204D;Centre de formation d'apprentis Leem Apprentissage Nouvelle-Aquitaine;NOUVELLE-AQUITAINE;;;;;;;
0333235M;Centre de formation d'apprentis des métiers de la mer;NOUVELLE-AQUITAINE;;;;;;;
0333288V;Centre de formation d'apprentis A.F.P.A Aquitaine;NOUVELLE-AQUITAINE;5;;;;5;65;30
0333326L;Kedge Business School - Campus de Bordeaux - Siège social;NOUVELLE-AQUITAINE;;;;;;;
0333335W;Centre de formation d'apprentis Ducretet Nouvelle-Aquitaine;NOUVELLE-AQUITAINE;12;56;61;-5;12;49;39
0333400S;centre de formation d'apprentis - université de bordeaux;NOUVELLE-AQUITAINE;78;58;61;-3;78;12;10
0333405X;Ecole technique privée Pigier Performance;NOUVELLE-AQUITAINE;29;71;59;12;29;51;20
0333435E;Cafa formations;NOUVELLE-AQUITAINE;30;67;58;9;30;47;23
0333437G;Organisme de formation-Centre de formation d'apprentis Groupe Conseil Ingenierie Formation Bègles;NOUVELLE-AQUITAINE;17;;;;17;35;48
0333438H;Organisme de formation-Centre de formations d'apprentis STADE FORMATION ARTIGUES PRES BORDEAUX;NOUVELLE-AQUITAINE;22;52;53;-1;22;41;37
0333439J;organisme de formation - centre de formation d'apprentis formation insertion développement des ressources humaines bordeaux;NOUVELLE-AQUITAINE;;;;;;;
0333440K;organisme de formation-centre de formation d'apprentis ifp bordeaux;NOUVELLE-AQUITAINE;30;78;66;12;30;54;16
0333444P;organisme de formation-centre de formation d'apprentis IPCEM Bordeaux;NOUVELLE-AQUITAINE;;;;;;;
0333450W;organisme de formation-centre de formation d'apprentis fondation infa de Bordeaux;NOUVELLE-AQUITAINE;;;;;;;
0333452Y;organisme de formation-centre de formation d'apprentis form'aqui bruges;NOUVELLE-AQUITAINE;0;57;45;12;0;57;43
0333460G;organisme de formation-centre de formation d'apprentis institut d'enseignement supérieur technique bordeaux;NOUVELLE-AQUITAINE;66;;;;66;20;14
0333469S;organisme de formation-centre de formation d'apprentis m.partn'hair bordeaux;NOUVELLE-AQUITAINE;;;;;;;
0333470T;organisme de formation-centre de formation d'apprentis institut gt bassens;NOUVELLE-AQUITAINE;;;;;;;
0333472V;organisme de formation-centre de formation d'apprentis symphonie accompagnements cfa grand âge et dépendance de cenon;NOUVELLE-AQUITAINE;;;;;;;
0333476Z;organisme de formation-centre de formation d'apprentis isteg mérignac;NOUVELLE-AQUITAINE;;;;;;;
0333477A;organisme de formation-centre de formation d'apprentis g2c agathe prepa Bordeaux;NOUVELLE-AQUITAINE;;;;;;;
0340994W;IDELCA Business School;OCCITANIE;33;65;63;2;33;43;24
0341024D;Centre de formation d'apprentis Nicolas Albano;OCCITANIE;41;63;55;8;41;37;22
0341493N;Centre de formation d'apprentise BTP de l'Hérault;OCCITANIE;39;56;60;-4;39;34;27
0341495R;Centre de formation d'apprentis de l'Education nationale de l'Hérault;OCCITANIE;32;60;64;-4;32;41;27
0341540P;GRETA de Montpellier Littoral;OCCITANIE;33;68;68;-1;33;45;22
0341541R;Greta Hérault Ouest;OCCITANIE;;;;;;;
0341621C;CFA de l'Hérault;OCCITANIE;31;55;57;-2;31;38;31
0341728U;Institut Régional du Travail Social;OCCITANIE;;;;;;;
0341919B;CFA Union des industries et métiers de la métallurgie (Association de Formation Professionnelle de l'Industrie Languedoc-Roussillon);OCCITANIE;28;69;67;2;28;50;22
0341979S;Centre de formation d'apprentis de l'hospitalisation privée;OCCITANIE;;;;;;;
0341983W;Centre de formation d'apprentis FORMAPOSTE Méditerranée;OCCITANIE;19;48;59;-11;19;39;42
0341985Y;Centre de formation d'apprentis Transport et Logistique, AFTRAL;OCCITANIE;18;74;62;12;18;61;21
0342009Z;Centre de formation d'apprentis Institut Formation Régional Industries Alimentaires Occitanie;OCCITANIE;19;86;75;11;19;69;12
0342135L;Centre de formation d'apprentis ESMA Aviation Academy;OCCITANIE;10;;;;10;75;15
0342180K;Centre de formation d'apprentis des travaux publics en Languedoc-Roussillon;OCCITANIE;41;75;72;3;41;44;15
0342217A;Centre de formation d'apprentis des Professions Sanitaires, Sociales et Médico-sociales;OCCITANIE;16;54;49;6;16;46;38
0342239Z;Centre de formation des apprentis des Métiers du Sport, de l'animation et du Tourisme en Occitanie;OCCITANIE;24;;;;24;;76
0342258V;Section d'apprentisssage Paul Bousquet;OCCITANIE;;;;;;;
0342283X;Centre de formation des apprentis des Métiers Territoriaux du Languedoc-Roussillon;OCCITANIE;17;32;24;8;17;27;56
