n°UAI de l'établissement;Libellé de l'établissement;Région;Taux de poursuite d'études;Taux;Taux attendu;Valeur ajoutée;Part en poursuite d'études ;Part en emploi 6 mois après la sortie ;Part des autres situations 
0010826T;Organisme de formation-Centre de formation d'apprentis CECOF BERNARD PALISSY AMBERIEU EN BUGEY;AUVERGNE-RHONE-ALPES;43;69;69;0;43;39;18
0010856A;Organisme de formation-Centre de formation d'apprentis Association pour la Formation et la Promotion des Metiers de l'Ain PERONNAS;AUVERGNE-RHONE-ALPES;37;82;79;3;37;51;12
0010965U;Organisme de formation-Centre de formation d'apprentis du BTP Ain BOURG EN BRESSE;AUVERGNE-RHONE-ALPES;44;68;73;-4;44;38;18
0011073L;Maison Familiale Rurale La Vernée - Péronnas;AUVERGNE-RHONE-ALPES;33;76;72;5;33;51;16
0011074M;Maison Familiale Rurale de Bâgé-le-Châtel;AUVERGNE-RHONE-ALPES;nd;nd;nd;nd;nd;nd;nd
0011164K;GRETA-CFA Ain;AUVERGNE-RHONE-ALPES;43;70;72;-2;43;39;18
0011170S;Maison Familiale Rurale de la Saulsaie - Montluel;AUVERGNE-RHONE-ALPES;nd;nd;nd;nd;nd;nd;nd
0011171T;Maison Familiale Rurale de Pont-de-Veyle;AUVERGNE-RHONE-ALPES;nd;nd;nd;nd;nd;nd;nd
0011268Y;Organisme de formation-Centre de formation d'apprentis MAISON FAMILIALE RURALE DE BALAN;AUVERGNE-RHONE-ALPES;53;72;65;7;53;34;13
0011324J;Organisme de formation-Centre de formation d'apprentis MFR CORMARANCHE EN BUGEY PLATEAU D HAUTEVILLE;AUVERGNE-RHONE-ALPES;60;79;73;5;60;32;8
0011413F;Gex'sup;AUVERGNE-RHONE-ALPES;11;80;68;12;11;71;18
0011443N;Ecole technique supérieure privée Voltaire Business School;AUVERGNE-RHONE-ALPES;nd;nd;nd;nd;nd;nd;nd
0021502X;Organisme de formation-Centre de formation d'apprentis de la CCIA Laon;HAUTS-DE-FRANCE;28;49;55;-6;28;35;37
0021739E;Organisme de formation-Centre de formation d'apprentis de BTP CFA 02 Laon;HAUTS-DE-FRANCE;41;57;64;-7;41;34;25
0021831E;Maison Familiale Rurale de Clairfontaine;HAUTS-DE-FRANCE;42;30;42;-12;42;17;41
0021907M;Maison Familiale Rurale vallée du retz - Ambleny;HAUTS-DE-FRANCE;24;41;53;-12;24;31;45
0021908N;Maison Familiale Rurale de La Capelle;HAUTS-DE-FRANCE;31;45;57;-12;31;31;38
0022189U;Organisme de formation-Centre de formation d'apprentis d'Axion formations Saint-Quentin;HAUTS-DE-FRANCE;nd;nd;nd;nd;nd;nd;nd
0022191W;Organisme de formation-Centre de formation d'apprentis de 3 solutions avec l'alternance Saint-Quentin;HAUTS-DE-FRANCE;4;54;48;6;4;52;44
0022193Y;Organisme de formation-Centre de formation d'apprentis STUDI;HAUTS-DE-FRANCE;1;9;21;-12;1;9;90
0022196B;Organisme de formation-Centre de formation d'apprentis de ALM SPORT FORMATION SAINT-QUENTIN;HAUTS-DE-FRANCE;nd;nd;nd;nd;nd;nd;nd
0022201G;Organisme de formation-Centre de formation d'apprentis de Accompagner Jalonner Former Performance Soissons;HAUTS-DE-FRANCE;nd;nd;nd;nd;nd;nd;nd
0030124U;Centre de formation d'apprentis - Institut de formation interprofessionnel de l'Allier;AUVERGNE-RHONE-ALPES;39;67;66;2;39;41;20
0030126W;Centre de formation d'apprentis - Ecole des métiers du bâtiment;AUVERGNE-RHONE-ALPES;40;69;69;0;40;41;19
0030907V;Maison Familiale Rurale de Saligny-sur-Roudon;AUVERGNE-RHONE-ALPES;nd;nd;nd;nd;nd;nd;nd
0030908W;Maison Familiale Rurale de Limoise;AUVERGNE-RHONE-ALPES;nd;nd;nd;nd;nd;nd;nd
0030925P;Maison Familiale Rurale d'Escurolles;AUVERGNE-RHONE-ALPES;nd;nd;nd;nd;nd;nd;nd
0031030D;Centre de Formation d'Apprentis de l'Industrie d'Auvergne;AUVERGNE-RHONE-ALPES;31;76;76;0;31;52;17
0031127J;Organisme de formation-Centre de Formation d'Apprentis d'Alternance Auvergne, Montluçon;AUVERGNE-RHONE-ALPES;nd;nd;nd;nd;nd;nd;nd
0031130M;Organisme de formation-Centre de formation d apprentis de la CCI Allier;AUVERGNE-RHONE-ALPES;nd;nd;nd;nd;nd;nd;nd
0031131N;Organisme de formation-Centre de formation d'apprentis d'IMCS SARL Gestion Formation Conseil Auvergne, Vichy;AUVERGNE-RHONE-ALPES;15;68;60;8;15;58;27
