n°UAI de l'établissement;Libellé de l'établissement;Région;Taux de poursuite d'études;Taux;Taux attendu;Valeur ajoutée;Part en poursuite d'études ;Part en emploi 6 mois après la sortie ;Part des autres situations 
0031133R;AFTRAL CFATL TOULON SUR ALLIER;AUVERGNE-RHONE-ALPES;2;79;78;1;2;77;21
0031135T;ASSOCIATION PORTE AVENIR FORMATION;AUVERGNE-RHONE-ALPES;nd;nd;nd;nd;nd;nd;nd
0040161D;CFA CAMPUS DE DIGNE;PROVENCE-ALPES-COTE D'AZUR;40;63;66;-3;40;38;22
0040548Z;CFA d'apprentis de Sup'alternance provence de Manosque;PROVENCE-ALPES-COTE D'AZUR;33;71;66;5;33;48;19
0040578G;SPORT ET FORMATION;PROVENCE-ALPES-COTE D'AZUR;44;47;55;-8;44;27;29
0040579H;ALPES DEVELOPPEMENT FORMATION;PROVENCE-ALPES-COTE D'AZUR;29;49;61;-12;29;35;36
0050503V;OF-CFA Régional des Métiers et de l'Artisanat Campus de Gap;PROVENCE-ALPES-COTE D'AZUR;37;75;68;7;37;47;16
0050606G;Maison Familiale Rurale de Ventavon;PROVENCE-ALPES-COTE D'AZUR;24;nd;nd;nd;24;48;28
0050621Y;Greta-CFA Alpes Provence;PROVENCE-ALPES-COTE D'AZUR;33;69;66;3;33;47;20
0050663U;CPE-CFA;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0050665W;GROUPE ALTERNANCE GAP;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0050666X;CENTRE REGIONALE ET EUROPEEN DU TOURISME;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0060916N;Ctre de formation d'apprentis bâtiment et TP des AM;PROVENCE-ALPES-COTE D'AZUR;38;58;66;-7;38;36;26
0060920T;Ctre de formation régional d'apprentis Faculté des métiers;PROVENCE-ALPES-COTE D'AZUR;35;57;64;-7;35;37;28
0061603K;CFA régional PACA;PROVENCE-ALPES-COTE D'AZUR;28;57;59;-2;28;41;31
0061610T;Ecole Supérieure Privée Pigier Nice;PROVENCE-ALPES-COTE D'AZUR;41;66;61;5;41;39;20
0061909T;Ctre de formation d'apprentis Métropole Côte d'Azur;PROVENCE-ALPES-COTE D'AZUR;35;64;62;2;35;42;23
0061992H;Ecole supérieure privée ISCAE;PROVENCE-ALPES-COTE D'AZUR;56;47;59;-12;56;21;23
0062087L;CFA rég. Infosupaca;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0062093T;Organisme de formation-Centre de formation d'apprentis Don Bosco Nice;PROVENCE-ALPES-COTE D'AZUR;27;65;69;-4;27;48;25
0062116T;Ecole supérieure privée Neven education;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0062140U;Ecole supérieure privé ESID NICE;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0062173E;Etablissement technique privé Campus Riera;PROVENCE-ALPES-COTE D'AZUR;47;nd;nd;nd;47;34;19
0062176H;GIP FIPAN CFA Rég de l'académie de Nice;PROVENCE-ALPES-COTE D'AZUR;34;64;66;-2;34;42;24
0062199H;Organisme de formation-Centre de formation d'apprentis VISIPLUS Valbonne;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0062200J;Organinsme de formation - centre de formation d'apprentis Groupement Promotion Echanges Internationaux Antibes;PROVENCE-ALPES-COTE D'AZUR;40;59;63;-4;40;36;24
0062201K;Organisme formation-Centre de formation d'apprentis UFIP Nice;PROVENCE-ALPES-COTE D'AZUR;48;58;64;-6;48;30;22
0062202L;Organisme de formation-Centre de formation d'apprentis du centre de formations aux métiers de la petite enfance Nice;PROVENCE-ALPES-COTE D'AZUR;7;56;56;0;7;52;41
0062204N;Organisme formation-Centre de formation d'apprentis CFA CCINCA Nice;PROVENCE-ALPES-COTE D'AZUR;35;65;70;-5;35;42;23
0062209U;Organisme de formation-Centre de formation d'apprentis CEFOR G Nice;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0062213Y;Organisme de formation-Centre de formation d'apprentis Conseil - Formation Nice;PROVENCE-ALPES-COTE D'AZUR;6;54;50;4;6;51;43
0062218D;Etablissement privé d'enseignement supérieur libre RH Reflex;PROVENCE-ALPES-COTE D'AZUR;32;nd;nd;nd;32;44;24
0062221G;Organisme de formation-Centre de formation d'apprentis Alternance Sud Azur Nice;PROVENCE-ALPES-COTE D'AZUR;41;62;62;0;41;37;22
0062254T;Organisme de formation-Centre de formation d'apprentis IFP Cannes;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0062255U;Organisme de formation-Centre de formation d'apprentis UPDATE 06 Antibes;PROVENCE-ALPES-COTE D'AZUR;16;35;47;-12;16;29;55
0062257W;Organisme de formation - Centre de formation d'apprentis Philomena SAS Cannes;PROVENCE-ALPES-COTE D'AZUR;9;81;69;12;9;74;17
0062259Y;Organisme de formation-Centre de formation d'apprentis ASFO Grasse Grasse;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0062260Z;Organisme de formation-Centre de formation d'apprentis ISIM Nice;PROVENCE-ALPES-COTE D'AZUR;34;48;60;-12;34;31;35
0062263C;Organisme de formation-Centre de formation d'apprentis ARDRESS Le Cannet;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0062265E;Organisme de formation-Centre de formation d'apprentis CEFFA Cannes STELO formation;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0062268H;Organisme de formation-Centre de formation d'apprentis ISCOD Valbonne;PROVENCE-ALPES-COTE D'AZUR;9;59;56;2;9;53;38
0062273N;Organisme de formation-Centre de formation d'apprentis Centre de formation et compétences Biot;PROVENCE-ALPES-COTE D'AZUR;4;60;53;8;4;58;38
0062307A;Organisme de formation-Centre de formation d'apprentis AFTRAL Carros;PROVENCE-ALPES-COTE D'AZUR;22;74;69;5;22;57;21
0062314H;Organisme de formation - Centre de formation d'apprentis de A3FA MANDELIEU-LA-NAPOULE;PROVENCE-ALPES-COTE D'AZUR;68;nd;nd;nd;68;6;26
0062316K;Organisme de formation-Centre de formation d'apprentis Alxia Othis formation Carros;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0070876P;Organisme de formation-Centre de formation d'apprentis de la SEPR-Annonay;AUVERGNE-RHONE-ALPES;37;74;65;9;37;46;17
0071199R;Organisme de formation-Centre de formation d'apprentis d'André Fargier-Lanas;AUVERGNE-RHONE-ALPES;35;50;58;-8;35;32;33
0071376H;Organisme de formation-Centre de formation d'apprentis d'ADAPSS-Guilherand-Granges;AUVERGNE-RHONE-ALPES;26;85;85;0;26;63;11
0071385T;Greta Vivarais Provence;AUVERGNE-RHONE-ALPES;24;61;61;0;24;46;30
0071456V;Organisme de formation-Centre de formation d'apprentis de Formation Emploi Avenir-Privas;AUVERGNE-RHONE-ALPES;35;60;56;4;35;39;26
0080842X;ALMEA FORMATION Interpro Ardennes;GRAND EST;42;57;58;-1;42;33;25
0080951R;Maison Familiale Rurale de Lucquy;GRAND EST;13;70;67;4;13;61;26
0080972N;Centre de Formation d'Apprentis Agricole des Ardennes;GRAND EST;37;56;64;-8;37;35;28
0081002W;Greta des Ardennes;GRAND EST;44;72;70;3;44;41;15
0081065P;Centre de Formation d'Apprentis Agricole Saint-Laurent;GRAND EST;39;51;55;-4;39;31;30
0081137T;Offre de formation par apprentissage du BTP Grandest des Ardennes;GRAND EST;54;65;71;-5;54;30;16
0081150G;OF - Centre de formation de la Salle;GRAND EST;31;64;62;2;31;44;25
0081151H;OF Turenne Compétences - centre d'apprentissage;GRAND EST;nd;nd;nd;nd;nd;nd;nd
0081152J;OF BSA Apprentissage Maud Badureau;GRAND EST;nd;nd;nd;nd;nd;nd;nd
0081155M;CFA - CCI des Ardennes - Offres de formation;GRAND EST;0;40;52;-12;0;40;60
0081161U;Centre de formation d'apprentissage François Urano;GRAND EST;nd;nd;nd;nd;nd;nd;nd
0081165Y;Le royaume des tous petits centre d'apprentis'sages par offre de formation;GRAND EST;nd;nd;nd;nd;nd;nd;nd
0090553C;Organisme de formation - Centre de formation d'apprentis Chambre de métiers de l'Ariège;OCCITANIE;35;59;62;-3;35;39;26
0100715Y;Alméa Formations Interpro 10;GRAND EST;35;62;61;1;35;40;25
0100824S;BTP Grand Est Organisme de formation par apprentissage;GRAND EST;34;70;69;1;34;46;20
0100948B;Centre de Formation d'Apprentis de St Pouange;GRAND EST;38;64;69;-5;38;39;23
0100975F;Greta Sud Champagne;GRAND EST;26;56;66;-10;26;42;32
0101035W;Centre de Formation d'Apprentis de la pharmacie de Troyes;GRAND EST;21;84;79;5;21;66;13
0101060Y;Université de Technologie de Troyes;GRAND EST;43;64;64;0;43;37;20
0101140K;CENTRE FORM PRO LA SALLE;GRAND EST;38;70;70;-1;38;43;19
0101141L;Groupe Alternance Troyes - Offre de formations;GRAND EST;51;nd;nd;nd;51;32;17
0101143N;OF Sylvia Terrade apprentissage G-E Troyes;GRAND EST;nd;nd;nd;nd;nd;nd;nd
0101147T;Yschools association ADPS formation continue d'adultes;GRAND EST;nd;nd;nd;nd;nd;nd;nd
0101149V;Y SCHOOLS CENTRE DE FORMATION POUR APPRENTISSAGE;GRAND EST;55;nd;nd;nd;55;25;20
0110681F;Organisme de formation-Centre de formation d'apprentis interprofessionnel Henri Martin, Lézignan-Corbières;OCCITANIE;39;61;63;-2;39;37;24
0110884B;Organisme de formation-Centre de formation d'apprentis du BTP de l'Aude, Lézignan-Corbières;OCCITANIE;42;57;63;-6;42;33;25
0110905Z;Greta de l'Aude;OCCITANIE;19;72;63;9;19;59;22
0110943R;CFA de l'Aude;OCCITANIE;33;49;52;-3;33;33;34
0111003F;Organisme de formation-Centre de formation d'apprentis de  Spécialisé Languedoc-Roussillon, Carcassonne;OCCITANIE;51;41;49;-8;51;20;29
0111036S;Centre de Formation Professionnelle du Midi;OCCITANIE;24;40;52;-12;24;30;46
0111059S;SUPEXUP, Ecoles de commerce privées;OCCITANIE;44;82;70;12;44;46;10
0111079N;Organisme de formation-Centre de formation d'apprentis de Formation Inov Saint-Pierre, Carcassonne;OCCITANIE;nd;nd;nd;nd;nd;nd;nd
0120887Z;Organisme de formation - Centre de formation d'apprentis Chambre des metiers de l'Aveyron;OCCITANIE;40;69;70;-1;40;41;19
0121336M;Maison Familiale Rurale de Naucelle;OCCITANIE;nd;nd;nd;nd;nd;nd;nd
0121371A;Greta Midi-Pyrénées Nord;OCCITANIE;37;68;75;-7;37;43;20
0121479T;CFA de Saint Affrique;OCCITANIE;24;81;72;9;24;62;14
0121507Y;CFA Nord Ouest Aveyron;OCCITANIE;32;58;70;-12;32;40;28
0121516H;ORGANISME DE FORMATION - CENTRE DE FORMATION D'APPRENTIS SPE FORMATION;OCCITANIE;nd;nd;nd;nd;nd;nd;nd
0131767A;OF-CFA MUNICIPAL DE SALON DE PROVENCE;PROVENCE-ALPES-COTE D'AZUR;31;59;60;-1;31;41;28
0131772F;Centre de formation d'apprentis du BTP Marseille;PROVENCE-ALPES-COTE D'AZUR;37;59;66;-7;37;37;26
0131775J;OF-CFA BOURSE DU TRAVAIL;PROVENCE-ALPES-COTE D'AZUR;30;58;57;1;30;41;29
0131779N;OF-CFA IFMP PHARMACIE MARSEILLE-ALPES-PROVENC;PROVENCE-ALPES-COTE D'AZUR;18;87;82;6;18;71;11
0131781R;CFA de la Coiffure Roger Para;PROVENCE-ALPES-COTE D'AZUR;56;40;52;-12;56;18;26
0131782S;OF-CFA INDUSTRIE DE PROVENCE;PROVENCE-ALPES-COTE D'AZUR;33;70;75;-5;33;47;20
0131784U;Sainte Victoire Pays d'Aix;PROVENCE-ALPES-COTE D'AZUR;99;nd;nd;nd;99;1;0
0131786W;CFA METIERS DE L'AUTOMOBILE;PROVENCE-ALPES-COTE D'AZUR;36;59;67;-7;36;38;26
0131903Y;CFA DE LA COIFFURE ARCOLE;PROVENCE-ALPES-COTE D'AZUR;49;61;62;-1;49;31;20
0132010P;Maison Familiale Rurale de Lambesc;PROVENCE-ALPES-COTE D'AZUR;23;63;63;0;23;49;28
0132149R;Maison Familiale Rurale de Beauchamp - Eyragues;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0132278F;Maison Familiale Rurale de la Montagnette - Barbentane;PROVENCE-ALPES-COTE D'AZUR;26;55;59;-4;26;41;33
0132469N;OF-CFA DU BATIMENT AIX EN PROVENCE;PROVENCE-ALPES-COTE D'AZUR;36;64;68;-4;36;41;23
0132470P;CFA INTERPROFESSIONNEL COROT;PROVENCE-ALPES-COTE D'AZUR;20;65;55;10;20;52;28
0132823Y;Maison Familiale Rurale de Puyloubier;PROVENCE-ALPES-COTE D'AZUR;27;73;65;8;27;54;19
0132976P;Greta-CFA Provence;PROVENCE-ALPES-COTE D'AZUR;34;67;66;1;34;44;22
0133004V;OF-CFA DU TRANSPORT ET DE LA LOGISTIQUE (AFTRAL);PROVENCE-ALPES-COTE D'AZUR;18;65;69;-4;18;54;28
0133317K;Institut Technique et Professionnel Aixois;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0133339J;OF-CFA DE LA CITE TECHNIQUE;PROVENCE-ALPES-COTE D'AZUR;34;62;64;-2;34;41;25
0133475G;OF-CFA DES COMPAGNONS DU DEVOIR;PROVENCE-ALPES-COTE D'AZUR;41;55;67;-12;41;33;26
0133486U;Centre de Formation des Apprentis Interfed Santé Social;PROVENCE-ALPES-COTE D'AZUR;5;64;61;3;5;61;34
0133489X;CFA EPURE MEDITERRANEE;PROVENCE-ALPES-COTE D'AZUR;71;59;62;-3;71;17;12
0133501K;Institut supérieur du transport et de la logistique internationale;PROVENCE-ALPES-COTE D'AZUR;44;nd;nd;nd;44;40;16
0133509U;FEDERATION REGIONALE DE MFR;PROVENCE-ALPES-COTE D'AZUR;42;45;54;-9;42;26;32
0133527N;OF CFA régional interconsulaire méditerranée;PROVENCE-ALPES-COTE D'AZUR;45;63;64;-1;45;35;20
0133535X;CFA des métiers hippiques;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0133562B;CFA Santé animale;PROVENCE-ALPES-COTE D'AZUR;3;85;73;12;3;82;15
0133565E;Formaposte Sud Est;PROVENCE-ALPES-COTE D'AZUR;29;64;62;2;29;46;25
0133597P;INHNI SUD EST;PROVENCE-ALPES-COTE D'AZUR;51;65;55;10;51;32;17
0133622S;ASSOCIATION REGIONALE POUR LA FORMATION PAR L APPRENTISSAGE AUX METIERS DU SPORT DU TOURISME ET DE L ANIMATION (A.R.F.A.M.S.T.A);PROVENCE-ALPES-COTE D'AZUR;21;nd;nd;nd;nd;nd;nd
0133645S;Ecole de la construction des infrastructures et réseaux APPRENTISSAGE;PROVENCE-ALPES-COTE D'AZUR;43;85;76;9;43;48;9
0133690R;OF-CFA METIER DU SOCIA;PROVENCE-ALPES-COTE D'AZUR;35;63;62;1;35;41;24
0133810W;INSTITUT FORMATION CONSEIL MARSEILLE;PROVENCE-ALPES-COTE D'AZUR;47;68;64;4;47;36;17
0133879W;Institut Supérieur d'Optique de Marseille;PROVENCE-ALPES-COTE D'AZUR;44;78;75;3;44;44;12
0133915K;Maison Familiale Rurale Rhône Alpilles - St Martin de Crau;PROVENCE-ALPES-COTE D'AZUR;35;54;54;0;35;35;30
0133927Y;CFA BTP ARLES;PROVENCE-ALPES-COTE D'AZUR;37;56;67;-11;37;35;28
0133963M;regional des metiers de l'environnement et du developpement durable;PROVENCE-ALPES-COTE D'AZUR;55;48;60;-12;55;21;24
0133999B;Ecole Pour l'Informatique et les nouvellesTECHnologies;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0134088Y;Greta-CFA Marseille Méditerranée;PROVENCE-ALPES-COTE D'AZUR;25;59;61;-3;25;44;31
0134105S;centre de formation d'apprentis des métiers du spectacle;PROVENCE-ALPES-COTE D'AZUR;55;46;41;5;55;21;24
0134122K;IFCO Marseille;PROVENCE-ALPES-COTE D'AZUR;10;63;60;3;10;56;34
0134137B;OF-CFA SULLY FORMATION;PROVENCE-ALPES-COTE D'AZUR;45;80;68;12;45;44;11
0134249Y;MFREO Sainte Victoire de Rousset;PROVENCE-ALPES-COTE D'AZUR;39;59;56;3;39;36;25
0134280G;sarl GROUPE SOMEFORM;PROVENCE-ALPES-COTE D'AZUR;30;67;67;0;30;47;23
0134281H;OF-CFA LUDORIUM;PROVENCE-ALPES-COTE D'AZUR;13;50;57;-7;13;44;43
0134288R;CODEV;PROVENCE-ALPES-COTE D'AZUR;15;72;65;7;15;62;23
0134291U;SARL MAOR FORMATIONS;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0134294X;Provence Formation des Métiers des Services;PROVENCE-ALPES-COTE D'AZUR;35;70;69;1;35;45;20
0134296Z;PROFIL MANAGER;PROVENCE-ALPES-COTE D'AZUR;37;75;67;8;37;47;16
0134297A;FCR de Marseille;PROVENCE-ALPES-COTE D'AZUR;34;61;68;-7;34;40;26
0134299C;ALTERNANCE EXXECC;PROVENCE-ALPES-COTE D'AZUR;43;51;60;-9;43;29;28
0134300D;PLATE FORME;PROVENCE-ALPES-COTE D'AZUR;2;54;65;-11;2;53;45
0134301E;SAS SEC;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0134303G;CNAM PACA;PROVENCE-ALPES-COTE D'AZUR;48;nd;nd;nd;48;30;22
0134304H;WIKI LEARN FORMATION;PROVENCE-ALPES-COTE D'AZUR;51;56;59;-3;51;28;21
0134305J;GROUPE ALTERNANCE AIX;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0134307L;IFCO PARIS;PROVENCE-ALPES-COTE D'AZUR;12;74;62;12;12;65;23
0134308M;ESTC;PROVENCE-ALPES-COTE D'AZUR;52;nd;nd;nd;52;30;18
0134309N;IFTE AIX;PROVENCE-ALPES-COTE D'AZUR;55;66;67;-2;55;29;16
0134311R;SIGMA FORMATION;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0134318Y;VOILE IMPULSION;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0134330L;A.E.C.D.;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0134331M;ESAME;PROVENCE-ALPES-COTE D'AZUR;60;58;68;-10;60;23;17
0134332N;CENTRE DE FORMATION CMA CGM ACADEMY;PROVENCE-ALPES-COTE D'AZUR;0;78;66;12;0;78;22
0134333P;My Business School Campus de Marseille (13);PROVENCE-ALPES-COTE D'AZUR;60;nd;nd;nd;60;28;12
0134334R;My Business School Campus d'Aix en Provence (13);PROVENCE-ALPES-COTE D'AZUR;52;64;72;-8;52;30;18
0134336T;M2S FORMATION SCHOOL;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0134337U;M2S FORMATION;PROVENCE-ALPES-COTE D'AZUR;54;70;64;6;54;32;14
0134338V;ILF - EHP -  INSTITUT LA FORBINE;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0134339W;ESDAC AIX EN PROVENCE;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0134340X;OF-CFA ESDAC IPSAA;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0134343A;M2S FORMATION AUBAGNE;PROVENCE-ALPES-COTE D'AZUR;60;nd;nd;nd;60;20;20
0134349G;OF-CFA DELTA - SUP'IPGV;PROVENCE-ALPES-COTE D'AZUR;41;74;69;5;41;44;15
0134350H;MFREO DE LA ROQUE D'ANTHERON;PROVENCE-ALPES-COTE D'AZUR;19;62;57;4;19;50;31
0134353L;ASSOCIATION FORMATIC;PROVENCE-ALPES-COTE D'AZUR;20;75;63;12;20;60;20
0134355N;CAMPUS PRO CENTRE DE FORMATION DE SAINT GOBAIN;PROVENCE-ALPES-COTE D'AZUR;23;70;62;8;23;54;23
0134357R;COACHING PACA;PROVENCE-ALPES-COTE D'AZUR;42;nd;nd;nd;42;15;43
0134361V;Association de formation pour la Coopération et la Promotion Professionnelle Méditerrannéenne;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0134367B;ECIR FORMATION;PROVENCE-ALPES-COTE D'AZUR;36;nd;nd;nd;36;46;18
0134368C;ARTECH FORMATION;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0134370E;A.S.F. - ASSOCIATION SUD FORMATION;PROVENCE-ALPES-COTE D'AZUR;29;47;59;-12;29;33;38
0134380R;6ème Sens Formation - A.B.C.M;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0134381S;IRC - SUD;PROVENCE-ALPES-COTE D'AZUR;5;60;52;8;5;57;38
0134399L;INSTITUT AERO FORMATIONS;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0134400M;CMAR PACA;PROVENCE-ALPES-COTE D'AZUR;43;61;62;-1;43;35;22
0134401N;QWANTIC;PROVENCE-ALPES-COTE D'AZUR;13;60;60;0;13;52;35
0134409X;ESPACE FORMATION;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0134421K;OF-CFA IS-FYO;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0134422L;Association Sportive des Cavaliers du Club Hippique d'Aix-Marseille;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0134424N;OF-CFA Ecole boulangerie  NOE;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0141300M;Organisme de formation-Centre de formation d'apprentis CIFAC de Caen;NORMANDIE;50;71;73;-1;50;36;14
0141408E;Université de Caen Normandie;NORMANDIE;73;73;67;7;73;20;7
0141601P;Organisme de formation-Centre de formation d'apprentis du batîment Jean Hochet Caen;NORMANDIE;54;72;70;2;54;33;13
0141815X;Organisme de formation-Centre de formation d'apprentis Institut Consulaire d'Enseignement Professionnel ICEP CAEN;NORMANDIE;37;67;67;0;37;42;21
0141872J;Maison Familiale Rurale france de Maltot;NORMANDIE;45;72;73;-1;45;40;15
0141902S;Maison Familiale Rurale de Balleroy;NORMANDIE;28;58;69;-11;28;41;31
0141903T;Maison Familiale Rurale de Blangy-le-Château;NORMANDIE;43;77;68;9;43;44;13
0141904U;Maison Familiale Rurale de Les Moutiers-en-Cinglais;NORMANDIE;nd;nd;nd;nd;nd;nd;nd
0141941J;CFA Le Robillard;NORMANDIE;31;72;70;2;31;50;19
0141992P;Institut Supérieur Professionnel Normandie CAEN;NORMANDIE;52;59;69;-9;52;29;19
0142106N;Organisme de formation-Centre de formation d'apprentis CFAI Grand Ouest Normandie Caen;NORMANDIE;33;78;77;1;33;52;15
0142180U;CFA de Vire;NORMANDIE;29;79;75;4;29;56;15
