n°UAI de l'établissement;Libellé de l'établissement;Région;Taux de poursuite d'études;Taux;Taux attendu;Valeur ajoutée;Part en poursuite d'études ;Part en emploi 6 mois après la sortie ;Part des autres situations 
0010826T;Organisme de formation-Centre de formation d'apprentis CECOF BERNARD PALISSY AMBERIEU EN BUGEY;AUVERGNE-RHONE-ALPES;42;70;69;1;42;41;17
0010856A;Organisme de formation-Centre de formation d'apprentis Association pour la Formation et la Promotion des Metiers de l'Ain PERONNAS;AUVERGNE-RHONE-ALPES;38;80;79;1;38;50;12
0010965U;Organisme de formation-Centre de formation d'apprentis du BTP Ain BOURG EN BRESSE;AUVERGNE-RHONE-ALPES;44;71;73;-2;44;40;16
0011073L;Maison Familiale Rurale La Vernée - Péronnas;AUVERGNE-RHONE-ALPES;42;71;71;0;42;41;17
0011074M;Maison Familiale Rurale de Bâgé-le-Châtel;AUVERGNE-RHONE-ALPES;46;62;60;2;46;33;21
0011164K;GRETA-CFA Ain;AUVERGNE-RHONE-ALPES;36;67;70;-3;36;43;21
0011170S;Maison Familiale Rurale de la Saulsaie - Montluel;AUVERGNE-RHONE-ALPES;46;nd;nd;nd;46;29;25
0011171T;Maison Familiale Rurale de Pont-de-Veyle;AUVERGNE-RHONE-ALPES;29;nd;nd;nd;29;42;29
0011268Y;Organisme de formation-Centre de formation d'apprentis MAISON FAMILIALE RURALE DE BALAN;AUVERGNE-RHONE-ALPES;58;68;66;3;58;29;13
0011324J;Organisme de formation-Centre de formation d'apprentis MFR CORMARANCHE EN BUGEY PLATEAU D HAUTEVILLE;AUVERGNE-RHONE-ALPES;54;76;72;4;54;35;11
0011413F;Gex'sup;AUVERGNE-RHONE-ALPES;11;80;68;12;11;71;18
0011443N;Ecole technique supérieure privée Voltaire Business School;AUVERGNE-RHONE-ALPES;36;nd;nd;nd;36;45;19
0011459F;Organisme de formation-Centre de formation d'apprentis ISTEA CONSEIL BOHAS;AUVERGNE-RHONE-ALPES;nd;nd;nd;nd;nd;nd;nd
0011460G;Organisme de formation-Centre de formation d'apprentis Comité Régional d'Equitation Auvergne-Rhône-Alpes CRE A-RA CHAZEY SUR AIN;AUVERGNE-RHONE-ALPES;nd;nd;nd;nd;nd;nd;nd
0021502X;Organisme de formation-Centre de formation d'apprentis LAHO à Laon;HAUTS-DE-FRANCE;28;53;55;-1;28;38;34
0021739E;Organisme de formation-Centre de formation d'apprentis de BTP CFA 02 Laon;HAUTS-DE-FRANCE;39;56;63;-7;39;34;27
0021831E;Maison Familiale Rurale de Clairfontaine;HAUTS-DE-FRANCE;51;39;51;-12;51;19;30
0021907M;Maison Familiale Rurale vallée du retz - Ambleny;HAUTS-DE-FRANCE;24;54;57;-4;24;41;35
0021908N;Maison Familiale Rurale de La Capelle;HAUTS-DE-FRANCE;23;40;52;-12;23;31;46
0022189U;Organisme de formation-Centre de formation d'apprentis d'Axion formations Saint-Quentin;HAUTS-DE-FRANCE;18;nd;nd;nd;18;59;23
0022191W;Site de formation d'apprentis 3 solutions avec l'alternance Saint-Quentin;HAUTS-DE-FRANCE;nd;nd;nd;nd;nd;nd;nd
0022193Y;Organisme de formation-Centre de formation d'apprentis STUDI;HAUTS-DE-FRANCE;1;4;16;-12;1;4;95
0022196B;Organisme de formation-Centre de formation d'apprentis de ALM SPORT FORMATION SAINT-QUENTIN;HAUTS-DE-FRANCE;26;68;60;8;26;50;24
0022201G;Organisme de formation-Centre de formation d'apprentis de Accompagner Jalonner Former Performance Soissons;HAUTS-DE-FRANCE;nd;nd;nd;nd;nd;nd;nd
0030124U;Centre de formation d'apprentis - Institut de formation interprofessionnel de l'Allier;AUVERGNE-RHONE-ALPES;39;69;66;3;39;42;19
0030126W;Centre de formation d'apprentis - Ecole des métiers du bâtiment;AUVERGNE-RHONE-ALPES;36;69;68;1;36;44;20
0030907V;Maison Familiale Rurale de Saligny-sur-Roudon;AUVERGNE-RHONE-ALPES;36;nd;nd;nd;36;36;28
0030908W;Maison Familiale Rurale de Limoise;AUVERGNE-RHONE-ALPES;nd;nd;nd;nd;nd;nd;nd
0030925P;Maison Familiale Rurale d'Escurolles;AUVERGNE-RHONE-ALPES;79;nd;nd;nd;79;17;4
0030955X;Maison Familiale Rurale de Saint-Leopardin d'Augy;AUVERGNE-RHONE-ALPES;nd;nd;nd;nd;nd;nd;nd
0031030D;Centre de Formation d'Apprentis de l'Industrie d'Auvergne;AUVERGNE-RHONE-ALPES;27;76;78;-2;27;55;18
0031127J;Organisme de formation-Centre de Formation d'Apprentis d'Alternance Auvergne, Montluçon;AUVERGNE-RHONE-ALPES;50;nd;nd;nd;50;31;19
0031129L;Organisme de formation-Centre de Formation d'Apprentis de Fondation INFA, Montluçonu;AUVERGNE-RHONE-ALPES;nd;nd;nd;nd;nd;nd;nd
0031130M;Organisme de formation-Centre de formation d apprentis de la CCI Allier;AUVERGNE-RHONE-ALPES;71;nd;nd;nd;71;21;8
0031131N;Organisme de formation-Centre de formation d'apprentis d'IMCS SARL Gestion Formation Conseil Auvergne, Vichy;AUVERGNE-RHONE-ALPES;23;74;63;12;23;57;20
0031133R;AFTRAL CFATL TOULON SUR ALLIER;AUVERGNE-RHONE-ALPES;1;81;78;2;1;80;19
0031135T;ASSOCIATION PORTE AVENIR FORMATION;AUVERGNE-RHONE-ALPES;46;71;61;11;46;38;16
0040161D;OF CFA CAMPUS DE DIGNE;PROVENCE-ALPES-COTE D'AZUR;38;62;65;-3;38;38;24
0040548Z;CFA d'apprentis de Sup'alternance provence de Manosque;PROVENCE-ALPES-COTE D'AZUR;40;66;66;0;40;40;20
