n°UAI de l'établissement;Libellé de l'établissement;Région;Taux de poursuite d'études;Taux;Taux attendu;Valeur ajoutée;Part en poursuite d'études ;Part en emploi 6 mois après la sortie ;Part des autres situations 
0040577F;MFREO de Bléone Durance à Chateau Arnoux;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0040578G;SPORT ET FORMATION;PROVENCE-ALPES-COTE D'AZUR;31;56;64;-8;31;38;31
0040579H;ALPES DEVELOPPEMENT FORMATION;PROVENCE-ALPES-COTE D'AZUR;31;48;60;-12;31;33;36
0040584N;VICENTA FORMATION - CFA DES METIERS DE LA BEAUTE;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0050503V;OF-CFA Régional des Métiers et de l'Artisanat Campus de Gap;PROVENCE-ALPES-COTE D'AZUR;40;75;68;7;40;45;15
0050606G;Maison Familiale Rurale de Ventavon;PROVENCE-ALPES-COTE D'AZUR;29;64;64;0;29;45;26
0050621Y;Greta-CFA Alpes Provence;PROVENCE-ALPES-COTE D'AZUR;34;61;67;-5;34;41;25
0050663U;CPE-CFA;PROVENCE-ALPES-COTE D'AZUR;67;nd;nd;nd;67;26;7
0050665W;GROUPE ALTERNANCE GAP;PROVENCE-ALPES-COTE D'AZUR;36;59;66;-8;36;38;26
0050666X;CENTRE REGIONALE ET EUROPEEN DU TOURISME;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0060916N;Ctre de formation d'apprentis bâtiment et TP des AM;PROVENCE-ALPES-COTE D'AZUR;40;57;64;-7;40;34;26
0060920T;Ctre de formation régional d'apprentis Faculté des métiers;PROVENCE-ALPES-COTE D'AZUR;31;57;62;-4;31;40;29
0061542U;Ecole Professionnelle privée ESCCOM;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0061603K;CFA régional PACA;PROVENCE-ALPES-COTE D'AZUR;28;60;60;0;28;43;29
0061610T;Ecole Supérieure Privée Pigier Nice;PROVENCE-ALPES-COTE D'AZUR;41;58;58;0;41;34;25
0061909T;Ctre de formation d'apprentis Métropole Côte d'Azur;PROVENCE-ALPES-COTE D'AZUR;37;64;59;5;37;40;23
0061992H;Ecole supérieure privée ISCAE;PROVENCE-ALPES-COTE D'AZUR;57;36;48;-12;57;15;28
0062070T;Ecole supérieure privé E.S.C.C.O.M Cannes;PROVENCE-ALPES-COTE D'AZUR;75;nd;nd;nd;75;12;13
0062084H;Ecole Technico Professionelle de Services EPITECH;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0062093T;Organisme de formation-Centre de formation d'apprentis Don Bosco Nice;PROVENCE-ALPES-COTE D'AZUR;30;68;66;2;30;48;22
0062116T;Organisme de formation-Centre de formation d'apprentis Neven Education Mandelieu la Napoule;PROVENCE-ALPES-COTE D'AZUR;51;60;64;-4;51;30;19
0062140U;Ecole supérieure privé ESID NICE;PROVENCE-ALPES-COTE D'AZUR;20;nd;nd;nd;20;40;40
0062173E;Etablissement technique privé Campus International Riera;PROVENCE-ALPES-COTE D'AZUR;50;50;55;-5;50;25;25
0062176H;GIP FIPAN CFA Rég de l'académie de Nice;PROVENCE-ALPES-COTE D'AZUR;35;61;65;-4;35;40;25
0062183R;Centre de formation privé  ASP Bodyguard;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0062200J;Organinsme de formation - centre de formation d'apprentis Groupement Promotion Echanges Internationaux Antibes;PROVENCE-ALPES-COTE D'AZUR;40;68;64;4;40;40;20
0062201K;Organisme formation-Centre de formation d'apprentis UFIP Nice;PROVENCE-ALPES-COTE D'AZUR;50;59;57;2;50;29;21
0062202L;Organisme de formation-Centre de formation d'apprentis du centre de formations aux métiers de la petite enfance Nice;PROVENCE-ALPES-COTE D'AZUR;9;72;64;8;9;65;26
0062204N;Organisme formation-Centre de formation d'apprentis CFA CCINCA Nice;PROVENCE-ALPES-COTE D'AZUR;33;64;71;-6;33;43;24
0062209U;Organisme de formation-Centre de formation d'apprentis Ecole supérieure compétences métiers Nice;PROVENCE-ALPES-COTE D'AZUR;54;nd;nd;nd;54;8;38
0062213Y;Organisme de formation-Centre de formation d'apprentis Conseil - Formation Nice;PROVENCE-ALPES-COTE D'AZUR;4;47;50;-3;4;46;50
0062218D;Etablissement privé d'enseignement supérieur libre RH Reflex;PROVENCE-ALPES-COTE D'AZUR;32;nd;nd;nd;32;44;24
0062221G;Organisme de formation-Centre de formation d'apprentis Alternance Sud Azur Nice;PROVENCE-ALPES-COTE D'AZUR;34;45;57;-12;34;30;36
0062254T;Organisme de formation-Centre de formation d'apprentis IFP Cannes;PROVENCE-ALPES-COTE D'AZUR;36;54;52;2;36;34;30
0062255U;Organisme de formation-Centre de formation d'apprentis UPDATE 06 Antibes;PROVENCE-ALPES-COTE D'AZUR;11;51;57;-6;11;46;43
0062257W;Organisme de formation - Centre de formation d'apprentis Philomena SAS Cannes;PROVENCE-ALPES-COTE D'AZUR;9;81;69;12;9;74;17
0062259Y;Organisme de formation-Centre de formation d'apprentis ASFO Grasse Grasse;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0062260Z;Organisme de formation-Centre de formation d'apprentis ISIM Nice;PROVENCE-ALPES-COTE D'AZUR;31;50;58;-8;31;34;35
0062263C;Organisme de formation-Centre de formation d'apprentis ARDRESS Le Cannet;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0062265E;Organisme de formation-Centre de formation d'apprentis CEFFA Cannes STELO formation;PROVENCE-ALPES-COTE D'AZUR;18;nd;nd;nd;18;32;50
0062268H;Organisme de formation-Centre de formation d'apprentis ISCOD Valbonne;PROVENCE-ALPES-COTE D'AZUR;56;59;58;1;56;26;18
0062273N;Organisme de formation-Centre de formation d'apprentis Centre de formation et compétences Biot;PROVENCE-ALPES-COTE D'AZUR;5;58;53;5;5;55;40
0062307A;Organisme de formation-Centre de formation d'apprentis AFTRAL Carros;PROVENCE-ALPES-COTE D'AZUR;30;62;59;2;30;43;27
0062314H;Organisme de formation - Centre de formation d'apprentis de A3FA MANDELIEU-LA-NAPOULE;PROVENCE-ALPES-COTE D'AZUR;71;35;47;-12;71;10;19
0062316K;Organisme de formation-Centre de formation d'apprentis Alxia Othis formation Carros;PROVENCE-ALPES-COTE D'AZUR;11;71;59;12;11;63;26
0062330A;Organisme de formation-Centre de formation d'apprentis FLC Formation Villeneuve-Loubet;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0062332C;Organisme de formation-Centre de formation d'apprentis LUZ CARE Cannes;PROVENCE-ALPES-COTE D'AZUR;14;77;77;0;14;67;19
0070876P;Organisme de formation-Centre de formation d'apprentis de la SEPR-Annonay;AUVERGNE-RHONE-ALPES;39;77;64;12;39;47;14
0071199R;Organisme de formation-Centre de formation d'apprentis d'André Fargier-Lanas;AUVERGNE-RHONE-ALPES;33;56;57;-1;33;37;30
0071376H;Organisme de formation-Centre de formation d'apprentis d'ADAPSS-Guilherand-Granges;AUVERGNE-RHONE-ALPES;26;86;85;1;26;63;11
0071385T;Greta Vivarais Provence;AUVERGNE-RHONE-ALPES;24;57;62;-5;24;43;33
0071456V;Organisme de formation-Centre de formation d'apprentis de Formation Emploi Avenir-Privas;AUVERGNE-RHONE-ALPES;40;57;58;-1;40;34;26
0071472M;Organisme de formation-Centre de formation d'apprentis de l'école supérieure de la Bio-Davézieux;AUVERGNE-RHONE-ALPES;nd;nd;nd;nd;nd;nd;nd
0080842X;OF-CFA  ALMEA FORMATION;GRAND EST;45;56;56;0;45;31;24
0080951R;Maison Familiale Rurale de Lucquy;GRAND EST;23;74;65;8;23;57;20
0080972N;Centre de Formation d'Apprentis Agricole des Ardennes;GRAND EST;39;59;65;-6;39;35;26
0081002W;GRETA-CFA DES ARDENNES;GRAND EST;43;66;71;-5;43;37;20
0081065P;Centre de Formation d'Apprentis Agricole Saint-Laurent;GRAND EST;42;62;60;1;42;36;22
0081137T;OF-CFA du BTP  Ardennes;GRAND EST;53;66;70;-5;53;31;16
0081150G;OF-CFA de la Salle;GRAND EST;32;70;64;6;32;47;21
0081151H;OF-CFA Turenne Compétences;GRAND EST;34;74;63;11;34;49;17
0081152J;OF-CFA BSA  Maud Badureau;GRAND EST;nd;nd;nd;nd;nd;nd;nd
0081157P;OF-CFA E-WORKS;GRAND EST;nd;nd;nd;nd;nd;nd;nd
0081161U;OF-CFA FRANCOIS URANO;GRAND EST;nd;nd;nd;nd;nd;nd;nd
0081165Y;OF-CFA LE ROYAUME DES TOUS PETITS;GRAND EST;9;66;67;-1;9;59;32
0090553C;Organisme de formation - Centre de formation d'apprentis Chambre de métiers de l'Ariège;OCCITANIE;35;59;61;-2;35;38;27
0100715Y;Alméa Formations Interpro 10;GRAND EST;36;63;59;4;36;40;24
0100824S;BTP Grand Est Organisme de formation par apprentissage;GRAND EST;41;74;67;7;41;44;15
0100948B;Centre de Formation d'Apprentis de St Pouange;GRAND EST;43;62;70;-8;43;36;21
0100975F;Greta-CFA Sud Champagne;GRAND EST;25;58;65;-7;25;43;32
0101035W;ALMEA  FORMATION INTERPRO;GRAND EST;38;87;84;4;38;54;8
0101060Y;Université de Technologie de Troyes;GRAND EST;43;64;65;-1;43;36;21
0101140K;CENTRE FORM PRO LA SALLE;GRAND EST;44;65;68;-3;44;36;20
0101141L;Groupe Alternance Troyes - Offre de formations;GRAND EST;46;73;65;8;46;39;15
0101147T;Yschools association AADPSFP formation continue d'adultes;GRAND EST;nd;nd;nd;nd;nd;nd;nd
0101149V;Y SCHOOLS CENTRE DE FORMATION POUR APPRENTISSAGE;GRAND EST;42;60;57;3;42;35;23
0110681F;Organisme de formation-Centre de formation d'apprentis interprofessionnel Henri Martin, Lézignan-Corbières;OCCITANIE;41;61;62;-1;41;36;23
0110884B;Organisme de formation-Centre de formation d'apprentis du BTP de l'Aude, Lézignan-Corbières;OCCITANIE;37;58;61;-3;37;37;26
0110905Z;Greta de l'Aude;OCCITANIE;14;75;64;11;14;64;22
0110943R;CFA de l'Aude;OCCITANIE;28;52;54;-2;28;38;34
0111003F;Organisme de formation-Centre de formation d'apprentis de  Spécialisé Languedoc-Roussillon, Carcassonne;OCCITANIE;54;44;52;-7;54;20;26
0111036S;Centre de Formation Professionnelle du Midi;OCCITANIE;18;nd;nd;nd;18;32;50
0111059S;SUPEXUP, Ecoles de commerce privées;OCCITANIE;43;79;67;12;43;46;11
0111073G;Ecole Supérieure Occitane, SAS Dimensionpro;OCCITANIE;nd;nd;nd;nd;nd;nd;nd
0111079N;Organisme de formation-Centre de formation d'apprentis de Formation Inov Saint-Pierre, Carcassonne;OCCITANIE;nd;nd;nd;nd;nd;nd;nd
0120887Z;Organisme de formation - Centre de formation d'apprentis Chambre des metiers de l'Aveyron;OCCITANIE;43;70;68;2;43;40;17
0121336M;Maison Familiale Rurale de Naucelle;OCCITANIE;45;nd;nd;nd;45;32;23
0121371A;Greta Midi-Pyrénées Nord;OCCITANIE;22;71;75;-4;22;55;23
0121479T;CFA de Saint Affrique;OCCITANIE;23;80;76;4;23;61;16
0121507Y;CFA Nord Ouest Aveyron;OCCITANIE;34;63;73;-10;34;42;24
0121516H;Organisme de foramtion - Centre de formation d'apprentis SPE FORMATION;OCCITANIE;32;56;66;-10;32;38;30
0121520M;Organisme de foramtion - Centre de formation d'apprentis FAMILLES RURALES AVEYRON OF;OCCITANIE;nd;nd;nd;nd;nd;nd;nd
0131767A;OF-CFA MUNICIPAL DE SALON DE PROVENCE;PROVENCE-ALPES-COTE D'AZUR;33;57;58;-1;33;38;29
0131772F;Centre de formation d'apprentis du BTP Marseille;PROVENCE-ALPES-COTE D'AZUR;37;57;65;-8;37;36;27
0131775J;OF-CFA BOURSE DU TRAVAIL;PROVENCE-ALPES-COTE D'AZUR;29;60;60;0;29;43;28
0131779N;OF-CFA IFMP PHARMACIE MARSEILLE-ALPES-PROVENC;PROVENCE-ALPES-COTE D'AZUR;18;85;81;4;18;70;12
0131781R;CFA de la Coiffure Roger Para;PROVENCE-ALPES-COTE D'AZUR;53;39;51;-12;53;18;29
0131782S;OF-CFA INDUSTRIE DE PROVENCE;PROVENCE-ALPES-COTE D'AZUR;34;72;76;-4;34;47;19
0131784U;Sainte Victoire Pays d'Aix;PROVENCE-ALPES-COTE D'AZUR;55;63;60;3;55;28;17
0131786W;CFA METIERS DE L'AUTOMOBILE;PROVENCE-ALPES-COTE D'AZUR;39;60;72;-12;39;37;24
0131903Y;CFA DE LA COIFFURE ARCOLE;PROVENCE-ALPES-COTE D'AZUR;47;55;60;-5;47;29;24
0132010P;Maison Familiale Rurale de Lambesc;PROVENCE-ALPES-COTE D'AZUR;21;66;61;5;21;52;27
0132149R;Maison Familiale Rurale de Beauchamp - Eyragues;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0132278F;Maison Familiale Rurale de la Montagnette - Barbentane;PROVENCE-ALPES-COTE D'AZUR;28;53;60;-7;28;38;34
0132469N;OF-CFA DU BATIMENT AIX EN PROVENCE;PROVENCE-ALPES-COTE D'AZUR;35;60;66;-6;35;39;26
0132470P;CFA INTERPROFESSIONNEL COROT;PROVENCE-ALPES-COTE D'AZUR;21;62;55;7;21;49;30
0132823Y;Maison Familiale Rurale de Puyloubier;PROVENCE-ALPES-COTE D'AZUR;40;61;65;-3;40;37;23
0132976P;Greta-CFA Provence;PROVENCE-ALPES-COTE D'AZUR;37;71;69;2;37;45;18
0133004V;OF-CFA DU TRANSPORT ET DE LA LOGISTIQUE (AFTRAL);PROVENCE-ALPES-COTE D'AZUR;20;58;63;-5;20;46;34
0133317K;Institut Technique et Professionnel Aixois;PROVENCE-ALPES-COTE D'AZUR;29;72;60;12;29;51;20
0133339J;OF-CFA DE LA CITE TECHNIQUE;PROVENCE-ALPES-COTE D'AZUR;32;64;66;-2;32;43;25
0133475G;OF-CFA DES COMPAGNONS DU DEVOIR;PROVENCE-ALPES-COTE D'AZUR;42;57;67;-10;42;33;25
0133486U;Centre de Formation des Apprentis Interfed Santé Social;PROVENCE-ALPES-COTE D'AZUR;8;77;73;4;8;71;21
0133489X;CFA FORMASUP MEDITERRANNEE;PROVENCE-ALPES-COTE D'AZUR;70;60;65;-4;70;18;12
0133501K;Institut supérieur du transport et de la logistique internationale;PROVENCE-ALPES-COTE D'AZUR;43;77;65;12;43;44;13
0133527N;OF CFA régional interconsulaire méditerranée;PROVENCE-ALPES-COTE D'AZUR;44;67;59;8;44;37;19
0133562B;CFA Santé animale;PROVENCE-ALPES-COTE D'AZUR;2;84;72;12;2;83;15
0133565E;Formaposte Sud Est;PROVENCE-ALPES-COTE D'AZUR;32;62;60;3;32;42;26
0133597P;INHNI SUD EST;PROVENCE-ALPES-COTE D'AZUR;48;65;57;8;48;34;18
0133622S;ASSOCIATION REGIONALE POUR LA FORMATION PAR L APPRENTISSAGE AUX METIERS DU SPORT DU TOURISME ET DE L ANIMATION (A.R.F.A.M.S.T.A);PROVENCE-ALPES-COTE D'AZUR;27;57;60;-3;27;41;32
0133645S;Ecole de la construction des infrastructures et réseaux APPRENTISSAGE;PROVENCE-ALPES-COTE D'AZUR;46;82;76;6;46;44;10
0133690R;OF-CFA METIER DU SOCIA;PROVENCE-ALPES-COTE D'AZUR;32;62;63;-2;32;42;26
0133810W;INSTITUT FORMATION CONSEIL MARSEILLE;PROVENCE-ALPES-COTE D'AZUR;51;60;62;-2;51;29;20
0133879W;Institut Supérieur d'Optique de Marseille;PROVENCE-ALPES-COTE D'AZUR;45;83;75;8;45;45;10
0133915K;Maison Familiale Rurale Rhône Alpilles - St Martin de Crau;PROVENCE-ALPES-COTE D'AZUR;36;53;56;-3;36;34;30
0133927Y;CFA BTP ARLES;PROVENCE-ALPES-COTE D'AZUR;35;66;68;-1;35;43;22
0133963M;regional des metiers de l'environnement et du developpement durable;PROVENCE-ALPES-COTE D'AZUR;80;nd;nd;nd;80;18;2
0133999B;Ecole Pour l'Informatique et les nouvellesTECHnologies;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0134088Y;Greta-CFA Marseille Méditerranée;PROVENCE-ALPES-COTE D'AZUR;38;59;63;-4;38;36;26
0134105S;centre de formation d'apprentis des métiers du spectacle;PROVENCE-ALPES-COTE D'AZUR;51;50;53;-3;51;25;24
0134122K;IFCO Marseille;PROVENCE-ALPES-COTE D'AZUR;11;63;58;5;11;56;33
0134137B;OF-CFA SULLY BUSINESS SCHOOL;PROVENCE-ALPES-COTE D'AZUR;45;80;68;12;45;44;11
0134249Y;MFREO Sainte Victoire de Rousset;PROVENCE-ALPES-COTE D'AZUR;40;63;57;7;40;38;22
0134280G;sarl GROUPE SOMEFORM;PROVENCE-ALPES-COTE D'AZUR;16;37;49;-12;16;31;53
0134281H;OF-CFA LUDORIUM;PROVENCE-ALPES-COTE D'AZUR;48;55;56;-2;48;29;23
0134288R;CODEV;PROVENCE-ALPES-COTE D'AZUR;26;72;67;5;26;53;21
0134289S;TRIPHASE FORMATIONS;PROVENCE-ALPES-COTE D'AZUR;55;61;59;2;55;27;18
0134291U;SARL MAOR FORMATIONS;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0134294X;Provence Formation des Métiers des Services;PROVENCE-ALPES-COTE D'AZUR;32;67;69;-2;32;46;22
0134295Y;FDM GROUPE;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0134296Z;PROFIL MANAGER;PROVENCE-ALPES-COTE D'AZUR;33;74;64;10;33;50;17
0134297A;FCR de Marseille;PROVENCE-ALPES-COTE D'AZUR;36;48;60;-12;36;31;33
0134299C;ALTERNANCE EXXECC;PROVENCE-ALPES-COTE D'AZUR;49;55;60;-5;49;28;23
0134300D;PLATE FORME;PROVENCE-ALPES-COTE D'AZUR;3;62;60;2;3;60;37
0134301E;SAS SEC;PROVENCE-ALPES-COTE D'AZUR;27;66;70;-4;27;48;25
0134303G;CNAM PACA;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0134304H;WIKI LEARN FORMATION;PROVENCE-ALPES-COTE D'AZUR;45;59;59;0;45;33;22
0134305J;GROUPE ALTERNANCE AIX;PROVENCE-ALPES-COTE D'AZUR;49;71;63;7;49;36;15
0134307L;IFCO PARIS;PROVENCE-ALPES-COTE D'AZUR;17;61;59;2;17;51;32
0134308M;ESTC;PROVENCE-ALPES-COTE D'AZUR;58;nd;nd;nd;58;19;23
0134309N;IFTE AIX;PROVENCE-ALPES-COTE D'AZUR;46;58;64;-6;46;31;23
0134310P;ASSOCIATION POUR LE CONSEIL EN ORIENTATION PROFESSIONNELLE L'ACCOMPAGNEMENT ET LE DEVELOPPEMENT;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0134311R;SIGMA FORMATION;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0134318Y;VOILE IMPULSION;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0134330L;A.E.C.D.;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0134331M;ESAME;PROVENCE-ALPES-COTE D'AZUR;58;63;67;-4;58;26;16
0134332N;CENTRE DE FORMATION CMA CGM ACADEMY;PROVENCE-ALPES-COTE D'AZUR;3;86;74;12;3;83;14
0134333P;My Business School Campus de Marseille (13);PROVENCE-ALPES-COTE D'AZUR;57;62;62;0;57;27;16
0134334R;My Business School Campus d'Aix en Provence (13);PROVENCE-ALPES-COTE D'AZUR;52;63;69;-6;52;30;18
0134337U;M2S FORMATION;PROVENCE-ALPES-COTE D'AZUR;56;66;62;3;56;29;15
0134338V;ILF - EHP -  INSTITUT LA FORBINE;PROVENCE-ALPES-COTE D'AZUR;80;nd;nd;nd;80;12;8
0134339W;ESDAC AIX EN PROVENCE;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0134343A;M2S FORMATION AUBAGNE;PROVENCE-ALPES-COTE D'AZUR;63;55;60;-6;63;20;17
0134349G;OF-CFA DELTA - SUP'IPGV;PROVENCE-ALPES-COTE D'AZUR;44;69;69;1;44;39;17
0134350H;MFREO DE LA ROQUE D'ANTHERON;PROVENCE-ALPES-COTE D'AZUR;32;55;55;0;32;38;30
0134353L;ASSOCIATION FORMATIC;PROVENCE-ALPES-COTE D'AZUR;17;68;63;5;17;57;26
0134355N;CAMPUS PRO CENTRE DE FORMATION DE SAINT GOBAIN;PROVENCE-ALPES-COTE D'AZUR;26;63;62;0;26;46;28
0134357R;COACHING PACA;PROVENCE-ALPES-COTE D'AZUR;47;40;52;-12;47;21;32
0134361V;Association de formation pour la Coopération et la Promotion Professionnelle Méditerrannéenne;PROVENCE-ALPES-COTE D'AZUR;30;nd;nd;nd;30;43;27
0134364Y;ENERGYZON - FORMATION;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0134367B;ECIR FORMATION;PROVENCE-ALPES-COTE D'AZUR;33;63;61;2;33;42;25
0134368C;ARTECH FORMATION;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0134370E;A.S.F. - ASSOCIATION SUD FORMATION;PROVENCE-ALPES-COTE D'AZUR;9;47;59;-12;9;43;48
0134380R;6ème Sens Formation - A.B.C.M;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0134381S;IRC - SUD;PROVENCE-ALPES-COTE D'AZUR;33;60;52;8;33;40;27
0134392D;ENVOLL CONSEIL - FORMATION;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0134395G;IFTE SUD MARSEILLE;PROVENCE-ALPES-COTE D'AZUR;nd;nd;nd;nd;nd;nd;nd
0134400M;CMAR PACA;PROVENCE-ALPES-COTE D'AZUR;43;61;62;-1;43;35;22
0134401N;QWANTIC;PROVENCE-ALPES-COTE D'AZUR;24;65;57;8;24;49;27
