"n°UAI de l'établissement";"Libellé de l'établissement";"Région";;;"Taux";"Taux attendu";"Valeur ajoutée";;;
"0240028A";"Lycée professionnel Pablo Picasso";"NOUVELLE-AQUITAINE";"ensemble";49;25;29;-4;34;32;45
"0240035H";"Lycée général et technologique Pré de Cordy";"NOUVELLE-AQUITAINE";"ensemble";34;52;50;2;65;52;70
"0240035H";"Lycée général et technologique Pré de Cordy";"NOUVELLE-AQUITAINE";"dont élèves en voie pro sco";34;48;48;0;62;48;67
"0240035H";"Lycée général et technologique Pré de Cordy";"NOUVELLE-AQUITAINE";"dont apprentis";;;;;;;
"0240039M";"Lycée professionnel Porte d'Aquitaine";"NOUVELLE-AQUITAINE";"ensemble";62;46;36;10;54;48;52
"0240048X";"Lycée professionnel Pré de Cordy";"NOUVELLE-AQUITAINE";"ensemble";54;29;34;-5;50;35;62
"0240048X";"Lycée professionnel Pré de Cordy";"NOUVELLE-AQUITAINE";"dont élèves en voie pro sco";54;28;34;-5;50;34;62
"0240048X";"Lycée professionnel Pré de Cordy";"NOUVELLE-AQUITAINE";"dont apprentis";;;;;;;
"0240050Z";"Lycée professionnel Arnaud Daniel";"NOUVELLE-AQUITAINE";"ensemble";50;17;29;-12;25;25;26
"0240079F";"Lycée général et technologique privé Saint Joseph";"NOUVELLE-AQUITAINE";"ensemble";22;;;;;;
"0240081H";"Lycée professionnel privé Saint Joseph";"NOUVELLE-AQUITAINE";"ensemble";62;20;32;-12;47;27;40
"0240089S";"Lycée professionnel privé Saint Vincent de Paul";"NOUVELLE-AQUITAINE";"ensemble";50;32;36;-4;42;53;53
"0240092V";"Lycée professionnel privé Chambre de Commerce et d'Industrie";"NOUVELLE-AQUITAINE";"ensemble";35;52;44;8;64;56;73
"0240094X";"Lycée professionnel privé Sainte Marthe - Saint Front";"NOUVELLE-AQUITAINE";"ensemble";58;33;37;-4;47;43;53
"0240112S";"Etablissement régional d'enseignement adapté Joël Jeannot";"NOUVELLE-AQUITAINE";"ensemble";51;14;16;-3;14;19;27
"0240984P";"Lycée professionnel Léonard de Vinci - Lycée des métiers de l'industrie";"NOUVELLE-AQUITAINE";"ensemble";54;27;28;-1;38;42;44
"0241125T";"Lycée polyvalent Antoine de Saint-Exupéry";"NOUVELLE-AQUITAINE";"ensemble";45;21;33;-12;36;43;43
"0241137F";"Lycée général et technologique Jay de Beaufort";"NOUVELLE-AQUITAINE";"ensemble";38;40;47;-7;50;40;70
"0250001R";"Lycée professionnel Nelson Mandela - Lycée des métiers de la plasturgie, de l'hygiène propreté et des services";"BOURGOGNE-FRANCHE-COMTE";"ensemble";51;39;33;6;37;40;38
"0250001R";"Lycée professionnel Nelson Mandela - Lycée des métiers de la plasturgie, de l'hygiène propreté et des services";"BOURGOGNE-FRANCHE-COMTE";"dont élèves en voie pro sco";51;38;32;6;37;39;37
"0250001R";"Lycée professionnel Nelson Mandela - Lycée des métiers de la plasturgie, de l'hygiène propreté et des services";"BOURGOGNE-FRANCHE-COMTE";"dont apprentis";;;;;;;
"0250007X";"Lycée général et technologique Victor Hugo";"BOURGOGNE-FRANCHE-COMTE";"ensemble";31;72;60;12;72;62;66
"0250007X";"Lycée général et technologique Victor Hugo";"BOURGOGNE-FRANCHE-COMTE";"dont élèves en voie pro sco";35;67;54;12;67;54;58
"0250007X";"Lycée général et technologique Victor Hugo";"BOURGOGNE-FRANCHE-COMTE";"dont apprentis";;;;;;;
"0250008Y";"Lycée général et technologique Louis Pasteur";"BOURGOGNE-FRANCHE-COMTE";"ensemble";61;;;;;;
"0250010A";"Lycée général et technologique Louis Pergaud";"BOURGOGNE-FRANCHE-COMTE";"ensemble";32;59;55;4;59;64;66
"0250011B";"LPO Jules Haag - Lycée des métiers de la microtechnique et de l'automatique";"BOURGOGNE-FRANCHE-COMTE";"ensemble";47;51;50;1;52;56;55
"0250011B";"LPO Jules Haag - Lycée des métiers de la microtechnique et de l'automatique";"BOURGOGNE-FRANCHE-COMTE";"dont élèves en voie pro sco";49;51;46;4;52;58;55
"0250011B";"LPO Jules Haag - Lycée des métiers de la microtechnique et de l'automatique";"BOURGOGNE-FRANCHE-COMTE";"dont apprentis";32;53;65;-12;51;49;56
"0250013D";"Lycée professionnel Pierre-Adrien Pâris - Lycée des métiers de la construction durable";"BOURGOGNE-FRANCHE-COMTE";"ensemble";51;52;58;-5;63;66;65
"0250013D";"Lycée professionnel Pierre-Adrien Pâris - Lycée des métiers de la construction durable";"BOURGOGNE-FRANCHE-COMTE";"dont élèves en voie pro sco";58;44;47;-2;57;59;59
"0250013D";"Lycée professionnel Pierre-Adrien Pâris - Lycée des métiers de la construction durable";"BOURGOGNE-FRANCHE-COMTE";"dont apprentis";25;69;81;-12;78;82;80
"0250014E";"Lycée professionnel Condé - Lycée des métiers des services et soins à la personne et de l'hôtellerie-restauration";"BOURGOGNE-FRANCHE-COMTE";"ensemble";41;32;33;-1;35;37;39
"0250030X";"Lycée général et technologique Georges Cuvier";"BOURGOGNE-FRANCHE-COMTE";"ensemble";12;52;54;-2;48;51;55
"0250043L";"Lycée polyvalent Xavier Marmier";"BOURGOGNE-FRANCHE-COMTE";"ensemble";42;51;46;5;50;57;59
"0250043L";"Lycée polyvalent Xavier Marmier";"BOURGOGNE-FRANCHE-COMTE";"dont élèves en voie pro sco";43;50;44;6;49;57;59
"0250043L";"Lycée polyvalent Xavier Marmier";"BOURGOGNE-FRANCHE-COMTE";"dont apprentis";;;;;;;
"0250063H";"Lycée professionnel Jouffroy d'Abbans";"BOURGOGNE-FRANCHE-COMTE";"ensemble";50;31;32;-1;38;49;48
"0250067M";"Lycée professionnel Les Huisselets - Lycée des métiers de la sécurité et de la prévention";"BOURGOGNE-FRANCHE-COMTE";"ensemble";45;44;39;5;45;52;53
"0250067M";"Lycée professionnel Les Huisselets - Lycée des métiers de la sécurité et de la prévention";"BOURGOGNE-FRANCHE-COMTE";"dont élèves en voie pro sco";46;42;37;5;43;50;51
"0250067M";"Lycée professionnel Les Huisselets - Lycée des métiers de la sécurité et de la prévention";"BOURGOGNE-FRANCHE-COMTE";"dont apprentis";15;68;68;0;68;77;77
"0251021Z";"LGT PR St Paul - Lycée des métiers de la conception de produits et de l'aménagement de l'habitat";"BOURGOGNE-FRANCHE-COMTE";"ensemble";38;35;47;-12;35;26;26
"0251028G";"Institution Notre-Dame Saint-Jean-Lycée";"BOURGOGNE-FRANCHE-COMTE";"ensemble";30;54;59;-5;58;55;60
"0251035P";"Lycée professionnel privé Sainte-Famille";"BOURGOGNE-FRANCHE-COMTE";"ensemble";42;21;33;-12;30;23;33
"0251079M";"Lycée professionnel Tristan Bernard";"BOURGOGNE-FRANCHE-COMTE";"ensemble";47;37;33;4;42;47;47
"0251112Y";"Lycée professionnel privé Saint Bénigne";"BOURGOGNE-FRANCHE-COMTE";"ensemble";40;41;43;-2;42;42;46
"0251349F";"Lycée professionnel Toussaint Louverture";"BOURGOGNE-FRANCHE-COMTE";"ensemble";44;56;44;12;59;53;63
"0251349F";"Lycée professionnel Toussaint Louverture";"BOURGOGNE-FRANCHE-COMTE";"dont élèves en voie pro sco";44;55;43;12;57;51;61
"0251349F";"Lycée professionnel Toussaint Louverture";"BOURGOGNE-FRANCHE-COMTE";"dont apprentis";;;;;;;
"0251371E";"Etablissement régional d'enseignement adapté Simone Veil";"BOURGOGNE-FRANCHE-COMTE";"ensemble";17;;;;;;
"0251592V";"LP PR St Joseph - Lycée des métiers de la conception de produits et de l'aménagement de l'habitat";"BOURGOGNE-FRANCHE-COMTE";"ensemble";62;37;40;-3;54;54;52
"0251671F";"LPO Edgar Faure - Lycée des métiers de l'horlogerie, de la bijouterie et de la joaillerie";"BOURGOGNE-FRANCHE-COMTE";"ensemble";68;29;41;-12;33;32;24
"0251671F";"LPO Edgar Faure - Lycée des métiers de l'horlogerie, de la bijouterie et de la joaillerie";"BOURGOGNE-FRANCHE-COMTE";"dont élèves en voie pro sco";69;29;41;-12;32;31;22
"0251671F";"LPO Edgar Faure - Lycée des métiers de l'horlogerie, de la bijouterie et de la joaillerie";"BOURGOGNE-FRANCHE-COMTE";"dont apprentis";;;;;;;
"0251711Z";"Lycée polyvalent Claude Nicolas Ledoux";"BOURGOGNE-FRANCHE-COMTE";"ensemble";42;66;62;4;68;66;71
"0251711Z";"Lycée polyvalent Claude Nicolas Ledoux";"BOURGOGNE-FRANCHE-COMTE";"dont élèves en voie pro sco";45;66;63;4;69;67;71
"0251711Z";"Lycée polyvalent Claude Nicolas Ledoux";"BOURGOGNE-FRANCHE-COMTE";"dont apprentis";17;64;61;3;64;56;68
"0251971G";"LP Bernard Cordier";"BOURGOGNE-FRANCHE-COMTE";"ensemble";43;75;63;12;75;80;75
"0251994G";"Lycée polyvalent Germaine Tillion";"BOURGOGNE-FRANCHE-COMTE";"ensemble";36;59;51;8;56;58;58
"0251994G";"Lycée polyvalent Germaine Tillion";"BOURGOGNE-FRANCHE-COMTE";"dont élèves en voie pro sco";36;57;49;9;54;57;54
"0251994G";"Lycée polyvalent Germaine Tillion";"BOURGOGNE-FRANCHE-COMTE";"dont apprentis";36;74;68;7;69;64;79
"0260006R";"Lycée polyvalent François Jean Armorin";"AUVERGNE-RHONE-ALPES";"ensemble";28;26;25;1;30;34;28
"0260008T";"Lycée général du Diois";"AUVERGNE-RHONE-ALPES";"ensemble";38;;;;;;
"0260015A";"Lycée général et technologique Alain Borne";"AUVERGNE-RHONE-ALPES";"ensemble";35;60;59;1;46;52;56
"0260017C";"Lycée général et technologique Roumanille";"AUVERGNE-RHONE-ALPES";"ensemble";;;;;;;
"0260019E";"Lycée polyvalent Docteur Gustave Jaume";"AUVERGNE-RHONE-ALPES";"ensemble";46;38;42;-5;49;45;56
"0260019E";"Lycée polyvalent Docteur Gustave Jaume";"AUVERGNE-RHONE-ALPES";"dont élèves en voie pro sco";51;27;35;-8;41;37;50
"0260019E";"Lycée polyvalent Docteur Gustave Jaume";"AUVERGNE-RHONE-ALPES";"dont apprentis";0;84;75;10;81;81;81
"0260023J";"Lycée polyvalent du Dauphiné - Lycée de métiers du cuir";"AUVERGNE-RHONE-ALPES";"ensemble";45;57;51;5;62;63;63
"0260037Z";"Lycée professionnel Victor Hugo";"AUVERGNE-RHONE-ALPES";"ensemble";49;27;31;-4;38;36;44
"0260044G";"Lycée professionnel Auguste Bouvet";"AUVERGNE-RHONE-ALPES";"ensemble";38;45;38;8;46;53;59
"0260072M";"Lycée Général et technologique privé Saint Louis";"AUVERGNE-RHONE-ALPES";"ensemble";12;75;63;12;68;64;82
"0260074P";"Lycée technologique privé Montplaisir";"AUVERGNE-RHONE-ALPES";"ensemble";14;73;61;12;74;75;79
"0260078U";"Lycée professionnel privé Notre Dame des Champs";"AUVERGNE-RHONE-ALPES";"ensemble";49;33;38;-5;44;60;62
"0260082Y";"Lycée professionnel privé La Providence";"AUVERGNE-RHONE-ALPES";"ensemble";36;31;34;-3;47;49;51
"0260113G";"Lycée polyvalent Les Catalins - Lycée des métiers du transport et de la logistique, de l'énergie et des sciences appliquées";"AUVERGNE-RHONE-ALPES";"ensemble";40;56;49;7;67;63;67
"0260113G";"Lycée polyvalent Les Catalins - Lycée des métiers du transport et de la logistique, de l'énergie et des sciences appliquées";"AUVERGNE-RHONE-ALPES";"dont élèves en voie pro sco";42;53;45;7;64;59;64
"0260113G";"Lycée polyvalent Les Catalins - Lycée des métiers du transport et de la logistique, de l'énergie et des sciences appliquées";"AUVERGNE-RHONE-ALPES";"dont apprentis";21;78;74;4;87;91;87
"0260116K";"Lycée professionnel Montesquieu";"AUVERGNE-RHONE-ALPES";"ensemble";56;44;33;10;58;54;56
"0261034H";"Etablissement régional d'enseignement adapté";"AUVERGNE-RHONE-ALPES";"ensemble";37;26;14;12;36;26;36
"0261100E";"Lycée Professionnel - Lycée des métiers de l'art, de la bijouterie et de la joaillerie Amblard";"AUVERGNE-RHONE-ALPES";"ensemble";54;50;42;8;55;58;61
"0261100E";"Lycée Professionnel - Lycée des métiers de l'art, de la bijouterie et de la joaillerie Amblard";"AUVERGNE-RHONE-ALPES";"dont élèves en voie pro sco";56;49;40;8;53;57;62
"0261100E";"Lycée Professionnel - Lycée des métiers de l'art, de la bijouterie et de la joaillerie Amblard";"AUVERGNE-RHONE-ALPES";"dont apprentis";;;;;;;
"0261138W";"Lycée professionnel privé Saint Louis";"AUVERGNE-RHONE-ALPES";"ensemble";52;55;44;11;60;62;65
"0261139X";"Lycée professionnel privé Montplaisir - Lycée des métiers des technologies médico-social, de l'administration et de la gestion des entreprises";"AUVERGNE-RHONE-ALPES";"ensemble";48;63;51;12;63;62;61
"0261148G";"Lycée professionnel hôtelier de l'Hermitage - Lycée des métiers de la restauration et du vin";"AUVERGNE-RHONE-ALPES";"ensemble";48;58;51;8;62;58;62
"0261148G";"Lycée professionnel hôtelier de l'Hermitage - Lycée des métiers de la restauration et du vin";"AUVERGNE-RHONE-ALPES";"dont élèves en voie pro sco";52;57;47;10;61;59;57
"0261148G";"Lycée professionnel hôtelier de l'Hermitage - Lycée des métiers de la restauration et du vin";"AUVERGNE-RHONE-ALPES";"dont apprentis";18;64;66;-2;64;54;86
"0261397C";"Lycée polyvalent Henri Laurens - Lycée des métiers de l'automobile";"AUVERGNE-RHONE-ALPES";"ensemble";39;58;46;12;64;65;64
"0261505V";"Lycée polyvalent Algoud-Laffemas - Lycée des métiers de l'industrie";"AUVERGNE-RHONE-ALPES";"ensemble";43;60;54;6;68;67;67
"0261505V";"Lycée polyvalent Algoud-Laffemas - Lycée des métiers de l'industrie";"AUVERGNE-RHONE-ALPES";"dont élèves en voie pro sco";43;60;54;6;67;66;66
"0261505V";"Lycée polyvalent Algoud-Laffemas - Lycée des métiers de l'industrie";"AUVERGNE-RHONE-ALPES";"dont apprentis";48;;;;;;
"0270003G";"Lycée général et technologique Augustin Fresnel";"NORMANDIE";"ensemble";25;64;58;7;69;60;71
"0270016W";"Lycée général et technologique Aristide Briand";"NORMANDIE";"ensemble";38;68;58;10;73;67;62
"0270017X";"Lycée général et technologique Modeste Leroy";"NORMANDIE";"ensemble";37;52;56;-4;65;71;69
"0270018Y";"Lycée professionnel Augustin Hébert - Lycée des métiers de l'habitat, de la construction et de l'efficacité énergétique";"NORMANDIE";"ensemble";51;32;31;1;31;36;42
"0270026G";"Lycée polyvalent Louise Michel";"NORMANDIE";"ensemble";39;38;39;-1;46;45;48
"0270029K";"Lycée polyvalent les Fontenelles - Lycée des métiers de l'énergie et de l'efficacité énergétique";"NORMANDIE";"ensemble";53;53;42;12;52;55;52
"0270029K";"Lycée polyvalent les Fontenelles - Lycée des métiers de l'énergie et de l'efficacité énergétique";"NORMANDIE";"dont élèves en voie pro sco";54;53;41;12;49;51;50
"0270029K";"Lycée polyvalent les Fontenelles - Lycée des métiers de l'énergie et de l'efficacité énergétique";"NORMANDIE";"dont apprentis";;;;;;;
"0270044B";"Lycée général et technologique Georges Dumézil";"NORMANDIE";"ensemble";28;68;56;12;65;57;65
"0270051J";"Lycée professionnel Modeste Leroy - Lycée des métiers des sciences, de l'ingénierie et de l'industrie";"NORMANDIE";"ensemble";51;30;35;-5;41;48;45
"0270052K";"Lycée professionnel Georges Dumézil";"NORMANDIE";"ensemble";52;28;31;-3;38;40;41
"0271049U";"Lycée général et technologique privé Saint Ouen";"NORMANDIE";"ensemble";;;;;;;
"0271053Y";"Lycée général et technologique privé Saint Adjutor";"NORMANDIE";"ensemble";38;53;54;-1;58;58;47
"0271070S";"Lycée polyvalent privé Notre-Dame";"NORMANDIE";"ensemble";45;45;44;2;45;55;51
"0271073V";"Lycée professionnel privé Sainte Agnès";"NORMANDIE";"ensemble";46;59;47;12;55;57;64
"0271074W";"Lycée professionnel privé Jeanne d'Arc - Saint Anselme";"NORMANDIE";"ensemble";27;13;25;-12;26;33;39
"0271081D";"Lycée professionnel privé Saint Ouen";"NORMANDIE";"ensemble";51;36;37;-1;54;43;50
"0271097W";"Lycée professionnel Risle-Seine - Lycée des métiers des services aux entreprises";"NORMANDIE";"ensemble";43;44;44;0;52;54;64
"0271097W";"Lycée professionnel Risle-Seine - Lycée des métiers des services aux entreprises";"NORMANDIE";"dont élèves en voie pro sco";46;36;35;1;46;47;59
"0271097W";"Lycée professionnel Risle-Seine - Lycée des métiers des services aux entreprises";"NORMANDIE";"dont apprentis";37;59;63;-4;64;67;74
"0271268G";"Lycée professionnel Aristide Briand";"NORMANDIE";"ensemble";52;33;40;-7;37;44;45
"0271282X";"Lycée général et technologique privé Jeanne d'Arc - Saint Anselme";"NORMANDIE";"ensemble";44;;;;;;
"0271319M";"Lycée professionnel Porte de Normandie";"NORMANDIE";"ensemble";55;29;32;-3;30;41;39
"0271431J";"Lycée général et technologique Jacques Prévert";"NORMANDIE";"ensemble";28;64;57;6;70;71;74
"0271579V";"Lycée général et technologique Léopold Sedar Senghor";"NORMANDIE";"ensemble";42;61;59;1;86;71;75
"0271580W";"Lycée général et technologique André Malraux";"NORMANDIE";"ensemble";50;67;57;10;57;62;67
"0271581X";"Lycée polyvalent Clément Ader";"NORMANDIE";"ensemble";45;31;32;-1;33;39;43
"0271582Y";"Lycée général et technologique Marc Bloch";"NORMANDIE";"ensemble";33;90;78;12;90;90;90
"0271585B";"Lycée polyvalent Jean Moulin";"NORMANDIE";"ensemble";46;41;44;-3;54;54;57
"0271606Z";"Lycée professionnel Augustin Boismard - Lycée des métiers d'art, bois, tissu, cuir";"NORMANDIE";"ensemble";63;35;26;9;36;47;44
"0271634E";"Lycée polyvalent Jean-Baptiste Decretot - Lycée des métiers de l'hôtellerie, de la restauration et des services";"NORMANDIE";"ensemble";41;38;37;1;44;41;51
"0280009H";"Lycée professionnel Philibert de l'Orme";"CENTRE-VAL DE LOIRE";"ensemble";43;50;44;7;48;58;57
"0280009H";"Lycée professionnel Philibert de l'Orme";"CENTRE-VAL DE LOIRE";"dont élèves en voie pro sco";47;44;37;6;40;51;51
"0280009H";"Lycée professionnel Philibert de l'Orme";"CENTRE-VAL DE LOIRE";"dont apprentis";15;78;71;8;78;87;83
"0280015P";"Lycée général et technologique Emile Zola";"CENTRE-VAL DE LOIRE";"ensemble";58;;;;;;
"0280019U";"Lycée général et technologique Rotrou";"CENTRE-VAL DE LOIRE";"ensemble";30;49;56;-7;49;60;57
"0280021W";"Lycée polyvalent Edouard Branly - Lycée des métiers des sciences et de l'industrie";"CENTRE-VAL DE LOIRE";"ensemble";52;45;38;7;54;53;59
"0280022X";"Lycée professionnel Maurice Violette - Lycée des métiers des services, des industries cosmétiques et pharmaceutiques";"CENTRE-VAL DE LOIRE";"ensemble";42;29;30;-2;34;37;43
"0280036M";"Lycée polyvalent Rémi Belleau - Lycée des métiers du commerce et de la gestion des entreprises";"CENTRE-VAL DE LOIRE";"ensemble";40;47;42;5;49;50;48
"0280044W";"Lycée polyvalent Jehan de Beauce";"CENTRE-VAL DE LOIRE";"ensemble";39;45;43;2;49;50;55
"0280659P";"Etablissement régional d'enseignement adapté";"CENTRE-VAL DE LOIRE";"ensemble";24;30;30;-1;35;30;32
"0280665W";"Lycée général et technologique privé Notre Dame";"CENTRE-VAL DE LOIRE";"ensemble";29;51;56;-5;60;60;77
"0280684S";"Lycée professionnel privé Notre Dame";"CENTRE-VAL DE LOIRE";"ensemble";41;40;32;8;41;45;55
"0280687V";"Lycée professionnel privé de Couasnon - Lycée des métiers des services à la personne et à l'entreprise";"CENTRE-VAL DE LOIRE";"ensemble";36;29;29;0;37;40;40
"0280689X";"Lycée professionnel privé Françoise d'Aubigne";"CENTRE-VAL DE LOIRE";"ensemble";42;49;39;10;49;54;56
"0280700J";"Lycée professionnel Jean-Félix Paulsen - Lycée des métiers des services, de l'électrotechnique et de la maintenance industrielle";"CENTRE-VAL DE LOIRE";"ensemble";53;24;30;-6;31;36;41
"0280864M";"Lycée professionnel Elsa Triolet - Lycée des métiers de l'accueil, du commerce et des services administratifs";"CENTRE-VAL DE LOIRE";"ensemble";43;31;37;-6;36;38;45
"0280925D";"Lycée professionnel Gilbert Courtois - Lycée des métiers des services et de l'industrie";"CENTRE-VAL DE LOIRE";"ensemble";47;39;46;-7;45;52;60
"0281021H";"Lycée professionnel Sully - Lycée des métiers maintenance, réseaux, énergies";"CENTRE-VAL DE LOIRE";"ensemble";52;53;50;3;54;51;54
"0281021H";"Lycée professionnel Sully - Lycée des métiers maintenance, réseaux, énergies";"CENTRE-VAL DE LOIRE";"dont élèves en voie pro sco";58;37;38;-1;43;39;45
"0281021H";"Lycée professionnel Sully - Lycée des métiers maintenance, réseaux, énergies";"CENTRE-VAL DE LOIRE";"dont apprentis";21;;;;;;
"0281047L";"Lycée général et technologique Fulbert";"CENTRE-VAL DE LOIRE";"ensemble";39;68;60;8;69;75;75
"0281077U";"Lycée polyvalent Silvia Monfort - Lycée des métiers des echanges internationaux";"CENTRE-VAL DE LOIRE";"ensemble";45;59;52;7;60;59;62
"0290001U";"Lycée professionnel Jean Moulin";"BRETAGNE";"ensemble";34;;;;;;
"0290001U";"Lycée professionnel Jean Moulin";"BRETAGNE";"dont élèves en voie pro sco";38;;;;;;
"0290001U";"Lycée professionnel Jean Moulin";"BRETAGNE";"dont apprentis";;;;;;;
"0290008B";"Lycée général et technologique Amiral Ronarc'h";"BRETAGNE";"ensemble";26;55;58;-3;55;71;79
"0290012F";"Lycée polyvalent Vauban";"BRETAGNE";"ensemble";54;48;47;1;52;52;59
"0290013G";"Lycée général et technologique Jules Lesven";"BRETAGNE";"ensemble";52;54;57;-3;67;58;63
"0290022S";"Lycée polyvalent Paul Sérusier";"BRETAGNE";"ensemble";35;51;49;1;61;60;68
"0290030A";"Lycée polyvalent Pierre Guéguin - Lycée des métiers de l'énergie industrielle - Lycée des métiers du nautisme";"BRETAGNE";"ensemble";53;47;39;7;64;53;66
"0290044R";"Lycée polyvalent de l'Elorn - Lycée des métiers du bois";"BRETAGNE";"ensemble";51;46;46;0;52;53;63
"0290051Y";"Lycée général et technologique Tristan Corbière";"BRETAGNE";"ensemble";42;51;49;2;52;53;59
"0290062K";"Lycée général et technologique René Laennec";"BRETAGNE";"ensemble";28;39;51;-12;80;48;84
"0290070U";"Lycée technologique Jean Chaptal";"BRETAGNE";"ensemble";46;38;50;-12;55;47;55
"0290071V";"Lycée polyvalent Yves Thépot";"BRETAGNE";"ensemble";63;64;52;12;67;68;74
"0290072W";"Lycée professionnel Jean Chaptal";"BRETAGNE";"ensemble";54;45;44;1;58;45;58
"0290076A";"Lycée général et technologique de Kerneuzec";"BRETAGNE";"ensemble";35;69;59;10;58;58;78
"0290078C";"Lycée professionnel Roz Glas";"BRETAGNE";"ensemble";54;38;36;2;57;51;63
"0290092T";"Lycée professionnel de Pont-de-Buis - Lycée des métiers de l'automobile";"BRETAGNE";"ensemble";47;32;39;-6;50;50;62
"0290098Z";"Lycée général et technologique Cornouaille";"BRETAGNE";"ensemble";31;63;59;5;61;66;73
"0290102D";"Lycée professionnel Jules Lesven";"BRETAGNE";"ensemble";58;18;29;-10;28;31;42
"0290105G";"Lycée professionnel Tristan Corbière - Lycée des métiers de l'aéronautique, de la mécatronique - Lycée des métiers du sanitaire et social";"BRETAGNE";"ensemble";55;31;43;-12;40;39;46
"0290108K";"Lycée polyvalent Dupuy de Lôme";"BRETAGNE";"ensemble";50;37;41;-4;46;47;52
"0290108K";"Lycée polyvalent Dupuy de Lôme";"BRETAGNE";"dont élèves en voie pro sco";52;35;38;-3;45;45;50
"0290108K";"Lycée polyvalent Dupuy de Lôme";"BRETAGNE";"dont apprentis";22;;;;;;
"0290130J";"Lycée professionnel de Pleyben - Lycée des métiers du bâtiment et de l'écoconstruction";"BRETAGNE";"ensemble";44;58;51;7;63;68;68
"0290130J";"Lycée professionnel de Pleyben - Lycée des métiers du bâtiment et de l'écoconstruction";"BRETAGNE";"dont élèves en voie pro sco";51;49;39;10;51;61;55
"0290130J";"Lycée professionnel de Pleyben - Lycée des métiers du bâtiment et de l'écoconstruction";"BRETAGNE";"dont apprentis";28;70;69;2;82;80;86
"0290156M";"Lycée général et technologique privé Saint Louis";"BRETAGNE";"ensemble";21;51;55;-4;62;51;57
"0290159R";"Lycée général et technologique privé Saint Sébastien";"BRETAGNE";"ensemble";53;54;66;-12;69;54;59
"0290168A";"Lycée général et technologique privé Saint-Gabriel";"BRETAGNE";"ensemble";36;63;56;7;77;71;78
"0290170C";"Lycée général et technologique privé Le Likès-La Salle - Quimper";"BRETAGNE";"ensemble";26;54;58;-4;65;64;73
"0290171D";"Lycée général et technologique privé Sainte Thérèse";"BRETAGNE";"ensemble";10;62;51;11;66;60;74
"0290177K";"Lycée général et technologique privé Notre-Dame du Kreisker";"BRETAGNE";"ensemble";24;37;49;-12;71;55;61
"0290181P";"Lycée général et technologique privé Javouhey";"BRETAGNE";"ensemble";20;51;53;-2;59;57;69
"0290184T";"Lycée polyvalent privé Saint Joseph - Lycée des métiers de l'industrie - Lycée des métiers du bâtiment - Lycée des métiers du commerce";"BRETAGNE";"ensemble";57;55;44;11;53;53;57
"0290186V";"Lycée polyvalent privé Le Paraclet - Lycée des métiers de l'hôtellerie, de la restauration et la boulangerie-pâtisserie";"BRETAGNE";"ensemble";38;49;50;-1;64;57;77
"0290200K";"Lycée professionnel privé Le Porsmeur - Lycée des métiers de la vente et du sanitaire et social";"BRETAGNE";"ensemble";44;34;33;2;42;37;47
"0290207T";"Lycée professionnel privé Notre-Dame du Kreisker";"BRETAGNE";"ensemble";63;54;42;12;71;50;75
"0290335G";"Lycée général et technologique privé La Croix Rouge-La Salle";"BRETAGNE";"ensemble";53;48;48;0;62;58;61
"0290336H";"Lycée général privé Estran Charles de Foucauld";"BRETAGNE";"ensemble";20;57;56;1;71;60;72
"0290340M";"Lycée polyvalent privé Estran Fénelon - Lycée des métiers des services à la personne - Lycée des métiers de l'hôtellerie-restauration et du tourisme";"BRETAGNE";"ensemble";35;34;40;-6;53;39;50
"0290347V";"Etablissement régional d'enseignement adapté Louise Michel";"BRETAGNE";"ensemble";42;21;26;-4;32;21;36
"0291633T";"Lycée professionnel René Laënnec - Lycée des métiers des services à la personne";"BRETAGNE";"ensemble";53;26;33;-7;34;34;50
"0291808H";"Lycée professionnel privé Saint Joseph-Saint Marc - Lycée des métiers de la boulangerie-pâtisserie - Lycée des métiers de l'hôtellerie-restauration";"BRETAGNE";"ensemble";63;50;45;5;66;56;69
"0292047T";"Lycée général et technologique du Léon";"BRETAGNE";"ensemble";21;71;59;12;73;76;93
"0292139T";"Lycée professionnel privé Javouhey";"BRETAGNE";"ensemble";70;30;36;-6;40;48;45
"0292144Y";"Lycée professionnel privé Le Likès - La Salle - Lycée des métiers de l'industrie, de la gestion et du commerce";"BRETAGNE";"ensemble";70;33;38;-6;44;42;45
"0292157M";"Lycée professionnel privé Sainte Elisabeth";"BRETAGNE";"ensemble";56;30;33;-3;50;39;52
"0300002P";"Lycée polyvalent Jean-Baptiste Dumas, Lycée des métiers du travail social, de la mécanique et des pluritechnologies";"OCCITANIE";"ensemble";54;30;32;-2;38;39;46
"0300002P";"Lycée polyvalent Jean-Baptiste Dumas, Lycée des métiers du travail social, de la mécanique et des pluritechnologies";"OCCITANIE";"dont élèves en voie pro sco";54;28;31;-2;37;38;45
"0300002P";"Lycée polyvalent Jean-Baptiste Dumas, Lycée des métiers du travail social, de la mécanique et des pluritechnologies";"OCCITANIE";"dont apprentis";;;;;;;
"0300011Z";"Lycée professionnel Paul Langevin";"OCCITANIE";"ensemble";49;28;33;-5;35;38;50
"0300023M";"Lycée général et technologique Albert Camus";"OCCITANIE";"ensemble";38;58;56;3;60;61;67
"0300026R";"Lycée général et technologique Dhuoda";"OCCITANIE";"ensemble";43;64;60;5;72;73;75
