"n°UAI de l'établissement";"Libellé de l'établissement";"Région";;;"Taux";"Taux attendu";"Valeur ajoutée";;;
"0020032Z";"Lycée général et technologique Paul Claudel";"HAUTS-DE-FRANCE";"ensemble";39;39;49;-10;45;45;49
"0020034B";"Lycée polyvalent Pierre Méchain";"HAUTS-DE-FRANCE";"ensemble";57;33;34;-1;33;37;53
"0020048S";"Lycée général et technologique Henri Martin";"HAUTS-DE-FRANCE";"ensemble";40;33;37;-4;38;48;55
"0020048S";"Lycée général et technologique Henri Martin";"HAUTS-DE-FRANCE";"dont élèves en voie pro sco";38;36;34;1;42;49;54
"0020048S";"Lycée général et technologique Henri Martin";"HAUTS-DE-FRANCE";"dont apprentis";45;;;;;;
"0020049T";"Lycée général et technologique Pierre de La Ramée";"HAUTS-DE-FRANCE";"ensemble";25;43;50;-7;53;56;60
"0020050U";"Lycée d'enseignement général et technologique Condorcet";"HAUTS-DE-FRANCE";"ensemble";43;41;47;-7;54;51;61
"0020050U";"Lycée d'enseignement général et technologique Condorcet";"HAUTS-DE-FRANCE";"dont élèves en voie pro sco";43;42;48;-6;55;52;62
"0020050U";"Lycée d'enseignement général et technologique Condorcet";"HAUTS-DE-FRANCE";"dont apprentis";48;;;;;;
"0020051V";"Lycée professionnel d'art - Lycée des métiers";"HAUTS-DE-FRANCE";"ensemble";66;;;;;;
"0020052W";"Lycée professionnel Colard Noël - Lycée des métiers du bâtiment et de l'hôtellerie";"HAUTS-DE-FRANCE";"ensemble";46;22;27;-4;29;30;39
"0020052W";"Lycée professionnel Colard Noël - Lycée des métiers du bâtiment et de l'hôtellerie";"HAUTS-DE-FRANCE";"dont élèves en voie pro sco";47;20;26;-5;27;28;37
"0020052W";"Lycée professionnel Colard Noël - Lycée des métiers du bâtiment et de l'hôtellerie";"HAUTS-DE-FRANCE";"dont apprentis";;;;;;;
"0020059D";"Lycée général et technologique Gérard de Nerval";"HAUTS-DE-FRANCE";"ensemble";35;54;54;0;62;61;70
"0020078Z";"Lycée professionnel Julie Daubie";"HAUTS-DE-FRANCE";"ensemble";43;18;24;-6;24;23;33
"0020078Z";"Lycée professionnel Julie Daubie";"HAUTS-DE-FRANCE";"dont élèves en voie pro sco";43;18;23;-5;24;22;33
"0020078Z";"Lycée professionnel Julie Daubie";"HAUTS-DE-FRANCE";"dont apprentis";;;;;;;
"0020079A";"Lycée professionnel Condorcet - Lycée des métiers";"HAUTS-DE-FRANCE";"ensemble";50;29;28;0;36;37;44
"0020088K";"Lycée professionnel Camille Claudel - Lycée des métiers de l'optique et du tertiaire";"HAUTS-DE-FRANCE";"ensemble";61;17;26;-9;21;31;37
"0020089L";"Lycée professionnel Frédéric et Irène Joliot Curie - Lycée des métiers de la gestion et de l'industrie";"HAUTS-DE-FRANCE";"ensemble";58;17;21;-4;23;24;33
"0020492Z";"Lycée professionnel privé Saint-Vincent-de-Paul - Lycée des métiers du design, de la santé et de l'hôtellerie";"HAUTS-DE-FRANCE";"ensemble";41;27;27;0;35;36;37
"0020498F";"Lycée professionnel privé Sainte Sophie - Lycée des métiers des services à la personne";"HAUTS-DE-FRANCE";"ensemble";53;30;29;1;41;47;54
"0021476U";"Lycée polyvalent Léonard De Vinci - Lycée des métiers des éco-sciences et des éco-technologies";"HAUTS-DE-FRANCE";"ensemble";46;44;37;7;54;48;60
"0021478W";"Etablissement régional d'enseignement adapté";"HAUTS-DE-FRANCE";"ensemble";57;9;10;-1;9;14;14
"0021479X";"Lycée professionnel Françoise Dolto - Lycée des métiers des services aux personnes et aux entreprises";"HAUTS-DE-FRANCE";"ensemble";51;15;21;-5;18;24;35
"0021869W";"Lycée d'enseignement général et technologique privé Saint Joseph";"HAUTS-DE-FRANCE";"ensemble";12;73;61;12;82;82;86
"0021873A";"Lycée général et technologique privé St Jean La Croix";"HAUTS-DE-FRANCE";"ensemble";18;36;48;-12;64;48;61
