n°UAI de l'établissement;Libellé de l'établissement;Région;Dont apprentis en EPLE;Taux de poursuite d'études;Taux;Taux attendu;Valeur ajoutée;Part en poursuite d'études;Part en emploi 6 mois après la sortie;Part des autres situations
0010001W;Lycée professionnel Alexandre Bérard - Lycée des métiers de l'énergie et de l'habitat;AUVERGNE-RHONE-ALPES;ensemble;54;51;41;10;54;23;23
0010006B;Lycée polyvalent Saint-Exupéry - Lycée des métiers de l'hôtellerie et des services - Lycée des métiers des énergies du bâtiment;AUVERGNE-RHONE-ALPES;dont apprentis;24;62;69;-7;24;47;29
0010006B;Lycée polyvalent Saint-Exupéry - Lycée des métiers de l'hôtellerie et des services - Lycée des métiers des énergies du bâtiment;AUVERGNE-RHONE-ALPES;ensemble;46;46;44;2;46;25;29
0010006B;Lycée polyvalent Saint-Exupéry - Lycée des métiers de l'hôtellerie et des services - Lycée des métiers des énergies du bâtiment;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;49;43;39;4;49;22;29
0010014K;Lycée général et technologique Edgar Quinet;AUVERGNE-RHONE-ALPES;dont apprentis;nd;nd;nd;nd;nd;nd;nd
0010014K;Lycée général et technologique Edgar Quinet;AUVERGNE-RHONE-ALPES;ensemble;50;68;64;4;50;34;16
0010014K;Lycée général et technologique Edgar Quinet;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;50;67;64;3;50;34;16
0010016M;Lycée polyvalent Joseph-Marie Carriat;AUVERGNE-RHONE-ALPES;dont apprentis;53;82;74;8;53;38;9
0010016M;Lycée polyvalent Joseph-Marie Carriat;AUVERGNE-RHONE-ALPES;ensemble;57;64;62;2;57;28;15
0010016M;Lycée polyvalent Joseph-Marie Carriat;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;57;58;58;0;57;25;18
0010020S;Lycée professionnel Georges Charpak - Lycée des métiers de la maintenance des engins mécaniques;AUVERGNE-RHONE-ALPES;dont apprentis;54;83;78;6;54;38;8
0010020S;Lycée professionnel Georges Charpak - Lycée des métiers de la maintenance des engins mécaniques;AUVERGNE-RHONE-ALPES;ensemble;52;72;63;9;52;35;13
0010020S;Lycée professionnel Georges Charpak - Lycée des métiers de la maintenance des engins mécaniques;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;49;58;46;12;49;30;21
0010021T;Lycée professionnel Marcelle Pardé - Lycée des métiers du réseau textile mode cuir;AUVERGNE-RHONE-ALPES;ensemble;58;52;51;1;58;22;20
0010032E;Lycée polyvalent Xavier Bichat;AUVERGNE-RHONE-ALPES;ensemble;52;40;43;-3;52;19;29
0010034G;Lycée polyvalent Paul Painlevé;AUVERGNE-RHONE-ALPES;dont apprentis;51;nd;nd;nd;51;24;25
