n°UAI de l'établissement;Libellé de l'établissement;Région;Dont apprentis en EPLE;Taux de poursuite d'études;Taux;Taux attendu;Valeur ajoutée;Part en poursuite d'études;Part en emploi 6 mois après la sortie;Part des autres situations
0010034G;Lycée polyvalent Paul Painlevé;AUVERGNE-RHONE-ALPES;ensemble;59;47;43;4;59;19;22
0010034G;Lycée polyvalent Paul Painlevé;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;61;46;38;9;61;18;21
0010070W;Lycée général et technologique privé Saint Pierre;AUVERGNE-RHONE-ALPES;ensemble;64;nd;nd;nd;64;28;8
0010072Y;Lycée polyvalent international;AUVERGNE-RHONE-ALPES;ensemble;47;35;47;-12;47;19;34
0010099C;Lycée professionnel privé Saint Joseph - Lycée des métier des services administratifs et commerciaux - Lycée des métiers de l'électronique;AUVERGNE-RHONE-ALPES;ensemble;68;43;48;-5;68;14;18
0010814E;Lycée professionnel privé Saint Joseph;AUVERGNE-RHONE-ALPES;ensemble;58;39;49;-10;58;16;26
0010878Z;Lycée polyvalent privé Jeanne d'Arc;AUVERGNE-RHONE-ALPES;ensemble;56;28;40;-12;56;13;31
0010966V;Etablissement régional d'enseignement adapté Philibert Commerson;AUVERGNE-RHONE-ALPES;dont apprentis;nd;nd;nd;nd;nd;nd;nd
0010966V;Etablissement régional d'enseignement adapté Philibert Commerson;AUVERGNE-RHONE-ALPES;ensemble;47;41;38;3;47;22;31
0010966V;Etablissement régional d'enseignement adapté Philibert Commerson;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;51;42;33;9;51;21;28
0011010T;Section d'enseignement professionnel du Lycée polyvalent du Bugey;AUVERGNE-RHONE-ALPES;dont apprentis;nd;nd;nd;nd;nd;nd;nd
0011010T;Section d'enseignement professionnel du Lycée polyvalent du Bugey;AUVERGNE-RHONE-ALPES;ensemble;29;42;41;0;29;29;42
0011010T;Section d'enseignement professionnel du Lycée polyvalent du Bugey;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;30;41;41;0;30;29;41
0011118K;Lycée professionnel Gabriel Voisin - Lycée des métiers de l'automobile, du transport et de la logistique, de la propreté;AUVERGNE-RHONE-ALPES;dont apprentis;41;59;70;-11;41;35;24
0011118K;Lycée professionnel Gabriel Voisin - Lycée des métiers de l'automobile, du transport et de la logistique, de la propreté;AUVERGNE-RHONE-ALPES;ensemble;43;50;52;-2;43;29;28
0011118K;Lycée professionnel Gabriel Voisin - Lycée des métiers de l'automobile, du transport et de la logistique, de la propreté;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;44;49;49;0;44;28;28
0011119L;Lycée polyvalent Arbez Carme - Lycée des métiers de la plasturgie et des outillages;AUVERGNE-RHONE-ALPES;dont apprentis;42;56;68;-12;42;33;25
0011119L;Lycée polyvalent Arbez Carme - Lycée des métiers de la plasturgie et des outillages;AUVERGNE-RHONE-ALPES;ensemble;64;39;48;-9;64;14;22
0011119L;Lycée polyvalent Arbez Carme - Lycée des métiers de la plasturgie et des outillages;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;68;33;42;-8;68;11;21
0011194T;Lycée général et technologique de la Plaine de l'Ain;AUVERGNE-RHONE-ALPES;ensemble;23;67;64;3;23;52;25
0011258M;Lycée professionnel privé Ensemble scolaire Lamartine;AUVERGNE-RHONE-ALPES;ensemble;68;nd;nd;nd;68;12;20
0011276G;Lycée général et technologique du Val de Saône;AUVERGNE-RHONE-ALPES;dont apprentis;nd;nd;nd;nd;nd;nd;nd
0011276G;Lycée général et technologique du Val de Saône;AUVERGNE-RHONE-ALPES;ensemble;31;62;68;-6;31;43;26
0011276G;Lycée général et technologique du Val de Saône;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;38;61;62;-2;38;38;24
0020012C;Lycée polyvalent Jean de la Fontaine - Lycée des métiers de la santé, de la gestion et du commerce;HAUTS-DE-FRANCE;dont apprentis;nd;nd;nd;nd;nd;nd;nd
0020012C;Lycée polyvalent Jean de la Fontaine - Lycée des métiers de la santé, de la gestion et du commerce;HAUTS-DE-FRANCE;ensemble;50;35;40;-6;50;17;33
0020012C;Lycée polyvalent Jean de la Fontaine - Lycée des métiers de la santé, de la gestion et du commerce;HAUTS-DE-FRANCE;dont élèves en voie pro sco;50;34;40;-6;50;17;33
0020014E;Lycée d'enseignement général et technologique Gay Lussac;HAUTS-DE-FRANCE;dont apprentis;35;76;67;9;35;49;16
0020014E;Lycée d'enseignement général et technologique Gay Lussac;HAUTS-DE-FRANCE;ensemble;42;59;60;-1;42;34;24
0020014E;Lycée d'enseignement général et technologique Gay Lussac;HAUTS-DE-FRANCE;dont élèves en voie pro sco;47;44;54;-10;47;23;30
0020022N;Lycée professionnel Jean Monnet;HAUTS-DE-FRANCE;ensemble;51;42;48;-5;51;21;28
0020025S;Lycée professionnel Château Potel - Lycée des métiers horticulture et maintenance (véhicules industriels, matériels agricoles et travaux publics);HAUTS-DE-FRANCE;dont apprentis;21;65;77;-12;21;51;28
0020025S;Lycée professionnel Château Potel - Lycée des métiers horticulture et maintenance (véhicules industriels, matériels agricoles et travaux publics);HAUTS-DE-FRANCE;ensemble;51;48;53;-5;51;24;25
0020025S;Lycée professionnel Château Potel - Lycée des métiers horticulture et maintenance (véhicules industriels, matériels agricoles et travaux publics);HAUTS-DE-FRANCE;dont élèves en voie pro sco;59;39;39;0;59;16;25
0020031Y;Lycée d'enseignement général et technologique Frédéric et Irène Joliot Curie;HAUTS-DE-FRANCE;dont apprentis;30;nd;nd;nd;30;65;5
0020031Y;Lycée d'enseignement général et technologique Frédéric et Irène Joliot Curie;HAUTS-DE-FRANCE;ensemble;24;61;60;1;24;47;29
0020031Y;Lycée d'enseignement général et technologique Frédéric et Irène Joliot Curie;HAUTS-DE-FRANCE;dont élèves en voie pro sco;22;52;55;-2;22;41;37
0020032Z;Lycée général et technologique Paul Claudel;HAUTS-DE-FRANCE;dont apprentis;nd;nd;nd;nd;nd;nd;nd
0020032Z;Lycée général et technologique Paul Claudel;HAUTS-DE-FRANCE;ensemble;36;52;55;-2;36;33;31
0020032Z;Lycée général et technologique Paul Claudel;HAUTS-DE-FRANCE;dont élèves en voie pro sco;36;53;54;-1;36;34;30
0020034B;Lycée polyvalent Pierre Méchain;HAUTS-DE-FRANCE;ensemble;53;30;39;-9;53;14;33
0020048S;Lycée général et technologique Henri Martin;HAUTS-DE-FRANCE;dont apprentis;49;57;62;-4;49;29;22
0020048S;Lycée général et technologique Henri Martin;HAUTS-DE-FRANCE;ensemble;47;58;50;8;47;31;22
0020048S;Lycée général et technologique Henri Martin;HAUTS-DE-FRANCE;dont élèves en voie pro sco;46;58;46;12;46;31;23
0020049T;Lycée général et technologique Pierre de La Ramée;HAUTS-DE-FRANCE;dont apprentis;43;nd;nd;nd;43;52;5
0020049T;Lycée général et technologique Pierre de La Ramée;HAUTS-DE-FRANCE;ensemble;36;54;57;-3;36;34;30
0020049T;Lycée général et technologique Pierre de La Ramée;HAUTS-DE-FRANCE;dont élèves en voie pro sco;35;49;55;-6;35;32;33
0020050U;Lycée d'enseignement général et technologique Condorcet;HAUTS-DE-FRANCE;dont apprentis;47;68;71;-3;47;36;17
0020050U;Lycée d'enseignement général et technologique Condorcet;HAUTS-DE-FRANCE;ensemble;50;62;58;5;50;31;19
0020050U;Lycée d'enseignement général et technologique Condorcet;HAUTS-DE-FRANCE;dont élèves en voie pro sco;50;60;54;7;50;30;20
0020051V;Lycée professionnel d'art - Lycée des métiers;HAUTS-DE-FRANCE;ensemble;64;35;36;0;64;13;23
0020052W;Lycée professionnel Colard Noël - Lycée des métiers du bâtiment et de l'hôtellerie;HAUTS-DE-FRANCE;dont apprentis;35;55;59;-4;35;35;30
0020052W;Lycée professionnel Colard Noël - Lycée des métiers du bâtiment et de l'hôtellerie;HAUTS-DE-FRANCE;ensemble;43;38;38;0;43;22;35
0020052W;Lycée professionnel Colard Noël - Lycée des métiers du bâtiment et de l'hôtellerie;HAUTS-DE-FRANCE;dont élèves en voie pro sco;45;35;34;1;45;19;36
0020059D;Lycée général et technologique Gérard de Nerval;HAUTS-DE-FRANCE;ensemble;47;58;60;-2;47;31;22
0020078Z;Lycée professionnel Julie Daubie;HAUTS-DE-FRANCE;dont apprentis;nd;nd;nd;nd;nd;nd;nd
0020078Z;Lycée professionnel Julie Daubie;HAUTS-DE-FRANCE;ensemble;53;31;33;-3;53;15;32
0020078Z;Lycée professionnel Julie Daubie;HAUTS-DE-FRANCE;dont élèves en voie pro sco;53;30;32;-2;53;14;33
0020079A;Lycée professionnel Condorcet - Lycée des métiers;HAUTS-DE-FRANCE;ensemble;49;40;38;3;49;21;30
0020088K;Lycée professionnel Camille Claudel - Lycée des métiers de l'optique et du tertiaire;HAUTS-DE-FRANCE;ensemble;53;31;33;-2;53;14;33
0020089L;Lycée professionnel Frédéric et Irène Joliot Curie - Lycée des métiers de la gestion et de l'industrie;HAUTS-DE-FRANCE;ensemble;60;18;29;-11;60;7;33
0020492Z;Lycée professionnel privé Saint-Vincent-de-Paul - Lycée des métiers du design, de la santé et de l'hôtellerie;HAUTS-DE-FRANCE;ensemble;51;32;40;-8;51;16;33
0020498F;Lycée professionnel privé Sainte Sophie - Lycée des métiers des services à la personne;HAUTS-DE-FRANCE;ensemble;54;53;41;12;54;25;21
0021476U;Lycée polyvalent Léonard De Vinci - Lycée des métiers des éco-sciences et des éco-technologies;HAUTS-DE-FRANCE;ensemble;57;50;42;8;57;22;21
0021478W;Etablissement régional d'enseignement adapté;HAUTS-DE-FRANCE;ensemble;45;7;14;-7;45;4;51
0021479X;Lycée professionnel Françoise Dolto - Lycée des métiers des services aux personnes et aux entreprises;HAUTS-DE-FRANCE;ensemble;47;43;34;9;47;23;30
0021869W;Lycée d'enseignement général et technologique privé Saint Joseph;HAUTS-DE-FRANCE;ensemble;33;nd;nd;nd;33;26;41
0021873A;Lycée général et technologique privé St Jean La Croix;HAUTS-DE-FRANCE;ensemble;44;nd;nd;nd;44;28;28
0021874B;Lycée général et technologique privé Saint Rémy;HAUTS-DE-FRANCE;ensemble;67;55;60;-5;67;18;15
0021906L;Lycée professionnel privé Saint Charles - Lycée des métiers de la sécurité et de la maintenance;HAUTS-DE-FRANCE;ensemble;57;52;53;-2;57;22;21
0021939X;Lycée polyvalent Jules Verne - Lycée des métiers des sciences et technologies pour un développement durable;HAUTS-DE-FRANCE;dont apprentis;nd;nd;nd;nd;nd;nd;nd
0021939X;Lycée polyvalent Jules Verne - Lycée des métiers des sciences et technologies pour un développement durable;HAUTS-DE-FRANCE;ensemble;60;38;37;1;60;15;25
0021939X;Lycée polyvalent Jules Verne - Lycée des métiers des sciences et technologies pour un développement durable;HAUTS-DE-FRANCE;dont élèves en voie pro sco;61;35;35;0;61;14;25
0021999M;Lycée professionnel privé Saint Joseph - Lycée des métiers de l'hôtellerie et de la restauration;HAUTS-DE-FRANCE;ensemble;70;nd;nd;nd;70;7;23
0022002R;Lycée professionnel privé Saint Joseph;HAUTS-DE-FRANCE;ensemble;58;nd;nd;nd;58;16;26
0022008X;Lycée professionnel Jean Macé - Lycée des métiers du développement durable;HAUTS-DE-FRANCE;dont apprentis;14;84;79;5;14;72;14
0022008X;Lycée professionnel Jean Macé - Lycée des métiers du développement durable;HAUTS-DE-FRANCE;ensemble;52;30;39;-8;52;15;33
0022008X;Lycée professionnel Jean Macé - Lycée des métiers du développement durable;HAUTS-DE-FRANCE;dont élèves en voie pro sco;55;21;31;-11;55;9;36
0022022M;Lycée d'enseignement général et technologique privé Sainte Sophie;HAUTS-DE-FRANCE;ensemble;39;nd;nd;nd;39;43;18
0022042J;Lycée polyvalent Jean Bouin - Lycée des métiers de la mode, des services à la personne et aux collectivités;HAUTS-DE-FRANCE;ensemble;52;30;31;-1;52;14;34
0022044L;Lycée polyvalent Le Corbusier - Lycée des métiers de l'hôtellerie et du bâtiment;HAUTS-DE-FRANCE;dont apprentis;33;69;70;-1;33;46;21
0022044L;Lycée polyvalent Le Corbusier - Lycée des métiers de l'hôtellerie et du bâtiment;HAUTS-DE-FRANCE;ensemble;46;45;49;-4;46;24;30
0022044L;Lycée polyvalent Le Corbusier - Lycée des métiers de l'hôtellerie et du bâtiment;HAUTS-DE-FRANCE;dont élèves en voie pro sco;50;34;40;-6;50;17;33
0022172A;Micro lycée de Saint quentin;HAUTS-DE-FRANCE;ensemble;50;nd;nd;nd;50;4;46
0030026M;Lycée polyvalent Paul Constans - Lycée des métiers scientifiques, industriels, administratifs et commerciaux;AUVERGNE-RHONE-ALPES;dont apprentis;46;86;78;8;46;46;8
0030026M;Lycée polyvalent Paul Constans - Lycée des métiers scientifiques, industriels, administratifs et commerciaux;AUVERGNE-RHONE-ALPES;ensemble;53;60;53;7;53;28;19
0030026M;Lycée polyvalent Paul Constans - Lycée des métiers scientifiques, industriels, administratifs et commerciaux;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;54;58;50;7;54;27;19
0030038A;Lycée polyvalent Jean Monnet - Lycée des métiers du design et des arts verriers;AUVERGNE-RHONE-ALPES;dont apprentis;47;70;73;-3;47;37;16
0030038A;Lycée polyvalent Jean Monnet - Lycée des métiers du design et des arts verriers;AUVERGNE-RHONE-ALPES;ensemble;56;56;51;5;56;25;19
0030038A;Lycée polyvalent Jean Monnet - Lycée des métiers du design et des arts verriers;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;57;55;49;6;57;24;19
0030051P;Lycée général et technologique Albert Londres - Lycée des métiers du bois, des énergies et des services aux organisations;AUVERGNE-RHONE-ALPES;dont apprentis;63;nd;nd;nd;63;30;7
0030051P;Lycée général et technologique Albert Londres - Lycée des métiers du bois, des énergies et des services aux organisations;AUVERGNE-RHONE-ALPES;ensemble;60;64;64;0;60;26;14
0030051P;Lycée général et technologique Albert Londres - Lycée des métiers du bois, des énergies et des services aux organisations;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;59;60;62;-2;59;25;16
0030061A;Lycée professionnel Albert Londres - Lycée des métiers du bois, des énergies et des services aux organisations;AUVERGNE-RHONE-ALPES;dont apprentis;nd;nd;nd;nd;nd;nd;nd
0030061A;Lycée professionnel Albert Londres - Lycée des métiers du bois, des énergies et des services aux organisations;AUVERGNE-RHONE-ALPES;ensemble;58;46;39;6;58;19;23
0030061A;Lycée professionnel Albert Londres - Lycée des métiers du bois, des énergies et des services aux organisations;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;58;44;38;6;58;18;24
0030105Y;Lycée professionnel privé Saint-Joseph;AUVERGNE-RHONE-ALPES;ensemble;54;55;45;10;54;25;21
0030112F;Lycée professionnel privé Anna Rodier;AUVERGNE-RHONE-ALPES;ensemble;59;53;48;5;59;22;19
0030905T;Lycée professionnel Gustave Eiffel - Lycée des métiers de la maintenance des matériels et des véhicules motocycles;AUVERGNE-RHONE-ALPES;dont apprentis;29;83;83;0;29;59;12
0030905T;Lycée professionnel Gustave Eiffel - Lycée des métiers de la maintenance des matériels et des véhicules motocycles;AUVERGNE-RHONE-ALPES;ensemble;43;67;68;0;43;39;18
0030905T;Lycée professionnel Gustave Eiffel - Lycée des métiers de la maintenance des matériels et des véhicules motocycles;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;52;51;52;-1;52;24;24
0030924N;Lycée professionnel Val d'Allier;AUVERGNE-RHONE-ALPES;ensemble;52;42;40;2;52;20;28
0030935A;Lycée Privé d'Enseignement Supérieur de Vichy;AUVERGNE-RHONE-ALPES;ensemble;51;61;68;-7;51;30;19
0031041R;Lycée technologique privé Anna Rodier;AUVERGNE-RHONE-ALPES;ensemble;39;nd;nd;nd;39;43;18
0031043T;Lycée polyvalent Albert Einstein - Lycée des métiers de l'automobile;AUVERGNE-RHONE-ALPES;dont apprentis;45;nd;nd;nd;45;39;16
0031043T;Lycée polyvalent Albert Einstein - Lycée des métiers de l'automobile;AUVERGNE-RHONE-ALPES;ensemble;57;56;50;6;57;24;19
0031043T;Lycée polyvalent Albert Einstein - Lycée des métiers de l'automobile;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;59;53;45;8;59;22;19
0031044U;Lycée polyvalent Geneviève Vincent;AUVERGNE-RHONE-ALPES;ensemble;36;42;42;1;36;27;37
0031082K;Lycée polyvalent Valéry Larbaud;AUVERGNE-RHONE-ALPES;dont apprentis;64;nd;nd;nd;64;23;13
0031082K;Lycée polyvalent Valéry Larbaud;AUVERGNE-RHONE-ALPES;ensemble;52;56;55;1;52;27;21
0031082K;Lycée polyvalent Valéry Larbaud;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;51;56;54;2;51;27;22
0040003G;Lycée général André Honnorat;PROVENCE-ALPES-COTE D'AZUR;ensemble;45;nd;nd;nd;45;10;45
0040007L;LP Beau de Rochas - lycée des métiers de Digne-les-bains;PROVENCE-ALPES-COTE D'AZUR;dont apprentis;27;59;71;-12;27;43;30
0040007L;LP Beau de Rochas - lycée des métiers de Digne-les-bains;PROVENCE-ALPES-COTE D'AZUR;ensemble;51;40;43;-3;51;20;29
0040007L;LP Beau de Rochas - lycée des métiers de Digne-les-bains;PROVENCE-ALPES-COTE D'AZUR;dont élèves en voie pro sco;54;36;38;-2;54;17;29
0040010P;Lycée général et technologique Félix Esclangon;PROVENCE-ALPES-COTE D'AZUR;dont apprentis;nd;nd;nd;nd;nd;nd;nd
0040010P;Lycée général et technologique Félix Esclangon;PROVENCE-ALPES-COTE D'AZUR;ensemble;47;45;57;-12;47;24;29
0040010P;Lycée général et technologique Félix Esclangon;PROVENCE-ALPES-COTE D'AZUR;dont élèves en voie pro sco;44;40;52;-12;44;22;34
0040011R;Lycée professionnel Louis Martin Bret - Lycée des métiers de l'hotellerie-restauration, des secteurs tertiaire et industriel;PROVENCE-ALPES-COTE D'AZUR;dont apprentis;24;52;61;-10;24;39;37
0040011R;Lycée professionnel Louis Martin Bret - Lycée des métiers de l'hotellerie-restauration, des secteurs tertiaire et industriel;PROVENCE-ALPES-COTE D'AZUR;ensemble;45;35;39;-4;45;19;36
0040011R;Lycée professionnel Louis Martin Bret - Lycée des métiers de l'hotellerie-restauration, des secteurs tertiaire et industriel;PROVENCE-ALPES-COTE D'AZUR;dont élèves en voie pro sco;47;32;36;-3;47;17;36
0040023D;Lycée polyvalent Paul Arène - lycée des métiers de l'hotellerie et de la restauration des Alpes provençales;PROVENCE-ALPES-COTE D'AZUR;dont apprentis;nd;nd;nd;nd;nd;nd;nd
0040023D;Lycée polyvalent Paul Arène - lycée des métiers de l'hotellerie et de la restauration des Alpes provençales;PROVENCE-ALPES-COTE D'AZUR;ensemble;47;56;51;5;47;29;24
0040023D;Lycée polyvalent Paul Arène - lycée des métiers de l'hotellerie et de la restauration des Alpes provençales;PROVENCE-ALPES-COTE D'AZUR;dont élèves en voie pro sco;50;54;47;6;50;27;23
0040027H;Lycée général et technologique Alexandra David Neel;PROVENCE-ALPES-COTE D'AZUR;ensemble;56;nd;nd;nd;56;24;20
0040378P;Etablissement régional d'enseignement adapté de Haute-Provence;PROVENCE-ALPES-COTE D'AZUR;dont apprentis;nd;nd;nd;nd;nd;nd;nd
0040378P;Etablissement régional d'enseignement adapté de Haute-Provence;PROVENCE-ALPES-COTE D'AZUR;ensemble;49;nd;nd;nd;49;9;42
0040378P;Etablissement régional d'enseignement adapté de Haute-Provence;PROVENCE-ALPES-COTE D'AZUR;dont élèves en voie pro sco;52;nd;nd;nd;52;6;42
0040490L;Lycée général et technologique Pierre-Gilles de Gennes;PROVENCE-ALPES-COTE D'AZUR;dont apprentis;nd;nd;nd;nd;nd;nd;nd
0040490L;Lycée général et technologique Pierre-Gilles de Gennes;PROVENCE-ALPES-COTE D'AZUR;ensemble;57;50;58;-8;57;21;22
0040490L;Lycée général et technologique Pierre-Gilles de Gennes;PROVENCE-ALPES-COTE D'AZUR;dont élèves en voie pro sco;59;46;54;-8;59;19;22
0040533H;Lycée Polyvalent Les Iscles;PROVENCE-ALPES-COTE D'AZUR;ensemble;64;63;51;12;64;22;14
0050003B;Altitude-Suzanne Joulié Roos;PROVENCE-ALPES-COTE D'AZUR;dont apprentis;nd;nd;nd;nd;nd;nd;nd
0050003B;Altitude-Suzanne Joulié Roos;PROVENCE-ALPES-COTE D'AZUR;ensemble;43;59;51;8;43;34;23
0050003B;Altitude-Suzanne Joulié Roos;PROVENCE-ALPES-COTE D'AZUR;dont élèves en voie pro sco;49;55;45;10;49;28;23
0050004C;Lycée climatique Honoré Romane;PROVENCE-ALPES-COTE D'AZUR;dont apprentis;nd;nd;nd;nd;nd;nd;nd
0050004C;Lycée climatique Honoré Romane;PROVENCE-ALPES-COTE D'AZUR;ensemble;46;81;69;12;46;44;10
0050004C;Lycée climatique Honoré Romane;PROVENCE-ALPES-COTE D'AZUR;dont élèves en voie pro sco;41;85;73;12;41;50;9
0050005D;LP Alpes et Durance - Lycée des métiers de la construction bois et de l'énergie;PROVENCE-ALPES-COTE D'AZUR;dont apprentis;40;62;68;-6;40;38;22
0050005D;LP Alpes et Durance - Lycée des métiers de la construction bois et de l'énergie;PROVENCE-ALPES-COTE D'AZUR;ensemble;45;55;54;2;45;30;25
0050005D;LP Alpes et Durance - Lycée des métiers de la construction bois et de l'énergie;PROVENCE-ALPES-COTE D'AZUR;dont élèves en voie pro sco;47;53;48;5;47;28;25
0050006E;Lycée général et technologique Dominique Villars;PROVENCE-ALPES-COTE D'AZUR;ensemble;52;59;54;5;52;28;20
0050007F;Lycée général et technologique Aristide Briand;PROVENCE-ALPES-COTE D'AZUR;dont apprentis;nd;nd;nd;nd;nd;nd;nd
0050007F;Lycée général et technologique Aristide Briand;PROVENCE-ALPES-COTE D'AZUR;ensemble;55;68;61;7;55;30;15
0050007F;Lycée général et technologique Aristide Briand;PROVENCE-ALPES-COTE D'AZUR;dont élèves en voie pro sco;45;73;61;12;45;40;15
0050008G;Lycée professionnel Paul Héraud;PROVENCE-ALPES-COTE D'AZUR;ensemble;53;61;49;12;53;29;18
0050009H;Lycée professionnel Sévigné - Lycée des métiers de la restauration, des services aux entreprises et aux personnes;PROVENCE-ALPES-COTE D'AZUR;dont apprentis;25;58;63;-5;25;44;31
0050009H;Lycée professionnel Sévigné - Lycée des métiers de la restauration, des services aux entreprises et aux personnes;PROVENCE-ALPES-COTE D'AZUR;ensemble;56;50;48;2;56;22;22
0050009H;Lycée professionnel Sévigné - Lycée des métiers de la restauration, des services aux entreprises et aux personnes;PROVENCE-ALPES-COTE D'AZUR;dont élèves en voie pro sco;59;49;45;3;59;20;21
0050027C;Lycée professionnel Pierre Mendès France;PROVENCE-ALPES-COTE D'AZUR;ensemble;63;28;40;-12;63;10;27
0050039R;Lycée professionnel privé Pierre et Louis Poutrain;PROVENCE-ALPES-COTE D'AZUR;ensemble;64;50;41;9;64;18;18
0060001U;Lycée général et technologique Jacques Audiberti;PROVENCE-ALPES-COTE D'AZUR;dont apprentis;nd;nd;nd;nd;nd;nd;nd
0060001U;Lycée général et technologique Jacques Audiberti;PROVENCE-ALPES-COTE D'AZUR;ensemble;46;59;56;3;46;31;23
0060001U;Lycée général et technologique Jacques Audiberti;PROVENCE-ALPES-COTE D'AZUR;dont élèves en voie pro sco;46;60;57;3;46;32;22
0060002V;Lycée professionnel Jacques Dolle;PROVENCE-ALPES-COTE D'AZUR;ensemble;52;43;37;6;52;21;27
0060009C;Lycée général et technologique Auguste Renoir;PROVENCE-ALPES-COTE D'AZUR;ensemble;58;61;58;3;58;25;17
0060011E;Lycée général Carnot;PROVENCE-ALPES-COTE D'AZUR;ensemble;56;43;47;-4;56;19;25
0060013G;Lycée général et technologique Bristol;PROVENCE-ALPES-COTE D'AZUR;dont apprentis;65;nd;nd;nd;65;18;17
0060013G;Lycée général et technologique Bristol;PROVENCE-ALPES-COTE D'AZUR;ensemble;55;48;55;-7;55;22;23
0060013G;Lycée général et technologique Bristol;PROVENCE-ALPES-COTE D'AZUR;dont élèves en voie pro sco;51;48;57;-9;51;23;26
0060014H;Lycée général et technologique Jules Ferry;PROVENCE-ALPES-COTE D'AZUR;ensemble;47;59;61;-2;47;32;21
0060015J;Lycée professionnel Les Coteaux - Lycée des métiers de la relation client, de la mode et du costume de spectacle;PROVENCE-ALPES-COTE D'AZUR;dont apprentis;nd;nd;nd;nd;nd;nd;nd
0060015J;Lycée professionnel Les Coteaux - Lycée des métiers de la relation client, de la mode et du costume de spectacle;PROVENCE-ALPES-COTE D'AZUR;ensemble;50;43;42;1;50;22;28
0060015J;Lycée professionnel Les Coteaux - Lycée des métiers de la relation client, de la mode et du costume de spectacle;PROVENCE-ALPES-COTE D'AZUR;dont élèves en voie pro sco;51;42;41;1;51;21;28
0060020P;Lycée général et technologique Amiral de Grasse;PROVENCE-ALPES-COTE D'AZUR;ensemble;48;51;56;-4;48;27;25
0060022S;Lycée professionnel Léon Chiris;PROVENCE-ALPES-COTE D'AZUR;dont apprentis;29;79;72;7;29;56;15
0060022S;Lycée professionnel Léon Chiris;PROVENCE-ALPES-COTE D'AZUR;ensemble;43;47;46;2;43;27;30
