n°UAI de l'établissement;Libellé de l'établissement;Région;Dont apprentis en EPLE;Taux de poursuite d'études;Taux;Taux attendu;Valeur ajoutée;Part en poursuite d'études;Part en emploi 6 mois après la sortie;Part des autres situations
0630012W;Lycée professionnel François Rabelais;AUVERGNE-RHONE-ALPES;ensemble;61;47;41;6;61;19;20
0630012W;Lycée professionnel François Rabelais;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;61;45;40;5;61;18;21
0630020E;Lycée général et technologique Sidoine Apollinaire - Lycée des métiers des services aux entreprises;AUVERGNE-RHONE-ALPES;dont apprentis;nd;nd;nd;nd;nd;nd;nd
0630020E;Lycée général et technologique Sidoine Apollinaire - Lycée des métiers des services aux entreprises;AUVERGNE-RHONE-ALPES;ensemble;57;63;64;-1;57;27;16
0630020E;Lycée général et technologique Sidoine Apollinaire - Lycée des métiers des services aux entreprises;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;57;63;64;-1;57;27;16
0630021F;Lycée polyvalent La Fayette - Lycée des métiers de l'ingénierie industrielle;AUVERGNE-RHONE-ALPES;dont apprentis;34;80;79;1;34;53;13
0630021F;Lycée polyvalent La Fayette - Lycée des métiers de l'ingénierie industrielle;AUVERGNE-RHONE-ALPES;ensemble;51;57;58;-1;51;28;21
0630021F;Lycée polyvalent La Fayette - Lycée des métiers de l'ingénierie industrielle;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;55;48;49;-2;55;21;24
0630022G;Lycée professionnel Roger Claustres - Lycée des métiers des réalisations industrielles et artisanales;AUVERGNE-RHONE-ALPES;dont apprentis;33;62;66;-4;33;41;26
0630022G;Lycée professionnel Roger Claustres - Lycée des métiers des réalisations industrielles et artisanales;AUVERGNE-RHONE-ALPES;ensemble;58;59;56;4;58;25;17
0630022G;Lycée professionnel Roger Claustres - Lycée des métiers des réalisations industrielles et artisanales;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;63;58;52;6;63;22;15
0630023H;Lycée professionnel Marie Curie - Lycée des métiers des services aux personnes et aux collectivités;AUVERGNE-RHONE-ALPES;dont apprentis;nd;nd;nd;nd;nd;nd;nd
0630023H;Lycée professionnel Marie Curie - Lycée des métiers des services aux personnes et aux collectivités;AUVERGNE-RHONE-ALPES;ensemble;51;51;47;3;51;25;24
0630023H;Lycée professionnel Marie Curie - Lycée des métiers des services aux personnes et aux collectivités;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;51;51;47;3;51;25;24
0630024J;Lycée professionnel Amédée Gasquet - Lycée des métiers des services aux entreprises;AUVERGNE-RHONE-ALPES;ensemble;70;40;39;1;70;12;18
0630034V;Lycée général et technologique Murat;AUVERGNE-RHONE-ALPES;ensemble;48;79;67;12;48;41;11
0630041C;Lycée professionnel Henri Sainte Claire Deville - Lycée des métiers des technologies industrielles;AUVERGNE-RHONE-ALPES;dont apprentis;nd;nd;nd;nd;nd;nd;nd
0630041C;Lycée professionnel Henri Sainte Claire Deville - Lycée des métiers des technologies industrielles;AUVERGNE-RHONE-ALPES;ensemble;52;57;50;7;52;28;20
0630041C;Lycée professionnel Henri Sainte Claire Deville - Lycée des métiers des technologies industrielles;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;51;54;48;7;51;27;22
0630052P;Lycée général et technologique C. et P. Virlogeux;AUVERGNE-RHONE-ALPES;dont apprentis;26;nd;nd;nd;26;70;4
0630052P;Lycée général et technologique C. et P. Virlogeux;AUVERGNE-RHONE-ALPES;ensemble;35;80;73;7;35;52;13
0630052P;Lycée général et technologique C. et P. Virlogeux;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;42;nd;nd;nd;42;39;19
0630054S;Lycée professionnel Marie Laurencin - Lycée des métiers de la mode et des arts;AUVERGNE-RHONE-ALPES;dont apprentis;nd;nd;nd;nd;nd;nd;nd
0630054S;Lycée professionnel Marie Laurencin - Lycée des métiers de la mode et des arts;AUVERGNE-RHONE-ALPES;ensemble;59;41;42;0;59;17;24
0630054S;Lycée professionnel Marie Laurencin - Lycée des métiers de la mode et des arts;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;60;41;41;-1;60;16;24
0630061Z;Lycée professionnel Desaix;AUVERGNE-RHONE-ALPES;dont apprentis;11;71;76;-5;11;63;26
0630061Z;Lycée professionnel Desaix;AUVERGNE-RHONE-ALPES;ensemble;42;63;58;5;42;36;22
0630061Z;Lycée professionnel Desaix;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;49;60;51;8;49;31;20
0630068G;Lycée général et technologique Montdory;AUVERGNE-RHONE-ALPES;ensemble;31;59;63;-4;31;41;28
0630069H;Lycée général et technologique Jean Zay;AUVERGNE-RHONE-ALPES;dont apprentis;50;nd;nd;nd;50;41;9
0630069H;Lycée général et technologique Jean Zay;AUVERGNE-RHONE-ALPES;ensemble;47;59;62;-3;47;31;22
0630069H;Lycée général et technologique Jean Zay;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;45;51;56;-5;45;28;27
0630077S;Lycée général et technologique Ambroise Brugière;AUVERGNE-RHONE-ALPES;ensemble;54;67;64;3;54;31;15
