n°UAI de l'établissement;Libellé de l'établissement;Région;Dont apprentis en EPLE;Taux de poursuite d'études;Taux;Taux attendu;Valeur ajoutée;Part en poursuite d'études;Part en emploi 6 mois après la sortie;Part des autres situations
0010001W;Lycée professionnel Alexandre Bérard - Lycée des métiers de l'énergie et de l'habitat;AUVERGNE-RHONE-ALPES;ensemble;54;42;40;2;54;19;27
0010006B;Lycée polyvalent Saint-Exupéry - Lycée des métiers de l'hôtellerie et des services - Lycée des métiers des énergies du bâtiment;AUVERGNE-RHONE-ALPES;dont apprentis;;;;;;;
0010006B;Lycée polyvalent Saint-Exupéry - Lycée des métiers de l'hôtellerie et des services - Lycée des métiers des énergies du bâtiment;AUVERGNE-RHONE-ALPES;ensemble;50;41;40;1;50;21;29
0010006B;Lycée polyvalent Saint-Exupéry - Lycée des métiers de l'hôtellerie et des services - Lycée des métiers des énergies du bâtiment;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;52;38;38;0;52;18;30
0010014K;Lycée général et technologique Edgar Quinet;AUVERGNE-RHONE-ALPES;ensemble;42;66;58;8;42;38;20
0010016M;Lycée polyvalent Joseph-Marie Carriat;AUVERGNE-RHONE-ALPES;dont apprentis;39;74;71;4;39;45;16
0010016M;Lycée polyvalent Joseph-Marie Carriat;AUVERGNE-RHONE-ALPES;ensemble;49;65;59;6;49;33;18
0010016M;Lycée polyvalent Joseph-Marie Carriat;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;52;61;54;7;52;29;19
0010020S;Lycée professionnel Georges Charpak - Lycée des métiers de la maintenance des engins mécaniques;AUVERGNE-RHONE-ALPES;dont apprentis;51;81;72;9;51;40;9
0010020S;Lycée professionnel Georges Charpak - Lycée des métiers de la maintenance des engins mécaniques;AUVERGNE-RHONE-ALPES;ensemble;50;59;59;0;50;30;20
0010020S;Lycée professionnel Georges Charpak - Lycée des métiers de la maintenance des engins mécaniques;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;48;33;44;-10;48;17;35
0010021T;Lycée professionnel Marcelle Pardé - Lycée des métiers du réseau textile mode cuir;AUVERGNE-RHONE-ALPES;ensemble;48;45;43;2;48;23;29
0010032E;Lycée polyvalent Xavier Bichat;AUVERGNE-RHONE-ALPES;ensemble;41;30;36;-7;41;17;42
0010034G;Lycée polyvalent Paul Painlevé;AUVERGNE-RHONE-ALPES;ensemble;53;48;37;12;53;23;24
0010070W;Lycée général et technologique privé Saint Pierre;AUVERGNE-RHONE-ALPES;ensemble;54;81;69;12;54;38;8
0010072Y;Lycée polyvalent international;AUVERGNE-RHONE-ALPES;ensemble;31;46;41;5;31;32;37
0010099C;Lycée professionnel privé Saint Joseph - Lycée des métier des services administratifs et commerciaux - Lycée des métiers de l'électronique;AUVERGNE-RHONE-ALPES;ensemble;69;38;42;-5;69;12;19
0010814E;Lycée professionnel privé Saint Joseph;AUVERGNE-RHONE-ALPES;ensemble;53;44;38;5;53;21;26
0010878Z;Lycée polyvalent privé Jeanne d'Arc;AUVERGNE-RHONE-ALPES;ensemble;50;32;39;-7;50;16;34
0010966V;Etablissement régional d'enseignement adapté Philibert Commerson;AUVERGNE-RHONE-ALPES;ensemble;26;29;24;5;26;21;53
0011010T;Lycée professionnel du Bugey;AUVERGNE-RHONE-ALPES;ensemble;38;33;33;0;38;21;41
0011118K;Lycée professionnel Gabriel Voisin - Lycée des métiers de l'automobile, du transport et de la logistique, de la propreté;AUVERGNE-RHONE-ALPES;dont apprentis;40;73;68;5;40;44;16
0011118K;Lycée professionnel Gabriel Voisin - Lycée des métiers de l'automobile, du transport et de la logistique, de la propreté;AUVERGNE-RHONE-ALPES;ensemble;36;52;49;3;36;33;31
0011118K;Lycée professionnel Gabriel Voisin - Lycée des métiers de l'automobile, du transport et de la logistique, de la propreté;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;36;50;47;3;36;32;32
0011119L;Lycée polyvalent Arbez Carme - Lycée des métiers de la plasturgie et des outillages;AUVERGNE-RHONE-ALPES;dont apprentis;46;68;69;-1;46;37;17
0011119L;Lycée polyvalent Arbez Carme - Lycée des métiers de la plasturgie et des outillages;AUVERGNE-RHONE-ALPES;ensemble;61;54;45;10;61;21;18
0011119L;Lycée polyvalent Arbez Carme - Lycée des métiers de la plasturgie et des outillages;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;64;51;39;12;64;19;17
0011194T;Lycée général et technologique de la Plaine de l'Ain;AUVERGNE-RHONE-ALPES;ensemble;28;61;58;3;28;44;28
0011258M;Lycée professionnel privé Ensemble scolaire Lamartine;AUVERGNE-RHONE-ALPES;ensemble;;;;;;;
0011276G;Lycée général et technologique du Val de Saône;AUVERGNE-RHONE-ALPES;dont apprentis;;;;;;;
0011276G;Lycée général et technologique du Val de Saône;AUVERGNE-RHONE-ALPES;ensemble;23;70;63;7;23;54;23
0011276G;Lycée général et technologique du Val de Saône;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;;;;;;;
0020012C;Lycée polyvalent Jean de la Fontaine - Lycée des métiers de la santé, de la gestion et du commerce;HAUTS-DE-FRANCE;ensemble;46;29;32;-3;46;16;38
0020014E;Lycée d'enseignement général et technologique Gay Lussac;HAUTS-DE-FRANCE;dont apprentis;34;79;69;10;34;52;14
0020014E;Lycée d'enseignement général et technologique Gay Lussac;HAUTS-DE-FRANCE;ensemble;28;57;57;-1;28;41;31
0020014E;Lycée d'enseignement général et technologique Gay Lussac;HAUTS-DE-FRANCE;dont élèves en voie pro sco;23;40;49;-9;23;31;46
0020022N;Lycée professionnel Jean Monnet;HAUTS-DE-FRANCE;ensemble;53;21;26;-5;53;10;37
0020025S;Lycée professionnel Château Potel - Lycée des métiers horticulture et maintenance (véhicules industriels, matériels agricoles et travaux publics);HAUTS-DE-FRANCE;ensemble;62;22;27;-5;62;9;29
0020031Y;Lycée d'enseignement général et technologique Frédéric et Irène Joliot Curie;HAUTS-DE-FRANCE;dont apprentis;;;;;;;
0020031Y;Lycée d'enseignement général et technologique Frédéric et Irène Joliot Curie;HAUTS-DE-FRANCE;ensemble;25;40;47;-8;25;30;45
0020031Y;Lycée d'enseignement général et technologique Frédéric et Irène Joliot Curie;HAUTS-DE-FRANCE;dont élèves en voie pro sco;24;38;46;-8;24;29;47
0020032Z;Lycée général et technologique Paul Claudel;HAUTS-DE-FRANCE;dont apprentis;;;;;;;
0020032Z;Lycée général et technologique Paul Claudel;HAUTS-DE-FRANCE;ensemble;35;34;43;-9;35;22;43
0020032Z;Lycée général et technologique Paul Claudel;HAUTS-DE-FRANCE;dont élèves en voie pro sco;36;35;43;-8;36;22;42
0020034B;Lycée polyvalent Pierre Méchain;HAUTS-DE-FRANCE;ensemble;55;35;35;0;55;16;29
0020048S;Lycée général et technologique Henri Martin;HAUTS-DE-FRANCE;dont apprentis;48;;;;48;13;39
0020048S;Lycée général et technologique Henri Martin;HAUTS-DE-FRANCE;ensemble;46;34;38;-4;46;19;35
0020048S;Lycée général et technologique Henri Martin;HAUTS-DE-FRANCE;dont élèves en voie pro sco;45;36;36;1;45;20;35
0020049T;Lycée général et technologique Pierre de La Ramée;HAUTS-DE-FRANCE;ensemble;26;45;48;-3;26;33;41
0020050U;Lycée d'enseignement général et technologique Condorcet;HAUTS-DE-FRANCE;dont apprentis;22;76;72;5;22;59;19
0020050U;Lycée d'enseignement général et technologique Condorcet;HAUTS-DE-FRANCE;ensemble;35;49;47;2;35;32;33
0020050U;Lycée d'enseignement général et technologique Condorcet;HAUTS-DE-FRANCE;dont élèves en voie pro sco;37;45;43;2;37;29;34
0020051V;Lycée professionnel d'art - Lycée des métiers;HAUTS-DE-FRANCE;ensemble;66;;;;66;;
0020052W;Lycée professionnel Colard Noël - Lycée des métiers du bâtiment et de l'hôtellerie;HAUTS-DE-FRANCE;dont apprentis;;;;;;;
0020052W;Lycée professionnel Colard Noël - Lycée des métiers du bâtiment et de l'hôtellerie;HAUTS-DE-FRANCE;ensemble;47;27;24;4;47;14;39
0020052W;Lycée professionnel Colard Noël - Lycée des métiers du bâtiment et de l'hôtellerie;HAUTS-DE-FRANCE;dont élèves en voie pro sco;47;28;23;5;47;15;38
0020059D;Lycée général et technologique Gérard de Nerval;HAUTS-DE-FRANCE;ensemble;42;47;51;-4;42;27;31
0020078Z;Lycée professionnel Julie Daubie;HAUTS-DE-FRANCE;dont apprentis;;;;;;;
0020078Z;Lycée professionnel Julie Daubie;HAUTS-DE-FRANCE;ensemble;49;17;24;-7;49;9;42
0020078Z;Lycée professionnel Julie Daubie;HAUTS-DE-FRANCE;dont élèves en voie pro sco;49;16;22;-6;49;8;43
0020079A;Lycée professionnel Condorcet - Lycée des métiers;HAUTS-DE-FRANCE;ensemble;47;29;26;3;47;15;38
0020088K;Lycée professionnel Camille Claudel - Lycée des métiers de l'optique et du tertiaire;HAUTS-DE-FRANCE;ensemble;57;22;26;-5;57;9;34
0020089L;Lycée professionnel Frédéric et Irène Joliot Curie - Lycée des métiers de la gestion et de l'industrie;HAUTS-DE-FRANCE;ensemble;62;19;19;0;62;7;31
0020492Z;Lycée professionnel privé Saint-Vincent-de-Paul - Lycée des métiers du design, de la santé et de l'hôtellerie;HAUTS-DE-FRANCE;ensemble;55;17;27;-9;55;8;37
0020498F;Lycée professionnel privé Sainte Sophie - Lycée des métiers des services à la personne;HAUTS-DE-FRANCE;ensemble;66;28;25;3;66;9;25
0021476U;Lycée polyvalent Léonard De Vinci - Lycée des métiers des éco-sciences et des éco-technologies;HAUTS-DE-FRANCE;ensemble;59;35;38;-3;59;14;27
0021478W;Etablissement régional d'enseignement adapté;HAUTS-DE-FRANCE;ensemble;51;12;11;1;51;6;43
