n°UAI de l'établissement;Libellé de l'établissement;Région;Dont apprentis en EPLE;Taux de poursuite d'études;Taux;Taux attendu;Valeur ajoutée;Part en poursuite d'études;Part en emploi 6 mois après la sortie;Part des autres situations
0021479X;Lycée professionnel Françoise Dolto - Lycée des métiers des services aux personnes et aux entreprises;HAUTS-DE-FRANCE;ensemble;44;17;19;-2;44;10;46
0021869W;Lycée d'enseignement général et technologique privé Saint Joseph;HAUTS-DE-FRANCE;ensemble;32;;;;32;23;45
0021873A;Lycée général et technologique privé St Jean La Croix;HAUTS-DE-FRANCE;ensemble;46;29;41;-12;46;15;39
0021874B;Lycée général et technologique privé Saint Rémy;HAUTS-DE-FRANCE;ensemble;50;56;51;5;50;28;22
0021906L;Lycée professionnel privé Saint Charles - Lycée des métiers de la sécurité et de la maintenance;HAUTS-DE-FRANCE;ensemble;62;29;32;-3;62;11;27
0021939X;Lycée polyvalent Jules Verne - Lycée des métiers des sciences et technologies pour un développement durable;HAUTS-DE-FRANCE;ensemble;57;23;28;-5;57;10;33
0021999M;Lycée professionnel privé Saint Joseph - Lycée des métiers de l'hôtellerie et de la restauration;HAUTS-DE-FRANCE;ensemble;77;;;;77;5;18
0022002R;Lycée professionnel privé Saint Joseph;HAUTS-DE-FRANCE;ensemble;58;;;;58;5;37
0022008X;Lycée professionnel Jean Macé - Lycée des métiers du développement durable;HAUTS-DE-FRANCE;ensemble;51;22;21;1;51;11;38
0022022M;Lycée d'enseignement général et technologique privé Sainte Sophie;HAUTS-DE-FRANCE;ensemble;19;31;38;-7;19;25;56
0022042J;Lycée polyvalent Jean Bouin - Lycée des métiers de la mode, des services à la personne et aux collectivités;HAUTS-DE-FRANCE;ensemble;48;8;20;-12;48;4;48
0022044L;Lycée polyvalent Le Corbusier - Lycée des métiers de l'hôtellerie et du bâtiment;HAUTS-DE-FRANCE;dont apprentis;9;72;68;4;9;66;25
0022044L;Lycée polyvalent Le Corbusier - Lycée des métiers de l'hôtellerie et du bâtiment;HAUTS-DE-FRANCE;ensemble;35;44;44;0;35;28;37
0022044L;Lycée polyvalent Le Corbusier - Lycée des métiers de l'hôtellerie et du bâtiment;HAUTS-DE-FRANCE;dont élèves en voie pro sco;42;33;35;-2;42;19;39
0022108F;Lycée général et technologique privé Saint-Vincent-de-Paul;HAUTS-DE-FRANCE;ensemble;40;;;;40;;
0022172A;Micro lycée de Saint quentin;HAUTS-DE-FRANCE;ensemble;41;;;;41;17;42
0030026M;Lycée polyvalent Paul Constans - Lycée des métiers scientifiques, industriels, administratifs et commerciaux;AUVERGNE-RHONE-ALPES;dont apprentis;;;;;;;
0030026M;Lycée polyvalent Paul Constans - Lycée des métiers scientifiques, industriels, administratifs et commerciaux;AUVERGNE-RHONE-ALPES;ensemble;50;47;44;4;50;24;26
0030026M;Lycée polyvalent Paul Constans - Lycée des métiers scientifiques, industriels, administratifs et commerciaux;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;50;47;43;4;50;23;27
0030038A;Lycée polyvalent Jean Monnet - Lycée des métiers du design et des arts verriers;AUVERGNE-RHONE-ALPES;dont apprentis;35;;;;35;50;15
0030038A;Lycée polyvalent Jean Monnet - Lycée des métiers du design et des arts verriers;AUVERGNE-RHONE-ALPES;ensemble;53;49;44;5;53;23;24
0030038A;Lycée polyvalent Jean Monnet - Lycée des métiers du design et des arts verriers;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;54;47;42;5;54;21;25
0030051P;Lycée général et technologique Albert Londres - Lycée des métiers du bois, des énergies et des services aux organisations;AUVERGNE-RHONE-ALPES;dont apprentis;;;;;;;
0030051P;Lycée général et technologique Albert Londres - Lycée des métiers du bois, des énergies et des services aux organisations;AUVERGNE-RHONE-ALPES;ensemble;49;53;54;-1;49;27;24
0030051P;Lycée général et technologique Albert Londres - Lycée des métiers du bois, des énergies et des services aux organisations;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;49;52;53;-1;49;27;24
0030061A;Lycée professionnel Albert Londres - Lycée des métiers du bois, des énergies et des services aux organisations;AUVERGNE-RHONE-ALPES;ensemble;62;26;30;-4;62;10;28
0030105Y;Lycée professionnel privé Saint-Joseph;AUVERGNE-RHONE-ALPES;ensemble;67;31;27;4;67;10;23
0030112F;Lycée professionnel privé Anna Rodier;AUVERGNE-RHONE-ALPES;ensemble;49;25;34;-10;49;13;38
0030905T;Lycée professionnel Gustave Eiffel - Lycée des métiers de la maintenance des matériels et des véhicules motocycles;AUVERGNE-RHONE-ALPES;dont apprentis;25;80;78;3;25;61;14
0030905T;Lycée professionnel Gustave Eiffel - Lycée des métiers de la maintenance des matériels et des véhicules motocycles;AUVERGNE-RHONE-ALPES;ensemble;40;65;60;5;40;39;21
0030905T;Lycée professionnel Gustave Eiffel - Lycée des métiers de la maintenance des matériels et des véhicules motocycles;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;49;50;44;6;49;26;25
0030924N;Lycée professionnel Val d'Allier;AUVERGNE-RHONE-ALPES;ensemble;39;17;27;-9;39;11;50
0030935A;Lycée Privé d'Enseignement Supérieur de Vichy;AUVERGNE-RHONE-ALPES;ensemble;39;56;56;0;39;34;27
0031041R;Lycée technologique privé Anna Rodier;AUVERGNE-RHONE-ALPES;ensemble;51;;;;51;14;35
0031043T;Lycée polyvalent Albert Einstein - Lycée des métiers de l'automobile;AUVERGNE-RHONE-ALPES;dont apprentis;25;76;74;2;25;57;18
0031043T;Lycée polyvalent Albert Einstein - Lycée des métiers de l'automobile;AUVERGNE-RHONE-ALPES;ensemble;53;46;43;3;53;22;25
0031043T;Lycée polyvalent Albert Einstein - Lycée des métiers de l'automobile;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;57;39;36;3;57;17;26
0031044U;Lycée polyvalent Geneviève Vincent;AUVERGNE-RHONE-ALPES;dont apprentis;;;;;;;
0031044U;Lycée polyvalent Geneviève Vincent;AUVERGNE-RHONE-ALPES;ensemble;36;19;27;-8;36;12;52
0031044U;Lycée polyvalent Geneviève Vincent;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;36;19;27;-8;36;12;52
0031082K;Lycée polyvalent Valéry Larbaud;AUVERGNE-RHONE-ALPES;dont apprentis;25;91;79;12;25;68;7
0031082K;Lycée polyvalent Valéry Larbaud;AUVERGNE-RHONE-ALPES;ensemble;46;51;46;5;46;28;26
0031082K;Lycée polyvalent Valéry Larbaud;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;48;47;42;4;48;24;28
0040003G;Lycée général André Honnorat;PROVENCE-ALPES-COTE D'AZUR;ensemble;40;;;;40;13;47
0040007L;Lycée professionnel lycée des métiers Beau de Rochas;PROVENCE-ALPES-COTE D'AZUR;dont apprentis;;;;;;;
0040007L;Lycée professionnel lycée des métiers Beau de Rochas;PROVENCE-ALPES-COTE D'AZUR;ensemble;55;30;30;0;55;14;31
0040007L;Lycée professionnel lycée des métiers Beau de Rochas;PROVENCE-ALPES-COTE D'AZUR;dont élèves en voie pro sco;55;29;28;1;55;13;32
0040010P;Lycée général et technologique Félix Esclangon;PROVENCE-ALPES-COTE D'AZUR;ensemble;35;51;55;-4;35;33;32
0040011R;Lycée professionnel Louis Martin Bret - Lycée des métiers de l'hotellerie-restauration, des secteurs tertiaire et industriel;PROVENCE-ALPES-COTE D'AZUR;dont apprentis;;;;;;;
0040011R;Lycée professionnel Louis Martin Bret - Lycée des métiers de l'hotellerie-restauration, des secteurs tertiaire et industriel;PROVENCE-ALPES-COTE D'AZUR;ensemble;51;38;33;5;51;18;31
0040011R;Lycée professionnel Louis Martin Bret - Lycée des métiers de l'hotellerie-restauration, des secteurs tertiaire et industriel;PROVENCE-ALPES-COTE D'AZUR;dont élèves en voie pro sco;52;35;31;3;52;17;31
0040023D;Lycée polyvalent Paul Arène - lycée des métiers de l'hotellerie et de la restauration des Alpes provençales;PROVENCE-ALPES-COTE D'AZUR;ensemble;56;45;43;2;56;20;24
0040027H;Lycée général et technologique Alexandra David Neel;PROVENCE-ALPES-COTE D'AZUR;ensemble;61;;;;61;14;25
0040378P;Etablissement régional d'enseignement adapté de Haute-Provence;PROVENCE-ALPES-COTE D'AZUR;ensemble;;;;;;;
0040490L;Lycée général et technologique Pierre-Gilles de Gennes;PROVENCE-ALPES-COTE D'AZUR;ensemble;63;68;56;12;63;25;12
0040533H;Lycée Polyvalent Les Iscles;PROVENCE-ALPES-COTE D'AZUR;ensemble;49;55;45;10;49;28;23
0050003B;Lycée polyvalent  d'Altitude;PROVENCE-ALPES-COTE D'AZUR;dont apprentis;;;;;;;
0050003B;Lycée polyvalent  d'Altitude;PROVENCE-ALPES-COTE D'AZUR;ensemble;52;39;40;-2;52;18;30
0050003B;Lycée polyvalent  d'Altitude;PROVENCE-ALPES-COTE D'AZUR;dont élèves en voie pro sco;53;36;39;-3;53;17;30
0050004C;Lycée climatique Honoré Romane;PROVENCE-ALPES-COTE D'AZUR;ensemble;28;53;54;-1;28;38;34
0050005D;Lycée professionnel Alpes et Durance - Lycée des Métiers pluri-actifs du bois et de l'habitat de montagne;PROVENCE-ALPES-COTE D'AZUR;dont apprentis;;;;;;;
0050005D;Lycée professionnel Alpes et Durance - Lycée des Métiers pluri-actifs du bois et de l'habitat de montagne;PROVENCE-ALPES-COTE D'AZUR;ensemble;59;37;44;-7;59;15;26
0050005D;Lycée professionnel Alpes et Durance - Lycée des Métiers pluri-actifs du bois et de l'habitat de montagne;PROVENCE-ALPES-COTE D'AZUR;dont élèves en voie pro sco;59;33;42;-8;59;14;27
0050006E;Lycée général et technologique Dominique Villars;PROVENCE-ALPES-COTE D'AZUR;ensemble;49;56;49;7;49;29;22
0050007F;Lycée général et technologique Aristide Briand;PROVENCE-ALPES-COTE D'AZUR;ensemble;57;;;;57;24;19
0050008G;Lycée professionnel Paul Héraud;PROVENCE-ALPES-COTE D'AZUR;dont apprentis;;;;;;;
0050008G;Lycée professionnel Paul Héraud;PROVENCE-ALPES-COTE D'AZUR;ensemble;47;52;43;9;47;28;25
0050008G;Lycée professionnel Paul Héraud;PROVENCE-ALPES-COTE D'AZUR;dont élèves en voie pro sco;47;52;43;9;47;27;26
0050009H;Lycée professionnel Sévigné - Lycée des métiers de la restauration, des services aux entreprises et aux personnes;PROVENCE-ALPES-COTE D'AZUR;ensemble;57;31;30;1;57;14;29
0050027C;Lycée professionnel Pierre Mendès France;PROVENCE-ALPES-COTE D'AZUR;ensemble;59;33;30;3;59;13;28
0050039R;Lycée professionnel privé Pierre et Louis Poutrain;PROVENCE-ALPES-COTE D'AZUR;ensemble;71;15;27;-12;71;4;25
0060001U;Lycée général et technologique Jacques Audiberti;PROVENCE-ALPES-COTE D'AZUR;dont apprentis;;;;;;;
0060001U;Lycée général et technologique Jacques Audiberti;PROVENCE-ALPES-COTE D'AZUR;ensemble;42;57;53;4;42;34;24
0060001U;Lycée général et technologique Jacques Audiberti;PROVENCE-ALPES-COTE D'AZUR;dont élèves en voie pro sco;41;57;53;4;41;34;25
0060002V;Lycée professionnel Jacques Dolle;PROVENCE-ALPES-COTE D'AZUR;ensemble;45;34;31;3;45;19;36
0060009C;Lycée général et technologique Auguste Renoir;PROVENCE-ALPES-COTE D'AZUR;ensemble;35;69;57;12;35;45;20
0060011E;Lycée général Carnot;PROVENCE-ALPES-COTE D'AZUR;ensemble;71;48;43;5;71;14;15
0060013G;Lycée général et technologique Bristol;PROVENCE-ALPES-COTE D'AZUR;ensemble;45;46;53;-7;45;25;30
0060014H;Lycée général et technologique Jules Ferry;PROVENCE-ALPES-COTE D'AZUR;ensemble;37;58;50;8;37;36;27
0060015J;Lycée professionnel Les Coteaux - Lycée des métiers de la relation client, de la mode et du costume de spectacle;PROVENCE-ALPES-COTE D'AZUR;ensemble;50;28;30;-3;50;14;36
0060020P;Lycée général et technologique Amiral de Grasse;PROVENCE-ALPES-COTE D'AZUR;ensemble;24;51;54;-3;24;38;38
0060022S;Lycée professionnel Léon Chiris;PROVENCE-ALPES-COTE D'AZUR;dont apprentis;;;;;;;
0060022S;Lycée professionnel Léon Chiris;PROVENCE-ALPES-COTE D'AZUR;ensemble;42;38;41;-3;42;22;36
0060022S;Lycée professionnel Léon Chiris;PROVENCE-ALPES-COTE D'AZUR;dont élèves en voie pro sco;45;34;38;-3;45;19;36
0060023T;Lycée professionnel Francis de Croisset;PROVENCE-ALPES-COTE D'AZUR;dont apprentis;19;;;;19;48;33
0060023T;Lycée professionnel Francis de Croisset;PROVENCE-ALPES-COTE D'AZUR;ensemble;43;41;34;6;43;23;34
0060023T;Lycée professionnel Francis de Croisset;PROVENCE-ALPES-COTE D'AZUR;dont élèves en voie pro sco;44;39;31;8;44;22;34
0060026W;Lycée général et technologique Pierre et Marie Curie;PROVENCE-ALPES-COTE D'AZUR;ensemble;;;;;;;
0060027X;Lycée professionnel Pierre et Marie Curie - Lycée des métiers de l'enseigne, de la signalétique et du développement durable;PROVENCE-ALPES-COTE D'AZUR;dont apprentis;;;;;;;
0060027X;Lycée professionnel Pierre et Marie Curie - Lycée des métiers de l'enseigne, de la signalétique et du développement durable;PROVENCE-ALPES-COTE D'AZUR;ensemble;42;16;28;-12;42;9;49
0060027X;Lycée professionnel Pierre et Marie Curie - Lycée des métiers de l'enseigne, de la signalétique et du développement durable;PROVENCE-ALPES-COTE D'AZUR;dont élèves en voie pro sco;43;15;27;-12;43;8;49
0060028Y;Lycée professionnel Paul Valéry - Lycée des métiers de la restauration;PROVENCE-ALPES-COTE D'AZUR;dont apprentis;;;;;;;
0060028Y;Lycée professionnel Paul Valéry - Lycée des métiers de la restauration;PROVENCE-ALPES-COTE D'AZUR;ensemble;45;21;27;-5;45;12;43
0060028Y;Lycée professionnel Paul Valéry - Lycée des métiers de la restauration;PROVENCE-ALPES-COTE D'AZUR;dont élèves en voie pro sco;45;22;26;-4;45;12;43
0060029Z;Lycée général et technologique Parc Imperial;PROVENCE-ALPES-COTE D'AZUR;dont apprentis;26;;;;26;57;17
0060029Z;Lycée général et technologique Parc Imperial;PROVENCE-ALPES-COTE D'AZUR;ensemble;55;58;55;3;55;26;19
0060029Z;Lycée général et technologique Parc Imperial;PROVENCE-ALPES-COTE D'AZUR;dont élèves en voie pro sco;58;54;51;3;58;23;19
0060031B;Lycée général et technologique Albert Calmette;PROVENCE-ALPES-COTE D'AZUR;ensemble;38;44;55;-11;38;27;35
0060033D;Lycée polyvalent Honoré d'Estienne d'Orves - Lycée des métiers de la comptabilité;PROVENCE-ALPES-COTE D'AZUR;dont apprentis;46;54;65;-11;46;29;25
0060033D;Lycée polyvalent Honoré d'Estienne d'Orves - Lycée des métiers de la comptabilité;PROVENCE-ALPES-COTE D'AZUR;ensemble;55;48;49;-1;55;22;23
0060033D;Lycée polyvalent Honoré d'Estienne d'Orves - Lycée des métiers de la comptabilité;PROVENCE-ALPES-COTE D'AZUR;dont élèves en voie pro sco;56;47;46;1;56;21;23
0060034E;Lycée polyvalent hôtelier Tourisme Paul Augier - Lycée des métiers de l'hôtellerie et du tourisme;PROVENCE-ALPES-COTE D'AZUR;dont apprentis;19;45;50;-6;19;36;45
0060034E;Lycée polyvalent hôtelier Tourisme Paul Augier - Lycée des métiers de l'hôtellerie et du tourisme;PROVENCE-ALPES-COTE D'AZUR;ensemble;38;44;50;-6;38;27;35
0060034E;Lycée polyvalent hôtelier Tourisme Paul Augier - Lycée des métiers de l'hôtellerie et du tourisme;PROVENCE-ALPES-COTE D'AZUR;dont élèves en voie pro sco;45;44;50;-6;45;24;31
0060038J;Lycée professionnel Vauban;PROVENCE-ALPES-COTE D'AZUR;dont apprentis;34;61;51;10;34;40;26
0060038J;Lycée professionnel Vauban;PROVENCE-ALPES-COTE D'AZUR;ensemble;38;32;35;-3;38;20;42
0060038J;Lycée professionnel Vauban;PROVENCE-ALPES-COTE D'AZUR;dont élèves en voie pro sco;39;23;30;-7;39;14;47
0060040L;Lycée professionnel Louis Pasteur;PROVENCE-ALPES-COTE D'AZUR;dont apprentis;;;;;;;
0060040L;Lycée professionnel Louis Pasteur;PROVENCE-ALPES-COTE D'AZUR;ensemble;54;26;28;-2;54;12;34
0060040L;Lycée professionnel Louis Pasteur;PROVENCE-ALPES-COTE D'AZUR;dont élèves en voie pro sco;55;25;27;-2;55;11;34
0060042N;Lycée professionnel Les Palmiers;PROVENCE-ALPES-COTE D'AZUR;ensemble;40;32;30;3;40;19;41
0060043P;Lycée professionnel Magnan - Lycée des métiers des soins et services à la personne;PROVENCE-ALPES-COTE D'AZUR;dont apprentis;;;;;;;
0060043P;Lycée professionnel Magnan - Lycée des métiers des soins et services à la personne;PROVENCE-ALPES-COTE D'AZUR;ensemble;51;25;29;-4;51;12;37
0060043P;Lycée professionnel Magnan - Lycée des métiers des soins et services à la personne;PROVENCE-ALPES-COTE D'AZUR;dont élèves en voie pro sco;51;25;29;-4;51;12;37
0060075Z;Lycée général et technologique Les Eucalyptus;PROVENCE-ALPES-COTE D'AZUR;dont apprentis;;;;;;;
0060075Z;Lycée général et technologique Les Eucalyptus;PROVENCE-ALPES-COTE D'AZUR;ensemble;38;48;51;-3;38;30;32
0060075Z;Lycée général et technologique Les Eucalyptus;PROVENCE-ALPES-COTE D'AZUR;dont élèves en voie pro sco;39;46;50;-4;39;28;33
0060082G;Lycée professionnel Les Eucalyptus                 Lycée des sciences appliquées aux métiers de l'Industrie;PROVENCE-ALPES-COTE D'AZUR;ensemble;53;37;36;1;53;18;29
0060670W;Lycée général et technologique privé Sainte Marie;PROVENCE-ALPES-COTE D'AZUR;ensemble;23;24;36;-12;23;19;58
0060673Z;Lycée général et technologique privé Stanislas;PROVENCE-ALPES-COTE D'AZUR;ensemble;68;24;36;-12;68;8;24
0060674A;Lycée général et technologique privé Fénélon;PROVENCE-ALPES-COTE D'AZUR;ensemble;50;45;50;-5;50;22;28
0060677D;Lycée général et technologique privé Sasserno;PROVENCE-ALPES-COTE D'AZUR;ensemble;44;47;53;-6;44;26;30
0060715V;Lycée professionnel privé La Providence;PROVENCE-ALPES-COTE D'AZUR;ensemble;47;20;30;-10;47;11;42
